Security,AC* MF Equity                                                   ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,109.42,2.06,1.918777943,108.24,0.88,0.819672131,109.66,2.3,2.142324888,107.5,0.14,0.130402385
03/10/2019,107.36,-0.72,-0.666173205,107.79,-0.29,-0.268319763,108.14,0.06,0.055514434,106.5,-1.58,-1.461880089
02/10/2019,108.08,-0.23,-0.21235343,107.69,-0.62,-0.572430985,108.44,0.13,0.120025852,107.01,-1.3,-1.200258517
01/10/2019,108.31,1.64,1.537451955,106.52,-0.15,-0.140620606,108.79,2.12,1.987437893,106.2,-0.47,-0.440611231
30/09/2019,106.67,-1.71,-1.577781879,108,-0.38,-0.350618195,108.78,0.4,0.369071784,106.2,-2.18,-2.011441225
27/09/2019,108.38,-0.86,-0.787257415,109.14,-0.1,-0.09154156,109.24,0,0,107.04,-2.2,-2.013914317
26/09/2019,109.24,3.24,3.056603774,106.28,0.28,0.264150943,109.64,3.64,3.433962264,105.45,-0.55,-0.518867925
25/09/2019,106,-1.09,-1.017835465,106.95,-0.14,-0.130731161,106.95,-0.14,-0.130731161,105.21,-1.88,-1.755532729
24/09/2019,107.09,-0.19,-0.177106637,107.1,-0.18,-0.167785235,107.49,0.21,0.195749441,106.85,-0.43,-0.400820283
23/09/2019,107.28,-1.41,-1.297267458,108.94,0.25,0.230011961,108.94,0.25,0.230011961,106.25,-2.44,-2.244916736
20/09/2019,108.69,2.58,2.431439073,106.32,0.21,0.197907831,109.07,2.96,2.789558006,106.14,0.03,0.028272547
19/09/2019,106.11,1.06,1.009043313,104.95,-0.1,-0.095192765,106.47,1.42,1.351737268,104.11,-0.94,-0.894811994
18/09/2019,105.05,-0.96,-0.905574946,106.11,0.1,0.094330724,106.12,0.11,0.103763796,104.5,-1.51,-1.424393925
17/09/2019,106.01,-0.03,-0.028291211,105.63,-0.41,-0.386646548,106.57,0.53,0.499811392,105.56,-0.48,-0.452659374
13/09/2019,106.04,-0.03,-0.028283209,105.78,-0.29,-0.273404356,106.49,0.42,0.395964929,105.52,-0.55,-0.518525502
12/09/2019,106.07,-0.57,-0.534508627,107,0.36,0.337584396,107,0.36,0.337584396,105.47,-1.17,-1.097149287
11/09/2019,106.64,0.22,0.206728059,106.52,0.1,0.093967299,107,0.58,0.545010336,105.99,-0.43,-0.404059387
10/09/2019,106.42,-0.03,-0.028182245,106.32,-0.13,-0.122123062,107,0.55,0.516674495,105.39,-1.06,-0.995772663
09/09/2019,106.45,-1.06,-0.985954795,107.5,-0.01,-0.00930146,107.59,0.08,0.074411683,106,-1.51,-1.40452051
06/09/2019,107.51,2.1,1.992220852,105.79,0.38,0.360497107,107.65,2.24,2.125035575,105.77,0.36,0.341523575
05/09/2019,105.41,0.23,0.218672751,105.48,0.3,0.285225328,105.79,0.61,0.579958167,104.79,-0.39,-0.370792926
04/09/2019,105.18,1.34,1.290446841,103.94,0.1,0.096302003,105.5,1.66,1.598613251,103.87,0.03,0.028890601
03/09/2019,103.84,-0.95,-0.906575055,103.86,-0.93,-0.887489264,104.3,-0.49,-0.46760187,103.35,-1.44,-1.374176925
02/09/2019,104.79,-0.22,-0.209503857,104.5,-0.51,-0.485668032,105.79,0.78,0.742786401,103.55,-1.46,-1.390343777
30/08/2019,105.01,0.45,0.430374904,104.99,0.43,0.411247131,105.9,1.34,1.281560826,103.95,-0.61,-0.583397093
29/08/2019,104.56,1.2,1.160990712,103.57,0.21,0.203173375,104.81,1.45,1.402863777,102.42,-0.94,-0.909442724
28/08/2019,103.36,0.9,0.878391567,103.44,0.98,0.956470818,103.5,1.04,1.015030256,102.47,0.01,0.009759906
