Security,ALFAA MF Equity                                                 ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,17.44,0.49,2.890855457,16.94,-0.01,-0.05899705,17.5,0.55,3.244837758,16.94,-0.01,-0.05899705
03/10/2019,16.95,-0.15,-0.877192982,17.06,-0.04,-0.233918129,17.15,0.05,0.292397661,16.83,-0.27,-1.578947368
02/10/2019,17.1,-0.22,-1.270207852,17.19,-0.13,-0.750577367,17.31,-0.01,-0.057736721,16.95,-0.37,-2.136258661
01/10/2019,17.32,-0.01,-0.057703405,17.4,0.07,0.403923832,17.56,0.23,1.327178304,17.15,-0.18,-1.038661281
30/09/2019,17.33,-0.05,-0.287686997,17.42,0.04,0.230149597,17.62,0.24,1.380897583,17.12,-0.26,-1.495972382
27/09/2019,17.38,-0.29,-1.641199774,17.68,0.01,0.056593096,17.68,0.01,0.056593096,17.33,-0.34,-1.924165252
26/09/2019,17.67,0.43,2.494199536,17.31,0.07,0.406032483,17.77,0.53,3.07424594,17.1,-0.14,-0.812064965
25/09/2019,17.24,-0.19,-1.090074584,17.38,-0.05,-0.286861733,17.65,0.22,1.262191624,17.01,-0.42,-2.409638554
24/09/2019,17.43,-0.4,-2.243409983,17.85,0.02,0.112170499,17.95,0.12,0.673022995,17.36,-0.47,-2.63600673
23/09/2019,17.83,0.26,1.479795105,17.51,-0.06,-0.341491178,17.99,0.42,2.390438247,17.51,-0.06,-0.341491178
20/09/2019,17.57,0.55,3.231492362,17.05,0.03,0.17626322,17.71,0.69,4.054054054,16.93,-0.09,-0.528789659
19/09/2019,17.02,-0.15,-0.873616773,17.25,0.08,0.465928946,17.35,0.18,1.048340128,16.85,-0.32,-1.863715783
18/09/2019,17.17,-0.41,-2.332195677,17.57,-0.01,-0.056882821,17.61,0.03,0.170648464,17.01,-0.57,-3.242320819
17/09/2019,17.58,0.27,1.559792028,17.3,-0.01,-0.057770075,17.86,0.55,3.177354131,17.16,-0.15,-0.866551127
13/09/2019,17.31,0.33,1.943462898,17,0.02,0.11778563,17.38,0.4,2.355712603,16.93,-0.05,-0.294464075
12/09/2019,16.98,-0.02,-0.117647059,16.91,-0.09,-0.529411765,17.05,0.05,0.294117647,16.91,-0.09,-0.529411765
11/09/2019,17,0.29,1.735487732,16.83,0.12,0.718132855,17.17,0.46,2.752842609,16.81,0.1,0.598444045
10/09/2019,16.71,-0.41,-2.394859813,16.93,-0.19,-1.109813084,16.98,-0.14,-0.817757009,16.51,-0.61,-3.563084112
09/09/2019,17.12,0.05,0.292911541,17.09,0.02,0.117164616,17.48,0.41,2.401874634,17,-0.07,-0.410076157
06/09/2019,17.07,0.33,1.971326165,16.76,0.02,0.119474313,17.25,0.51,3.046594982,16.76,0.02,0.119474313
05/09/2019,16.74,0.05,0.299580587,16.8,0.11,0.659077292,16.85,0.16,0.958657879,16.6,-0.09,-0.539245057
04/09/2019,16.69,0.41,2.518427518,16.34,0.06,0.368550369,16.85,0.57,3.501228501,16.15,-0.13,-0.798525799
