Security,ALPEKA MM Equity                                                ,,,,,,,,,,,
Start Date,25/04/2012 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,22.32,-0.04,-0.178890877,22.17,-0.19,-0.849731664,22.59,0.23,1.02862254,22.08,-0.28,-1.252236136
03/10/2019,22.36,0.38,1.728844404,21.93,-0.05,-0.227479527,22.46,0.48,2.183803458,21.87,-0.11,-0.500454959
02/10/2019,21.98,-0.94,-4.10122164,22.76,-0.16,-0.698080279,22.9,-0.02,-0.087260035,21.74,-1.18,-5.148342059
01/10/2019,22.92,-0.05,-0.217675229,23.06,0.09,0.391815411,23.18,0.21,0.91423596,22.59,-0.38,-1.654331737
30/09/2019,22.97,0.11,0.481189851,22.99,0.13,0.568678915,23.09,0.23,1.006124234,22.81,-0.05,-0.21872266
27/09/2019,22.86,0.14,0.616197183,22.65,-0.07,-0.308098592,23.01,0.29,1.276408451,22.5,-0.22,-0.968309859
26/09/2019,22.72,-0.05,-0.219587176,22.84,0.07,0.307422047,22.94,0.17,0.746596399,22.5,-0.27,-1.185770751
25/09/2019,22.77,-0.27,-1.171875,23.1,0.06,0.260416667,23.1,0.06,0.260416667,22.38,-0.66,-2.864583333
24/09/2019,23.04,-0.56,-2.372881356,23.7,0.1,0.423728814,23.75,0.15,0.63559322,22.63,-0.97,-4.110169492
23/09/2019,23.6,0.02,0.084817642,23.45,-0.13,-0.551314673,23.8,0.22,0.932994063,23.24,-0.34,-1.441899915
20/09/2019,23.58,0.21,0.898587933,23.37,0,0,23.74,0.37,1.583226359,23.09,-0.28,-1.198117244
19/09/2019,23.37,-0.03,-0.128205128,23.6,0.2,0.854700855,23.8,0.4,1.709401709,23.3,-0.1,-0.427350427
18/09/2019,23.4,-0.12,-0.510204082,23.64,0.12,0.510204082,23.69,0.17,0.722789116,23.2,-0.32,-1.360544218
17/09/2019,23.52,0.24,1.030927835,23.33,0.05,0.214776632,23.96,0.68,2.920962199,23.33,0.05,0.214776632
13/09/2019,23.28,0.08,0.344827586,23.12,-0.08,-0.344827586,24.15,0.95,4.094827586,23.1,-0.1,-0.431034483
12/09/2019,23.2,0.03,0.129477773,23.3,0.13,0.56107035,23.48,0.31,1.337936987,22.97,-0.2,-0.863185153
11/09/2019,23.17,0.82,3.668903803,22.51,0.16,0.715883669,23.25,0.9,4.026845638,22.5,0.15,0.67114094
10/09/2019,22.35,0.25,1.131221719,22.11,0.01,0.045248869,22.4,0.3,1.357466063,21.97,-0.13,-0.588235294
09/09/2019,22.1,-0.2,-0.896860987,22.23,-0.07,-0.313901345,22.5,0.2,0.896860987,22.02,-0.28,-1.255605381
06/09/2019,22.3,0.08,0.360036004,22.24,0.02,0.090009001,22.45,0.23,1.03510351,22.14,-0.08,-0.360036004
05/09/2019,22.22,0.11,0.497512438,22.13,0.02,0.090456807,22.49,0.38,1.718679331,21.96,-0.15,-0.678426052
04/09/2019,22.11,0,0,22.21,0.1,0.452284034,22.36,0.25,1.130710086,21.93,-0.18,-0.814111262
03/09/2019,22.11,-0.09,-0.405405405,22.12,-0.08,-0.36036036,22.7,0.5,2.252252252,21.54,-0.66,-2.972972973
02/09/2019,22.2,0.2,0.909090909,21.93,-0.07,-0.318181818,22.43,0.43,1.954545455,21.84,-0.16,-0.727272727
30/08/2019,22,0.84,3.969754253,21.32,0.16,0.756143667,22.2,1.04,4.914933837,21.26,0.1,0.472589792
29/08/2019,21.16,0.36,1.730769231,20.85,0.05,0.240384615,21.26,0.46,2.211538462,20.5,-0.3,-1.442307692
28/08/2019,20.8,-0.27,-1.28144281,21.07,0,0,21.25,0.18,0.854295206,20.56,-0.51,-2.420503085
27/08/2019,21.07,0.15,0.717017208,20.99,0.07,0.334608031,21.4,0.48,2.294455067,20.84,-0.08,-0.382409178
26/08/2019,20.92,-0.28,-1.320754717,21.23,0.03,0.141509434,21.68,0.48,2.264150943,20.77,-0.43,-2.028301887
23/08/2019,21.2,-0.13,-0.60947023,21.38,0.05,0.234411627,21.46,0.13,0.60947023,20.97,-0.36,-1.687763713
22/08/2019,21.33,-0.13,-0.605778192,21.47,0.01,0.046598322,21.78,0.32,1.491146319,21.14,-0.32,-1.491146319
21/08/2019,21.46,0.04,0.186741363,21.61,0.19,0.887021475,21.71,0.29,1.353874883,21.03,-0.39,-1.820728291
20/08/2019,21.42,-0.38,-1.743119266,21.92,0.12,0.550458716,21.97,0.17,0.779816514,20.99,-0.81,-3.71559633
19/08/2019,21.8,0.72,3.415559772,21.18,0.1,0.474383302,22.08,1,4.743833017,21.02,-0.06,-0.284629981
16/08/2019,21.08,0.01,0.047460845,21.01,-0.06,-0.284765069,21.45,0.38,1.803512103,20.86,-0.21,-0.996677741
15/08/2019,21.07,-0.23,-1.079812207,20.98,-0.32,-1.502347418,22.02,0.72,3.38028169,20.34,-0.96,-4.507042254
14/08/2019,21.3,-0.27,-1.251738526,21.55,-0.02,-0.092721372,22,0.43,1.993509504,20.28,-1.29,-5.980528512
13/08/2019,21.57,0.05,0.232342007,21.65,0.13,0.604089219,21.8,0.28,1.301115242,21.34,-0.18,-0.836431227
12/08/2019,21.52,-0.07,-0.324224178,21.64,0.05,0.231588698,21.85,0.26,1.204261232,21.26,-0.33,-1.52848541
09/08/2019,21.59,0.31,1.456766917,21.36,0.08,0.37593985,21.79,0.51,2.396616541,21.03,-0.25,-1.17481203
08/08/2019,21.28,0.21,0.996677741,21.25,0.18,0.854295206,21.35,0.28,1.328903654,20.95,-0.12,-0.569530138
07/08/2019,21.07,0.37,1.787439614,20.65,-0.05,-0.241545894,21.47,0.77,3.719806763,20.4,-0.3,-1.449275362
06/08/2019,20.7,0.13,0.631988333,20.57,0,0,21.23,0.66,3.20855615,20.57,0,0
05/08/2019,20.57,0.07,0.341463415,20.36,-0.14,-0.682926829,20.72,0.22,1.073170732,20.36,-0.14,-0.682926829
02/08/2019,20.5,-0.15,-0.726392252,20.62,-0.03,-0.14527845,20.86,0.21,1.016949153,20.31,-0.34,-1.646489104
01/08/2019,20.65,-0.01,-0.048402711,20.75,0.09,0.435624395,20.88,0.22,1.064859632,20.57,-0.09,-0.435624395
31/07/2019,20.66,-0.63,-2.959135744,21.2,-0.09,-0.422733678,21.34,0.05,0.234852043,20.22,-1.07,-5.025833725
30/07/2019,21.29,-0.87,-3.92599278,22.14,-0.02,-0.090252708,22.14,-0.02,-0.090252708,21.22,-0.94,-4.241877256
29/07/2019,22.16,-0.13,-0.583221175,22.17,-0.12,-0.538358008,22.33,0.04,0.179452669,21.54,-0.75,-3.36473755
26/07/2019,22.29,-0.23,-1.021314387,22.6,0.08,0.355239787,22.6,0.08,0.355239787,21.84,-0.68,-3.019538188
25/07/2019,22.52,0.78,3.587856486,21.77,0.03,0.13799448,22.6,0.86,3.955841766,21.7,-0.04,-0.18399264
24/07/2019,21.74,-0.62,-2.772808587,22.3,-0.06,-0.268336315,22.8,0.44,1.967799642,21.63,-0.73,-3.264758497
23/07/2019,22.36,-0.41,-1.800614844,23.03,0.26,1.141853316,23.03,0.26,1.141853316,21.72,-1.05,-4.611330698
22/07/2019,22.77,-0.33,-1.428571429,23.18,0.08,0.346320346,23.5,0.4,1.731601732,22.5,-0.6,-2.597402597
19/07/2019,23.1,-0.32,-1.366353544,23.32,-0.1,-0.426985482,23.7,0.28,1.195559351,22.56,-0.86,-3.672075149
18/07/2019,23.42,-0.12,-0.509770603,23.4,-0.14,-0.59473237,24.25,0.71,3.016142736,22.55,-0.99,-4.205607477
17/07/2019,23.54,-0.16,-0.675105485,23.72,0.02,0.084388186,24,0.3,1.265822785,23.16,-0.54,-2.278481013
16/07/2019,23.7,0.51,2.199223803,23.28,0.09,0.388098318,23.9,0.71,3.061664511,23.22,0.03,0.129366106
15/07/2019,23.19,0.18,0.782268579,23.11,0.1,0.434593655,23.29,0.28,1.216862234,22.85,-0.16,-0.695349848
12/07/2019,23.01,-0.46,-1.959948871,23.6,0.13,0.553898594,23.6,0.13,0.553898594,22.87,-0.6,-2.556455049
11/07/2019,23.47,-0.19,-0.803043111,23.59,-0.07,-0.295857988,23.65,-0.01,-0.042265427,23.06,-0.6,-2.535925613
