Security,ALSEA* MF Equity                                                ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,47.88,0.66,1.397712834,46.9,-0.32,-0.67767895,48,0.78,1.65184244,46.85,-0.37,-0.783566285
03/10/2019,47.22,0.02,0.042372881,47.03,-0.17,-0.360169492,47.41,0.21,0.444915254,46.31,-0.89,-1.88559322
02/10/2019,47.2,1.08,2.341717259,45.86,-0.26,-0.563746748,47.39,1.27,2.753686036,45.7,-0.42,-0.910667823
01/10/2019,46.12,0.24,0.523103749,45.71,-0.17,-0.370531822,46.75,0.87,1.89625109,45.36,-0.52,-1.133391456
30/09/2019,45.88,0.64,1.414677277,45.29,0.05,0.110521662,46.92,1.68,3.713527851,45.25,0.01,0.022104332
27/09/2019,45.24,0.51,1.14017438,44.73,0,0,45.4,0.67,1.497876146,44.73,0,0
26/09/2019,44.73,-0.04,-0.089345544,44.8,0.03,0.067009158,45.29,0.52,1.161492071,44.48,-0.29,-0.647755193
25/09/2019,44.77,-0.39,-0.863596103,45.05,-0.11,-0.243578388,45.11,-0.05,-0.110717449,44.02,-1.14,-2.524357839
24/09/2019,45.16,-0.1,-0.220945647,45.1,-0.16,-0.353513036,45.48,0.22,0.486080424,44.62,-0.64,-1.414052143
23/09/2019,45.26,-0.13,-0.286406698,45.6,0.21,0.462656973,45.6,0.21,0.462656973,44.7,-0.69,-1.520158625
20/09/2019,45.39,0.38,0.844256832,44.95,-0.06,-0.13330371,45.69,0.68,1.510775383,44.83,-0.18,-0.399911131
19/09/2019,45.01,0.17,0.379125781,44.5,-0.34,-0.758251561,45.24,0.4,0.89206066,44.41,-0.43,-0.95896521
18/09/2019,44.84,0.25,0.560663826,44.41,-0.18,-0.403677955,45.03,0.44,0.986768334,44.41,-0.18,-0.403677955
17/09/2019,44.59,-0.36,-0.800889878,44.6,-0.35,-0.778642937,45.24,0.29,0.64516129,44.17,-0.78,-1.735261402
13/09/2019,44.95,0.27,0.604297225,44.83,0.15,0.33572068,45.03,0.35,0.783348254,44.6,-0.08,-0.17905103
12/09/2019,44.68,0.54,1.223380154,44.29,0.15,0.339827821,45.18,1.04,2.356139556,44.29,0.15,0.339827821
11/09/2019,44.14,-0.93,-2.063456845,45.13,0.06,0.133126248,45.13,0.06,0.133126248,43.84,-1.23,-2.729088085
10/09/2019,45.07,2.27,5.303738318,42.76,-0.04,-0.093457944,45.17,2.37,5.537383178,42.76,-0.04,-0.093457944
09/09/2019,42.8,-0.5,-1.154734411,43.63,0.33,0.762124711,44.14,0.84,1.939953811,42.56,-0.74,-1.709006928
06/09/2019,43.3,0.54,1.262862488,43.39,0.63,1.47333957,43.64,0.88,2.057998129,43,0.24,0.561272217
05/09/2019,42.76,0.17,0.399154731,42.99,0.4,0.939187603,43.46,0.87,2.042733036,42.65,0.06,0.14087814
04/09/2019,42.59,-0.58,-1.343525596,43.17,0,0,43.67,0.5,1.158211721,42.1,-1.07,-2.478573083
03/09/2019,43.17,0.17,0.395348837,43,0,0,43.49,0.49,1.139534884,42.52,-0.48,-1.11627907
02/09/2019,43,0.26,0.608329434,42.27,-0.47,-1.099672438,43.1,0.36,0.842302293,42.14,-0.6,-1.403837155
30/08/2019,42.74,0.27,0.635742877,42.63,0.16,0.37673652,43,0.53,1.247939722,42.01,-0.46,-1.083117495
29/08/2019,42.47,1.57,3.838630807,41.11,0.21,0.513447433,42.57,1.67,4.083129584,40.49,-0.41,-1.002444988
28/08/2019,40.9,0.91,2.275568892,40.08,0.09,0.225056264,41.08,1.09,2.72568142,39.98,-0.01,-0.025006252
27/08/2019,39.99,-0.53,-1.307996051,40.61,0.09,0.222112537,41.41,0.89,2.196446199,39.79,-0.73,-1.801579467
26/08/2019,40.52,0.67,1.681304893,40.26,0.41,1.028858218,41.07,1.22,3.061480552,40.21,0.36,0.903387704
23/08/2019,39.85,-0.43,-1.067527309,40.31,0.03,0.074478649,40.94,0.66,1.638530288,39.73,-0.55,-1.365441907
22/08/2019,40.28,-1.02,-2.469733656,41.7,0.4,0.968523002,41.7,0.4,0.968523002,39.97,-1.33,-3.220338983
21/08/2019,41.3,0.27,0.658055082,40.93,-0.1,-0.243724104,41.8,0.77,1.876675603,40.93,-0.1,-0.243724104
20/08/2019,41.03,0.15,0.366927593,40.78,-0.1,-0.244618395,42.49,1.61,3.938356164,40.22,-0.66,-1.614481409
19/08/2019,40.88,1.2,3.024193548,39.69,0.01,0.025201613,41.2,1.52,3.830645161,39.67,-0.01,-0.025201613
16/08/2019,39.68,1.6,4.201680672,38.53,0.45,1.181722689,39.94,1.86,4.884453782,38.48,0.4,1.050420168
15/08/2019,38.08,-1.09,-2.782741894,39.01,-0.16,-0.408475874,39.02,-0.15,-0.382946132,37.78,-1.39,-3.548634159
14/08/2019,39.17,-1.04,-2.586421288,40.11,-0.1,-0.248694355,40.15,-0.06,-0.149216613,39.11,-1.1,-2.735637901
13/08/2019,40.21,-0.48,-1.17965102,40.59,-0.1,-0.245760629,41.16,0.47,1.155074957,39.9,-0.79,-1.94150897
12/08/2019,40.69,-0.02,-0.049127978,39.74,-0.97,-2.382706952,40.76,0.05,0.122819946,39.4,-1.31,-3.217882584
09/08/2019,40.71,-0.28,-0.683093437,41.39,0.4,0.975847768,41.39,0.4,0.975847768,39.9,-1.09,-2.659185167
08/08/2019,40.99,0.78,1.939815966,40.14,-0.07,-0.174086048,41.68,1.47,3.655807013,40.14,-0.07,-0.174086048
07/08/2019,40.21,0.61,1.54040404,39.62,0.02,0.050505051,40.67,1.07,2.702020202,39.12,-0.48,-1.212121212
06/08/2019,39.6,-0.85,-2.101359703,40.23,-0.22,-0.543881335,40.61,0.16,0.395550062,39.44,-1.01,-2.496909765
05/08/2019,40.45,0.07,0.173353145,40.1,-0.28,-0.69341258,40.52,0.14,0.34670629,39.02,-1.36,-3.368003962
02/08/2019,40.38,0.78,1.96969697,39.51,-0.09,-0.227272727,40.47,0.87,2.196969697,39,-0.6,-1.515151515
01/08/2019,39.6,0.53,1.356539544,38.91,-0.16,-0.409521372,39.78,0.71,1.817251088,38.21,-0.86,-2.201177374
31/07/2019,39.07,0.39,1.008273009,38.68,0,0,39.74,1.06,2.740434333,38.09,-0.59,-1.525336091
30/07/2019,38.68,0.63,1.655716163,38.25,0.2,0.525624179,39.09,1.04,2.733245729,37.88,-0.17,-0.446780552
29/07/2019,38.05,1.16,3.1444836,37.54,0.65,1.761995121,38.39,1.5,4.066142586,36.85,-0.04,-0.108430469
26/07/2019,36.89,2.86,8.404349104,34.3,0.27,0.793417573,37.83,3.8,11.16661769,34.3,0.27,0.793417573
25/07/2019,34.03,-0.05,-0.146713615,34,-0.08,-0.234741784,34.34,0.26,0.762910798,33.8,-0.28,-0.821596244
24/07/2019,34.08,0.08,0.235294118,33.97,-0.03,-0.088235294,34.56,0.56,1.647058824,33.81,-0.19,-0.558823529
23/07/2019,34,-1.02,-2.912621359,34.94,-0.08,-0.228440891,34.94,-0.08,-0.228440891,33.52,-1.5,-4.283266705
22/07/2019,35.02,-1.32,-3.632361035,36.5,0.16,0.440286186,36.73,0.39,1.073197578,34.93,-1.41,-3.880022014
19/07/2019,36.34,-0.88,-2.364320258,37.31,0.09,0.241805481,37.42,0.2,0.537345513,36.22,-1,-2.686727566
18/07/2019,37.22,-0.57,-1.508335539,37.7,-0.09,-0.238158243,38,0.21,0.555702567,36.75,-1.04,-2.752050807
17/07/2019,37.79,-0.68,-1.767611126,38.51,0.04,0.103977125,38.52,0.05,0.129971406,37.7,-0.77,-2.001559657
16/07/2019,38.47,0.16,0.417645523,38.53,0.22,0.574262595,38.63,0.32,0.835291047,37.83,-0.48,-1.25293657
15/07/2019,38.31,0.38,1.001845505,37.55,-0.38,-1.001845505,38.67,0.74,1.950962299,37.51,-0.42,-1.107302926
12/07/2019,37.93,-0.14,-0.36774363,37.94,-0.13,-0.341476228,38.3,0.23,0.60415025,37.52,-0.55,-1.444707118
11/07/2019,38.07,1.08,2.919708029,37.08,0.09,0.243309002,38.23,1.24,3.352257367,36.93,-0.06,-0.162206002
10/07/2019,36.99,0.05,0.135354629,36.85,-0.09,-0.243638332,37.66,0.72,1.949106659,36.51,-0.43,-1.164049811
09/07/2019,36.94,-0.6,-1.598295152,37.7,0.16,0.42621204,38.57,1.03,2.743740011,36.62,-0.92,-2.450719233
08/07/2019,37.54,0.42,1.131465517,37.3,0.18,0.484913793,37.89,0.77,2.074353448,36.5,-0.62,-1.670258621
05/07/2019,37.12,-0.64,-1.694915254,37.67,-0.09,-0.238347458,37.7,-0.06,-0.158898305,37.02,-0.74,-1.959745763
04/07/2019,37.76,0.36,0.962566845,37.25,-0.15,-0.401069519,37.9,0.5,1.336898396,37.21,-0.19,-0.50802139
03/07/2019,37.4,0.08,0.214362272,37.26,-0.06,-0.160771704,37.93,0.61,1.634512326,37.25,-0.07,-0.187566988
02/07/2019,37.32,-0.29,-0.771071524,37.99,0.38,1.010369583,37.99,0.38,1.010369583,36.81,-0.8,-2.127093858
01/07/2019,37.61,-0.17,-0.449973531,37.99,0.21,0.555849656,38.08,0.3,0.794070937,37.35,-0.43,-1.138168343
28/06/2019,37.78,-0.7,-1.819126819,38.32,-0.16,-0.415800416,38.76,0.28,0.727650728,37.7,-0.78,-2.027027027
27/06/2019,38.48,-1.03,-2.606934953,39.5,-0.01,-0.025310048,39.5,-0.01,-0.025310048,38.4,-1.11,-2.809415338
26/06/2019,39.51,0.05,0.126710593,39.63,0.17,0.430816016,39.8,0.34,0.861632032,39.23,-0.23,-0.582868728
25/06/2019,39.46,0.1,0.254065041,39.27,-0.09,-0.228658537,39.51,0.15,0.381097561,39.09,-0.27,-0.68597561
24/06/2019,39.36,-0.34,-0.856423174,39.5,-0.2,-0.503778338,39.88,0.18,0.453400504,39.25,-0.45,-1.133501259
21/06/2019,39.7,0.09,0.22721535,39.79,0.18,0.454430699,39.99,0.38,0.959353699,38.78,-0.83,-2.095430447
20/06/2019,39.61,0.83,2.140278494,38.99,0.21,0.541516245,39.84,1.06,2.733367715,38.72,-0.06,-0.154718927
19/06/2019,38.78,-0.03,-0.077299665,38.95,0.14,0.36073177,39.23,0.42,1.08219531,38.7,-0.11,-0.283432105
