Security,AMXL MM Equity                                                  ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,14.89,0.51,3.54659249,14.37,-0.01,-0.069541029,14.94,0.56,3.894297636,14.35,-0.03,-0.208623088
03/10/2019,14.38,-0.03,-0.208188758,14.43,0.02,0.138792505,14.47,0.06,0.416377516,14.27,-0.14,-0.971547536
02/10/2019,14.41,-0.27,-1.839237057,14.61,-0.07,-0.476839237,14.7,0.02,0.136239782,14.33,-0.35,-2.384196185
01/10/2019,14.68,0.04,0.273224044,14.68,0.04,0.273224044,14.76,0.12,0.819672131,14.54,-0.1,-0.683060109
30/09/2019,14.64,0.2,1.385041551,14.47,0.03,0.207756233,14.74,0.3,2.077562327,14.47,0.03,0.207756233
27/09/2019,14.44,-0.14,-0.960219479,14.61,0.03,0.205761317,14.65,0.07,0.480109739,14.43,-0.15,-1.028806584
26/09/2019,14.58,0.07,0.482425913,14.54,0.03,0.206753963,14.63,0.12,0.827015851,14.45,-0.06,-0.413507926
25/09/2019,14.51,0.15,1.044568245,14.39,0.03,0.208913649,14.55,0.19,1.323119777,14.18,-0.18,-1.253481894
24/09/2019,14.36,-0.31,-2.113156101,14.68,0.01,0.068166326,14.69,0.02,0.136332652,14.31,-0.36,-2.45398773
23/09/2019,14.67,-0.16,-1.078894134,14.82,-0.01,-0.067430883,14.87,0.04,0.269723533,14.6,-0.23,-1.550910317
20/09/2019,14.83,0.09,0.610583446,14.81,0.07,0.474898236,14.9,0.16,1.085481682,14.66,-0.08,-0.542740841
19/09/2019,14.74,0.16,1.09739369,14.59,0.01,0.068587106,14.79,0.21,1.440329218,14.45,-0.13,-0.891632373
18/09/2019,14.58,-0.1,-0.68119891,14.67,-0.01,-0.068119891,14.67,-0.01,-0.068119891,14.32,-0.36,-2.452316076
17/09/2019,14.68,0.4,2.801120448,14.23,-0.05,-0.350140056,14.72,0.44,3.081232493,14.11,-0.17,-1.19047619
13/09/2019,14.28,0.24,1.709401709,14.1,0.06,0.427350427,14.31,0.27,1.923076923,13.98,-0.06,-0.427350427
12/09/2019,14.04,-0.09,-0.636942675,14.09,-0.04,-0.283085633,14.22,0.09,0.636942675,14.01,-0.12,-0.8492569
11/09/2019,14.13,0.11,0.784593438,14.02,0,0,14.15,0.13,0.92724679,13.97,-0.05,-0.356633381
10/09/2019,14.02,-0.13,-0.918727915,14.11,-0.04,-0.282685512,14.18,0.03,0.212014134,13.89,-0.26,-1.83745583
09/09/2019,14.15,0,0,14.26,0.11,0.777385159,14.36,0.21,1.48409894,14.11,-0.04,-0.282685512
06/09/2019,14.15,-0.11,-0.771388499,14.3,0.04,0.280504909,14.37,0.11,0.771388499,13.97,-0.29,-2.033660589
05/09/2019,14.26,-0.18,-1.246537396,14.5,0.06,0.415512465,14.65,0.21,1.454293629,14.2,-0.24,-1.662049861
04/09/2019,14.44,0.11,0.767620377,14.43,0.1,0.697836706,14.54,0.21,1.465457083,14.34,0.01,0.069783671
03/09/2019,14.33,0.04,0.279916025,14.27,-0.02,-0.139958013,14.42,0.13,0.909727082,14.25,-0.04,-0.279916025
02/09/2019,14.29,-0.37,-2.523874488,14.66,0,0,14.66,0,0,14.24,-0.42,-2.864938608
30/08/2019,14.66,0.39,2.733006307,14.38,0.11,0.770847933,14.71,0.44,3.083391731,14.21,-0.06,-0.420462509
29/08/2019,14.27,0.38,2.735781138,13.81,-0.08,-0.575953924,14.4,0.51,3.671706263,13.81,-0.08,-0.575953924
28/08/2019,13.89,0.14,1.018181818,13.72,-0.03,-0.218181818,13.99,0.24,1.745454545,13.59,-0.16,-1.163636364
27/08/2019,13.75,0.51,3.851963746,13.29,0.05,0.377643505,13.77,0.53,4.003021148,13.25,0.01,0.075528701
26/08/2019,13.24,0.12,0.914634146,13.2,0.08,0.609756098,13.26,0.14,1.067073171,13.07,-0.05,-0.381097561
23/08/2019,13.12,-0.14,-1.055806938,13.17,-0.09,-0.678733032,13.33,0.07,0.527903469,13.09,-0.17,-1.282051282
22/08/2019,13.26,0.08,0.606980273,13.16,-0.02,-0.151745068,13.3,0.12,0.91047041,13.14,-0.04,-0.303490137
21/08/2019,13.18,0.18,1.384615385,13.04,0.04,0.307692308,13.26,0.26,2,13,0,0
20/08/2019,13,-0.02,-0.153609831,13.03,0.01,0.076804916,13.12,0.1,0.768049155,12.93,-0.09,-0.69124424
19/08/2019,13.02,-0.04,-0.306278714,13.15,0.09,0.689127106,13.2,0.14,1.071975498,12.89,-0.17,-1.301684533
16/08/2019,13.06,0.27,2.111024238,12.86,0.07,0.54730258,13.11,0.32,2.501954652,12.83,0.04,0.312744332
15/08/2019,12.79,-0.2,-1.539645881,12.96,-0.03,-0.230946882,13.01,0.02,0.153964588,12.69,-0.3,-2.309468822
14/08/2019,12.99,-0.24,-1.814058957,13.2,-0.03,-0.22675737,13.2,-0.03,-0.22675737,12.92,-0.31,-2.343159486
13/08/2019,13.23,-0.05,-0.376506024,13.25,-0.03,-0.225903614,13.39,0.11,0.828313253,13.13,-0.15,-1.129518072
12/08/2019,13.28,-0.35,-2.567865004,13.54,-0.09,-0.660308144,13.55,-0.08,-0.586940572,13.22,-0.41,-3.008070433
09/08/2019,13.63,-0.23,-1.659451659,14,0.14,1.01010101,14,0.14,1.01010101,13.52,-0.34,-2.453102453
08/08/2019,13.86,0.08,0.580551524,13.82,0.04,0.290275762,14,0.22,1.596516691,13.73,-0.05,-0.362844702
07/08/2019,13.78,0.4,2.989536622,13.32,-0.06,-0.448430493,13.86,0.48,3.587443946,13.21,-0.17,-1.270553064
06/08/2019,13.38,0.39,3.002309469,12.97,-0.02,-0.153964588,13.44,0.45,3.464203233,12.97,-0.02,-0.153964588
05/08/2019,12.99,-0.24,-1.814058957,13.15,-0.08,-0.604686319,13.17,-0.06,-0.453514739,12.81,-0.42,-3.174603175
02/08/2019,13.23,-0.15,-1.121076233,13.35,-0.03,-0.224215247,13.35,-0.03,-0.224215247,13.12,-0.26,-1.943198804
01/08/2019,13.38,-0.1,-0.741839763,13.45,-0.03,-0.222551929,13.65,0.17,1.261127596,13.3,-0.18,-1.335311573
31/07/2019,13.48,-0.31,-2.248005801,13.71,-0.08,-0.580130529,13.71,-0.08,-0.580130529,13.3,-0.49,-3.553299492
30/07/2019,13.79,-0.02,-0.144822592,13.82,0.01,0.072411296,13.84,0.03,0.217233888,13.7,-0.11,-0.796524258
29/07/2019,13.81,0.32,2.372127502,13.45,-0.04,-0.296515938,13.87,0.38,2.816901408,13.45,-0.04,-0.296515938
26/07/2019,13.49,-0.11,-0.808823529,13.57,-0.03,-0.220588235,13.73,0.13,0.955882353,13.44,-0.16,-1.176470588
25/07/2019,13.6,-0.23,-1.663051338,13.87,0.04,0.28922632,13.93,0.1,0.723065799,13.58,-0.25,-1.807664497
24/07/2019,13.83,-0.16,-1.143674053,14.05,0.06,0.42887777,14.07,0.08,0.571837026,13.76,-0.23,-1.644031451
23/07/2019,13.99,-0.11,-0.780141844,14.1,0,0,14.2,0.1,0.709219858,13.9,-0.2,-1.418439716
22/07/2019,14.1,-0.13,-0.913562895,14.18,-0.05,-0.351370344,14.31,0.08,0.562192551,14.01,-0.22,-1.546029515
19/07/2019,14.23,-0.08,-0.559049616,14.15,-0.16,-1.118099231,14.36,0.05,0.34940601,14.15,-0.16,-1.118099231
18/07/2019,14.31,-0.39,-2.653061224,14.66,-0.04,-0.272108844,14.68,-0.02,-0.136054422,14.19,-0.51,-3.469387755
17/07/2019,14.7,0.49,3.448275862,14.4,0.19,1.337086559,14.78,0.57,4.011259676,14.4,0.19,1.337086559
16/07/2019,14.21,0,0,14.25,0.04,0.281491907,14.3,0.09,0.633356791,14.09,-0.12,-0.844475721
15/07/2019,14.21,0.34,2.451333814,13.94,0.07,0.504686373,14.25,0.38,2.739726027,13.89,0.02,0.144196107
12/07/2019,13.87,-0.14,-0.999286224,14.04,0.03,0.214132762,14.07,0.06,0.428265525,13.81,-0.2,-1.427551749
11/07/2019,14.01,-0.12,-0.8492569,14,-0.13,-0.920028309,14.12,-0.01,-0.070771408,13.81,-0.32,-2.264685067
10/07/2019,14.13,0.05,0.355113636,14.2,0.12,0.852272727,14.31,0.23,1.633522727,13.97,-0.11,-0.78125
09/07/2019,14.08,-0.24,-1.675977654,14.28,-0.04,-0.279329609,14.41,0.09,0.62849162,13.75,-0.57,-3.980446927
08/07/2019,14.32,0.1,0.70323488,14.28,0.06,0.421940928,14.45,0.23,1.617440225,14.22,0,0
05/07/2019,14.22,0.04,0.282087447,14.15,-0.03,-0.211565585,14.32,0.14,0.987306065,14.03,-0.15,-1.057827927
04/07/2019,14.18,-0.04,-0.281293952,14.21,-0.01,-0.070323488,14.23,0.01,0.070323488,14.12,-0.1,-0.70323488
03/07/2019,14.22,0.01,0.070372977,14.23,0.02,0.140745954,14.28,0.07,0.492610837,13.97,-0.24,-1.688951443
02/07/2019,14.21,0.03,0.211565585,14.22,0.04,0.282087447,14.27,0.09,0.634696756,14.13,-0.05,-0.352609309
01/07/2019,14.18,0.21,1.503221188,14.05,0.08,0.572655691,14.22,0.25,1.789549034,13.85,-0.12,-0.858983536
28/06/2019,13.97,-0.1,-0.710732054,14.14,0.07,0.497512438,14.15,0.08,0.568585643,13.73,-0.34,-2.416488984
27/06/2019,14.07,-0.47,-3.232462173,14.57,0.03,0.206327373,14.57,0.03,0.206327373,14.02,-0.52,-3.576341128
26/06/2019,14.54,0.03,0.206753963,14.54,0.03,0.206753963,14.67,0.16,1.102687802,14.45,-0.06,-0.413507926
25/06/2019,14.51,-0.2,-1.359619307,14.62,-0.09,-0.611828688,14.86,0.15,1.01971448,14.49,-0.22,-1.495581237
24/06/2019,14.71,0.13,0.891632373,14.54,-0.04,-0.274348422,14.76,0.18,1.234567901,14.52,-0.06,-0.411522634
21/06/2019,14.58,0.02,0.137362637,14.59,0.03,0.206043956,14.66,0.1,0.686813187,14.5,-0.06,-0.412087912
20/06/2019,14.56,0.27,1.88943317,14.39,0.1,0.699790063,14.64,0.35,2.44926522,14.21,-0.08,-0.55983205
19/06/2019,14.29,0.27,1.925820257,13.99,-0.03,-0.213980029,14.32,0.3,2.139800285,13.99,-0.03,-0.213980029
18/06/2019,14.02,0.15,1.0814708,13.95,0.08,0.576784427,14.05,0.18,1.29776496,13.85,-0.02,-0.144196107
17/06/2019,13.87,-0.06,-0.430725054,13.96,0.03,0.215362527,14.05,0.12,0.861450108,13.83,-0.1,-0.71787509
14/06/2019,13.93,-0.25,-1.763046544,14.21,0.03,0.211565585,14.21,0.03,0.211565585,13.9,-0.28,-1.97461213
13/06/2019,14.18,-0.13,-0.908455625,14.37,0.06,0.419287212,14.38,0.07,0.489168414,14.05,-0.26,-1.816911251
12/06/2019,14.31,-0.13,-0.900277008,14.45,0.01,0.069252078,14.45,0.01,0.069252078,14.2,-0.24,-1.662049861
11/06/2019,14.44,0.06,0.417246175,14.43,0.05,0.347705146,14.52,0.14,0.973574409,14.34,-0.04,-0.278164117
10/06/2019,14.38,-0.09,-0.621976503,14.5,0.03,0.207325501,14.86,0.39,2.695231513,14.2,-0.27,-1.865929509
07/06/2019,14.47,0.19,1.330532213,14.31,0.03,0.210084034,14.57,0.29,2.030812325,14.3,0.02,0.140056022
06/06/2019,14.28,-0.22,-1.517241379,14.46,-0.04,-0.275862069,14.69,0.19,1.310344828,14.25,-0.25,-1.724137931
05/06/2019,14.5,0.2,1.398601399,14.34,0.04,0.27972028,14.55,0.25,1.748251748,14.18,-0.12,-0.839160839
04/06/2019,14.3,0.08,0.562587904,14.17,-0.05,-0.35161744,14.48,0.26,1.828410689,14.04,-0.18,-1.265822785
03/06/2019,14.22,0.43,3.118201595,13.8,0.01,0.072516316,14.25,0.46,3.335750544,13.74,-0.05,-0.362581581
31/05/2019,13.79,-0.27,-1.920341394,13.82,-0.24,-1.706970128,14.15,0.09,0.640113798,13.5,-0.56,-3.982930299
30/05/2019,14.06,0.26,1.884057971,13.77,-0.03,-0.217391304,14.11,0.31,2.246376812,13.77,-0.03,-0.217391304
29/05/2019,13.8,0.37,2.755026061,13.39,-0.04,-0.297840655,13.89,0.46,3.425167535,13.31,-0.12,-0.893521966
28/05/2019,13.43,-0.08,-0.59215396,13.51,0,0,13.6,0.09,0.666173205,13.39,-0.12,-0.88823094
27/05/2019,13.51,-0.06,-0.442151805,13.52,-0.05,-0.368459838,13.58,0.01,0.073691968,13.48,-0.09,-0.663227708
24/05/2019,13.57,0,0,13.64,0.07,0.515843773,13.67,0.1,0.736919676,13.4,-0.17,-1.252763449
23/05/2019,13.57,-0.08,-0.586080586,13.57,-0.08,-0.586080586,13.63,-0.02,-0.146520147,13.42,-0.23,-1.684981685
22/05/2019,13.65,-0.11,-0.799418605,13.7,-0.06,-0.436046512,13.74,-0.02,-0.145348837,13.52,-0.24,-1.744186047
21/05/2019,13.76,0,0,13.82,0.06,0.436046512,14.1,0.34,2.470930233,13.51,-0.25,-1.816860465
20/05/2019,13.76,-0.07,-0.506146059,13.81,-0.02,-0.14461316,13.99,0.16,1.156905278,13.69,-0.14,-1.012292119
17/05/2019,13.83,0.09,0.655021834,13.69,-0.05,-0.363901019,13.87,0.13,0.946142649,13.62,-0.12,-0.873362445
16/05/2019,13.74,0.2,1.477104874,13.58,0.04,0.295420975,13.78,0.24,1.772525849,13.49,-0.05,-0.369276219
15/05/2019,13.54,0.03,0.222057735,13.36,-0.15,-1.110288675,13.6,0.09,0.666173205,13.25,-0.26,-1.92450037
14/05/2019,13.51,0.12,0.896191187,13.36,-0.03,-0.224047797,13.6,0.21,1.568334578,13.36,-0.03,-0.224047797
13/05/2019,13.39,-0.13,-0.961538462,13.45,-0.07,-0.517751479,13.45,-0.07,-0.517751479,13.18,-0.34,-2.514792899
10/05/2019,13.52,0,0,13.42,-0.1,-0.73964497,13.65,0.13,0.961538462,13.16,-0.36,-2.662721893
09/05/2019,13.52,0.28,2.114803625,13.15,-0.09,-0.679758308,13.54,0.3,2.265861027,12.84,-0.4,-3.021148036
08/05/2019,13.24,-0.24,-1.78041543,13.48,0,0,13.49,0.01,0.074183976,13.18,-0.3,-2.225519288
07/05/2019,13.48,-0.28,-2.034883721,13.75,-0.01,-0.072674419,13.79,0.03,0.218023256,13.35,-0.41,-2.979651163
06/05/2019,13.76,-0.22,-1.573676681,13.9,-0.08,-0.572246066,13.9,-0.08,-0.572246066,13.61,-0.37,-2.646638054
03/05/2019,13.98,-0.11,-0.780695529,14.04,-0.05,-0.354861604,14.13,0.04,0.283889283,13.95,-0.14,-0.993612491
02/05/2019,14.09,-0.03,-0.212464589,14.1,-0.02,-0.141643059,14.16,0.04,0.283286119,13.92,-0.2,-1.416430595
30/04/2019,14.12,-0.68,-4.594594595,14.83,0.03,0.202702703,14.83,0.03,0.202702703,13.9,-0.9,-6.081081081
29/04/2019,14.8,0.04,0.27100271,14.76,0,0,14.86,0.1,0.677506775,14.68,-0.08,-0.54200542
26/04/2019,14.76,-0.05,-0.337609723,14.85,0.04,0.270087779,14.86,0.05,0.337609723,14.61,-0.2,-1.350438893
25/04/2019,14.81,0.13,0.885558583,14.68,0,0,14.84,0.16,1.089918256,14.63,-0.05,-0.340599455
24/04/2019,14.68,0.15,1.032346869,14.45,-0.08,-0.550584997,14.7,0.17,1.169993118,14.36,-0.17,-1.169993118
23/04/2019,14.53,-0.29,-1.956815115,14.85,0.03,0.20242915,14.85,0.03,0.20242915,14.45,-0.37,-2.496626181
22/04/2019,14.82,-0.09,-0.60362173,14.94,0.03,0.201207243,15.05,0.14,0.938967136,14.78,-0.13,-0.871898055
17/04/2019,14.91,0.1,0.675219446,14.83,0.02,0.135043889,15.07,0.26,1.75557056,14.67,-0.14,-0.945307225
16/04/2019,14.81,0.15,1.02319236,14.69,0.03,0.204638472,14.85,0.19,1.296043656,14.62,-0.04,-0.272851296
15/04/2019,14.66,0.14,0.964187328,14.47,-0.05,-0.344352617,14.8,0.28,1.928374656,14.41,-0.11,-0.757575758
12/04/2019,14.52,-0.24,-1.62601626,14.8,0.04,0.27100271,14.8,0.04,0.27100271,14.36,-0.4,-2.7100271
11/04/2019,14.76,-0.19,-1.27090301,14.92,-0.03,-0.200668896,14.98,0.03,0.200668896,14.65,-0.3,-2.006688963
10/04/2019,14.95,0.01,0.066934404,14.94,0,0,14.98,0.04,0.267737617,14.75,-0.19,-1.271753681
09/04/2019,14.94,-0.01,-0.066889632,14.95,0,0,15.02,0.07,0.468227425,14.75,-0.2,-1.337792642
08/04/2019,14.95,0.21,1.424694708,14.7,-0.04,-0.271370421,15,0.26,1.763907734,14.56,-0.18,-1.221166893
05/04/2019,14.74,0.61,4.317055909,14.35,0.22,1.556970984,15.02,0.89,6.298655343,14.16,0.03,0.212314225
04/04/2019,14.13,0.31,2.243125904,13.86,0.04,0.289435601,14.16,0.34,2.460202605,13.78,-0.04,-0.289435601
03/04/2019,13.82,0.04,0.290275762,13.86,0.08,0.580551524,13.91,0.13,0.943396226,13.68,-0.1,-0.725689405
