Security,ASURB MF Equity                                                 ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,303.92,2.22,0.735830295,300.64,-1.06,-0.351342393,307.53,5.83,1.932383162,299,-2.7,-0.894928737
03/10/2019,301.7,2.52,0.842302293,299.62,0.44,0.147068654,303,3.82,1.276823317,298.54,-0.64,-0.213918043
02/10/2019,299.18,-6.2,-2.030257384,302.94,-2.44,-0.799004519,303.98,-1.4,-0.458445216,298.41,-6.97,-2.282402253
01/10/2019,305.38,3.74,1.239888609,301.34,-0.3,-0.099456306,306.07,4.43,1.468638112,300.75,-0.89,-0.295053706
30/09/2019,301.64,6.13,2.074379886,293.01,-2.5,-0.845995059,302.74,7.23,2.446617712,293.01,-2.5,-0.845995059
27/09/2019,295.51,0.37,0.125364234,293.8,-1.34,-0.45402182,297.46,2.32,0.786067629,293.45,-1.69,-0.572609609
26/09/2019,295.14,-3.24,-1.085863664,300.43,2.05,0.687043368,300.95,2.57,0.861317783,293.62,-4.76,-1.595281185
25/09/2019,298.38,-1.59,-0.530053005,299.08,-0.89,-0.296696336,299.72,-0.25,-0.083341668,295.05,-4.92,-1.640164016
24/09/2019,299.97,-8.11,-2.632433134,307.96,-0.12,-0.038950922,307.96,-0.12,-0.038950922,299.53,-8.55,-2.775253181
23/09/2019,308.08,-1.69,-0.545566065,309.34,-0.43,-0.138812667,309.34,-0.43,-0.138812667,304.3,-5.47,-1.765826258
20/09/2019,309.77,9.13,3.03685471,300.24,-0.4,-0.133049494,311.73,11.09,3.688797233,299.82,-0.82,-0.272751464
19/09/2019,300.64,-6.04,-1.969479588,306.39,-0.29,-0.094561106,307.4,0.72,0.234772401,299.4,-7.28,-2.373809834
18/09/2019,306.68,3.35,1.104407741,301.26,-2.07,-0.682425082,307.34,4.01,1.321992549,300.77,-2.56,-0.843965318
17/09/2019,303.33,4.2,1.404071808,297.19,-1.94,-0.648547454,307,7.87,2.630963126,295.97,-3.16,-1.056396884
13/09/2019,299.13,1.39,0.466850272,299.72,1.98,0.66500974,299.87,2.13,0.715389266,294.51,-3.23,-1.084839121
12/09/2019,297.74,1.16,0.391125497,296.95,0.37,0.124755547,301.3,4.72,1.591476162,292.97,-3.61,-1.217209522
11/09/2019,296.58,1.26,0.426655831,296.98,1.66,0.562102127,299.83,4.51,1.527156982,294.74,-0.58,-0.196397129
