Security,BBAJIOO MF Equity                                               ,,,,,,,,,,,
Start Date,07/06/2017 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,32.24,0.13,0.4048583,32.04,-0.07,-0.218000623,33.01,0.9,2.802865151,30.84,-1.27,-3.955154158
03/10/2019,32.11,-0.54,-1.653905054,32.31,-0.34,-1.041347626,32.7,0.05,0.153139357,32.02,-0.63,-1.929555896
02/10/2019,32.65,-0.25,-0.759878419,32.88,-0.02,-0.060790274,32.99,0.09,0.273556231,32.24,-0.66,-2.006079027
01/10/2019,32.9,0.27,0.827459393,32.55,-0.08,-0.245173154,32.92,0.29,0.888752682,32.54,-0.09,-0.275819798
30/09/2019,32.63,-0.2,-0.609198903,32.73,-0.1,-0.304599452,33.46,0.63,1.918976546,32.5,-0.33,-1.005178191
27/09/2019,32.83,0.21,0.643776824,32.8,0.18,0.551808706,32.98,0.36,1.103617413,32.6,-0.02,-0.061312078
26/09/2019,32.62,-0.11,-0.336083104,32.83,0.1,0.305530095,32.83,0.1,0.305530095,32.25,-0.48,-1.466544455
25/09/2019,32.73,-0.45,-1.356238698,33.12,-0.06,-0.180831826,33.12,-0.06,-0.180831826,32.12,-1.06,-3.1946956
24/09/2019,33.18,-0.35,-1.043841336,33.55,0.02,0.059648076,33.55,0.02,0.059648076,33.01,-0.52,-1.550849985
23/09/2019,33.53,-0.3,-0.886786876,33.91,0.08,0.2364765,34.4,0.57,1.684895064,33,-0.83,-2.453443689
20/09/2019,33.83,-0.08,-0.235918608,34.24,0.33,0.973164258,34.5,0.59,1.739899735,33.52,-0.39,-1.150103214
19/09/2019,33.91,-0.41,-1.194638695,34.49,0.17,0.495337995,34.49,0.17,0.495337995,33.88,-0.44,-1.282051282
18/09/2019,34.32,-0.41,-1.18053556,34.73,0,0,34.73,0,0,34.06,-0.67,-1.929167866
17/09/2019,34.73,-0.26,-0.743069448,35.05,0.06,0.171477565,35.05,0.06,0.171477565,34.01,-0.98,-2.800800229
13/09/2019,34.99,0.2,0.574877838,34.96,0.17,0.488646163,35.18,0.39,1.121011785,34.75,-0.04,-0.114975568
12/09/2019,34.79,0.2,0.578201792,34.5,-0.09,-0.260190807,34.96,0.37,1.069673316,34.5,-0.09,-0.260190807
11/09/2019,34.59,0.02,0.05785363,34.5,-0.07,-0.202487706,34.89,0.32,0.925658085,34.4,-0.17,-0.491755858
10/09/2019,34.57,-0.26,-0.746482917,34.9,0.07,0.20097617,35.25,0.42,1.20585702,34.2,-0.63,-1.80878553
09/09/2019,34.83,0.28,0.810419682,34.7,0.15,0.434153401,35.18,0.63,1.823444284,34.19,-0.36,-1.041968162
06/09/2019,34.55,0.96,2.85799345,33.68,0.09,0.267936886,34.9,1.31,3.899970229,33.62,0.03,0.089312295
05/09/2019,33.59,0.87,2.658924205,33.03,0.31,0.947432763,34.17,1.45,4.431540342,32.74,0.02,0.061124694
04/09/2019,32.72,-0.21,-0.637716368,32.89,-0.04,-0.121469784,33.48,0.55,1.670209535,32.32,-0.61,-1.852414212
03/09/2019,32.93,-0.64,-1.906464105,33.65,0.08,0.238308013,33.65,0.08,0.238308013,32.81,-0.76,-2.263926125
02/09/2019,33.57,0.07,0.208955224,33.65,0.15,0.447761194,33.7,0.2,0.597014925,33.01,-0.49,-1.462686567
30/08/2019,33.5,0.05,0.149476831,33.68,0.23,0.687593423,34.2,0.75,2.242152466,33.15,-0.3,-0.896860987
29/08/2019,33.45,0.92,2.828158623,32.63,0.1,0.307408546,33.5,0.97,2.981862896,32.63,0.1,0.307408546
28/08/2019,32.53,-0.34,-1.034377852,32.79,-0.08,-0.243383024,33.07,0.2,0.60845756,32.19,-0.68,-2.068755704
27/08/2019,32.87,0.54,1.670275286,32.37,0.04,0.123724095,33.72,1.39,4.299412311,32.37,0.04,0.123724095
26/08/2019,32.33,-0.28,-0.858632321,32.53,-0.08,-0.24532352,33,0.39,1.195952162,32.25,-0.36,-1.103955842
23/08/2019,32.61,-0.17,-0.518608908,32.59,-0.19,-0.579621721,33.11,0.33,1.006711409,32.35,-0.43,-1.311775473
22/08/2019,32.78,-0.28,-0.846944949,33.04,-0.02,-0.060496068,33.15,0.09,0.272232305,32.63,-0.43,-1.300665457
21/08/2019,33.06,0.84,2.60707635,32.37,0.15,0.465549348,33.25,1.03,3.196772191,32.23,0.01,0.031036623
20/08/2019,32.22,-1.04,-3.126879134,33.36,0.1,0.300661455,33.41,0.15,0.450992183,32.11,-1.15,-3.457606735
19/08/2019,33.26,-0.52,-1.53937241,33.88,0.1,0.296033156,34.45,0.67,1.983422143,32.89,-0.89,-2.634695086
16/08/2019,33.78,0.78,2.363636364,33.02,0.02,0.060606061,34,1,3.03030303,32.72,-0.28,-0.848484848
15/08/2019,33,-0.18,-0.542495479,33.25,0.07,0.210970464,33.87,0.69,2.079566004,32.47,-0.71,-2.139843279
14/08/2019,33.18,-1.19,-3.462321792,34.2,-0.17,-0.494617399,34.35,-0.02,-0.058190282,32.7,-1.67,-4.858888566
13/08/2019,34.37,-0.65,-1.856082239,34.9,-0.12,-0.342661336,35.39,0.37,1.056539121,34.02,-1,-2.855511136
12/08/2019,35.02,-0.01,-0.02854696,35.01,-0.02,-0.057093919,35.49,0.46,1.313160148,35,-0.03,-0.085640879
09/08/2019,35.03,-0.46,-1.296139758,35.31,-0.18,-0.507185123,35.4,-0.09,-0.253592561,35,-0.49,-1.380670611
08/08/2019,35.49,-0.35,-0.9765625,35.75,-0.09,-0.251116071,36.3,0.46,1.283482143,35.33,-0.51,-1.422991071
07/08/2019,35.84,0.83,2.370751214,34.88,-0.13,-0.371322479,36.2,1.19,3.399028849,34.88,-0.13,-0.371322479
06/08/2019,35.01,-0.18,-0.511508951,35.22,0.03,0.085251492,35.44,0.25,0.710429099,35,-0.19,-0.539926115
05/08/2019,35.19,-0.33,-0.929054054,35.42,-0.1,-0.281531532,35.43,-0.09,-0.253378378,34.87,-0.65,-1.829954955
02/08/2019,35.52,-0.1,-0.280741157,35.79,0.17,0.477259966,35.79,0.17,0.477259966,34.81,-0.81,-2.274003369
01/08/2019,35.62,-0.43,-1.192787795,36.08,0.03,0.083217753,36.36,0.31,0.859916782,34.8,-1.25,-3.46740638
31/07/2019,36.05,0,0,36,-0.05,-0.138696255,36.27,0.22,0.610263523,35.99,-0.06,-0.166435506
30/07/2019,36.05,-0.02,-0.055447741,35.98,-0.09,-0.249514832,36.16,0.09,0.249514832,35.7,-0.37,-1.025783199
29/07/2019,36.07,0.98,2.792818467,35.1,0.01,0.028498148,36.25,1.16,3.305785124,34.85,-0.24,-0.683955543
26/07/2019,35.09,-0.01,-0.028490028,35.21,0.11,0.313390313,35.5,0.4,1.13960114,34.71,-0.39,-1.111111111
25/07/2019,35.1,-0.51,-1.432181971,35.53,-0.08,-0.224655996,35.53,-0.08,-0.224655996,34.92,-0.69,-1.937657961
