Security,BIMBOA MF Equity                                                ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,35.78,0.5,1.41723356,35.5,0.22,0.623582766,35.99,0.71,2.012471655,35.29,0.01,0.028344671
03/10/2019,35.28,-0.2,-0.563697858,35.48,0,0,35.79,0.31,0.87373168,35.25,-0.23,-0.648252537
02/10/2019,35.48,-0.76,-2.097130243,36.01,-0.23,-0.634657837,36.32,0.08,0.220750552,34.8,-1.44,-3.973509934
01/10/2019,36.24,0.25,0.694637399,35.95,-0.04,-0.111141984,36.35,0.36,1.000277855,35.95,-0.04,-0.111141984
30/09/2019,35.99,-0.06,-0.166435506,36.23,0.18,0.499306519,36.4,0.35,0.970873786,35.63,-0.42,-1.165048544
27/09/2019,36.05,-0.02,-0.055447741,36.15,0.08,0.221790962,36.34,0.27,0.748544497,35.84,-0.23,-0.637649016
26/09/2019,36.07,-0.11,-0.304035379,36.4,0.22,0.608070757,36.66,0.48,1.326699834,35.99,-0.19,-0.525152018
25/09/2019,36.18,-0.5,-1.363140676,36.63,-0.05,-0.136314068,36.74,0.06,0.163576881,36.05,-0.63,-1.717557252
24/09/2019,36.68,-1.22,-3.218997361,37.63,-0.27,-0.712401055,37.92,0.02,0.052770449,36.45,-1.45,-3.82585752
23/09/2019,37.9,0.83,2.239007284,37.09,0.02,0.053951983,38.28,1.21,3.264094955,36.57,-0.5,-1.348799568
20/09/2019,37.07,1,2.772387025,36.12,0.05,0.138619351,37.54,1.47,4.075408927,35.71,-0.36,-0.998059329
19/09/2019,36.07,0.22,0.613668061,36,0.15,0.418410042,36.29,0.44,1.227336123,35.98,0.13,0.362622036
18/09/2019,35.85,-0.38,-1.04885454,36.23,0,0,36.39,0.16,0.441622964,35.67,-0.56,-1.545680375
17/09/2019,36.23,-0.5,-1.361285053,36.73,0,0,36.8,0.07,0.190579907,35.89,-0.84,-2.286958889
13/09/2019,36.73,0.58,1.604426003,36.07,-0.08,-0.221300138,36.86,0.71,1.964038728,35.9,-0.25,-0.691562932
12/09/2019,36.15,-0.59,-1.605879151,36.81,0.07,0.190528035,37.28,0.54,1.469787697,35.84,-0.9,-2.449646162
11/09/2019,36.74,-0.56,-1.501340483,37.36,0.06,0.160857909,37.36,0.06,0.160857909,36.49,-0.81,-2.171581769
10/09/2019,37.3,0.39,1.056624221,36.89,-0.02,-0.054185857,38,1.09,2.953129233,36.1,-0.81,-2.194527228
09/09/2019,36.91,-0.37,-0.99248927,37.56,0.28,0.751072961,37.94,0.66,1.770386266,36.81,-0.47,-1.260729614
06/09/2019,37.28,0.24,0.647948164,37.14,0.1,0.269978402,37.92,0.88,2.375809935,36.84,-0.2,-0.539956803
05/09/2019,37.04,0.49,1.340629275,36.98,0.43,1.176470588,37.97,1.42,3.885088919,36.1,-0.45,-1.23119015
04/09/2019,36.55,2.35,6.871345029,34.34,0.14,0.409356725,37.15,2.95,8.625730994,34.34,0.14,0.409356725
03/09/2019,34.2,-0.99,-2.813299233,35.35,0.16,0.454674623,35.35,0.16,0.454674623,34.01,-1.18,-3.353225348
02/09/2019,35.19,0.12,0.342172797,35.12,0.05,0.142571999,35.49,0.42,1.19760479,34.62,-0.45,-1.28314799
30/08/2019,35.07,0.47,1.358381503,34.85,0.25,0.722543353,35.6,1,2.89017341,34.6,0,0
29/08/2019,34.6,0.87,2.579306256,33.99,0.26,0.770827157,34.76,1.03,3.053661429,33.8,0.07,0.207530388
28/08/2019,33.73,0.46,1.382626991,33.38,0.11,0.330628194,34,0.73,2.194168921,33.34,0.07,0.21039976
27/08/2019,33.27,0.44,1.340237588,32.92,0.09,0.274139507,33.63,0.8,2.436795614,32.92,0.09,0.274139507
26/08/2019,32.83,-0.15,-0.454821104,33.29,0.31,0.939963614,33.38,0.4,1.212856277,32.55,-0.43,-1.303820497
23/08/2019,32.98,-0.38,-1.139088729,33.36,0,0,33.49,0.13,0.389688249,32.8,-0.56,-1.678657074
22/08/2019,33.36,0.22,0.663850332,33.31,0.17,0.512975256,33.8,0.66,1.991550996,33.2,0.06,0.181050091
21/08/2019,33.14,-0.53,-1.574101574,33.82,0.15,0.445500446,33.87,0.2,0.594000594,32.93,-0.74,-2.197802198
20/08/2019,33.67,-0.55,-1.607247224,34.4,0.18,0.526008182,34.59,0.37,1.081239041,33.59,-0.63,-1.841028638
19/08/2019,34.22,0.1,0.293083236,34.37,0.25,0.732708089,34.82,0.7,2.051582649,34.05,-0.07,-0.205158265
16/08/2019,34.12,0.2,0.589622642,34.17,0.25,0.737028302,34.5,0.58,1.70990566,33.61,-0.31,-0.913915094
15/08/2019,33.92,0.57,1.709145427,33.47,0.12,0.35982009,34.75,1.4,4.197901049,33.04,-0.31,-0.929535232
14/08/2019,33.35,-1.3,-3.751803752,34.51,-0.14,-0.404040404,34.52,-0.13,-0.375180375,33.17,-1.48,-4.271284271
13/08/2019,34.65,-0.63,-1.785714286,35.2,-0.08,-0.22675737,35.7,0.42,1.19047619,34.43,-0.85,-2.409297052
12/08/2019,35.28,-0.36,-1.01010101,35.6,-0.04,-0.112233446,35.6,-0.04,-0.112233446,35.01,-0.63,-1.767676768
09/08/2019,35.64,-0.12,-0.33557047,35.63,-0.13,-0.363534676,35.96,0.2,0.559284116,35.31,-0.45,-1.258389262
08/08/2019,35.76,-0.41,-1.13353608,36.29,0.12,0.331766657,36.29,0.12,0.331766657,35.56,-0.61,-1.686480509
07/08/2019,36.17,0.19,0.528071151,35.7,-0.28,-0.778210117,36.5,0.52,1.44524736,35.5,-0.48,-1.334074486
06/08/2019,35.98,0.33,0.925666199,35.57,-0.08,-0.224403927,36.23,0.58,1.626928471,35.44,-0.21,-0.589060309
05/08/2019,35.65,0.42,1.192165768,34.97,-0.26,-0.73800738,36,0.77,2.185637241,34.56,-0.67,-1.901788249
02/08/2019,35.23,-0.48,-1.344161299,35.63,-0.08,-0.224026883,35.63,-0.08,-0.224026883,34.56,-1.15,-3.220386446
01/08/2019,35.71,-0.79,-2.164383562,36.5,0,0,36.98,0.48,1.315068493,35.44,-1.06,-2.904109589
31/07/2019,36.5,-0.11,-0.300464354,36.52,-0.09,-0.245834471,36.94,0.33,0.901393062,36.14,-0.47,-1.28380224
30/07/2019,36.61,0.23,0.632215503,36.47,0.09,0.247388675,37.4,1.02,2.803738318,36.4,0.02,0.054975261
29/07/2019,36.38,-0.44,-1.195002716,36.75,-0.07,-0.190114068,36.75,-0.07,-0.190114068,36.3,-0.52,-1.412275937
26/07/2019,36.82,0.54,1.488423374,36.19,-0.09,-0.248070562,37.86,1.58,4.355016538,36.19,-0.09,-0.248070562
25/07/2019,36.28,-0.41,-1.1174707,36.5,-0.19,-0.517852276,36.97,0.28,0.763150722,35.86,-0.83,-2.262196784
24/07/2019,36.69,0.44,1.213793103,36.15,-0.1,-0.275862069,37.4,1.15,3.172413793,36.07,-0.18,-0.496551724
23/07/2019,36.25,-3.49,-8.782083543,38.99,-0.75,-1.887267237,38.99,-0.75,-1.887267237,35.9,-3.84,-9.662808254
22/07/2019,39.74,-0.64,-1.584943041,40.48,0.1,0.24764735,40.48,0.1,0.24764735,39.02,-1.36,-3.368003962
19/07/2019,40.38,-0.52,-1.271393643,40.72,-0.18,-0.4400978,41.27,0.37,0.904645477,40.08,-0.82,-2.004889976
18/07/2019,40.9,0.14,0.343473994,40.66,-0.1,-0.245338567,41.29,0.53,1.300294406,40.6,-0.16,-0.392541708
17/07/2019,40.76,0.29,0.716580183,40.79,0.32,0.790709167,40.94,0.47,1.161354089,40.18,-0.29,-0.716580183
16/07/2019,40.47,-0.04,-0.098741052,40.67,0.16,0.394964206,40.76,0.25,0.617131572,40.1,-0.41,-1.012095779
15/07/2019,40.51,0.2,0.4961548,40.21,-0.1,-0.2480774,40.6,0.29,0.71942446,39.91,-0.4,-0.992309601
12/07/2019,40.31,-0.06,-0.148625217,40.19,-0.18,-0.44587565,40.5,0.13,0.322021303,40.04,-0.33,-0.817438692
11/07/2019,40.37,0.36,0.899775056,40.11,0.1,0.249937516,40.58,0.57,1.424643839,39.96,-0.05,-0.124968758
