Security,BOLSAA MF Equity                                                ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,37.43,0.44,1.189510679,36.9,-0.09,-0.243309002,37.52,0.53,1.432819681,36.23,-0.76,-2.054609354
03/10/2019,36.99,-0.2,-0.537778973,37.1,-0.09,-0.242000538,37.23,0.04,0.107555795,36.8,-0.39,-1.048668997
02/10/2019,37.19,-0.07,-0.187869028,37.07,-0.19,-0.50993022,37.7,0.44,1.180891036,36.85,-0.41,-1.100375738
01/10/2019,37.26,0.15,0.404203719,37.05,-0.06,-0.161681487,37.59,0.48,1.2934519,37.05,-0.06,-0.161681487
30/09/2019,37.11,0.48,1.31040131,36.85,0.22,0.600600601,37.79,1.16,3.166803167,36.85,0.22,0.600600601
27/09/2019,36.63,-1.35,-3.55450237,37.39,-0.59,-1.553449184,37.48,-0.5,-1.316482359,36.46,-1.52,-4.002106372
26/09/2019,37.98,0.45,1.199040767,37.63,0.1,0.266453504,38.19,0.66,1.758593125,37.5,-0.03,-0.079936051
25/09/2019,37.53,-0.67,-1.753926702,38.2,0,0,38.2,0,0,37.4,-0.8,-2.094240838
24/09/2019,38.2,0.05,0.131061599,38.23,0.08,0.209698558,38.37,0.22,0.576671035,38.07,-0.08,-0.209698558
23/09/2019,38.15,0.14,0.368324125,38.01,0,0,38.4,0.39,1.026045777,37.96,-0.05,-0.13154433
20/09/2019,38.01,0.53,1.414087513,37.63,0.15,0.400213447,38.37,0.89,2.374599787,37.19,-0.29,-0.773745998
19/09/2019,37.48,0.53,1.434370771,36.98,0.03,0.081190798,37.84,0.89,2.408660352,36.98,0.03,0.081190798
18/09/2019,36.95,-0.51,-1.361452216,37.55,0.09,0.240256273,37.55,0.09,0.240256273,36.5,-0.96,-2.562733582
17/09/2019,37.46,-0.19,-0.504648074,37.55,-0.1,-0.26560425,37.65,0,0,37.29,-0.36,-0.956175299
13/09/2019,37.65,0.04,0.106354693,37.71,0.1,0.265886732,38.16,0.55,1.462377027,37.53,-0.08,-0.212709386
12/09/2019,37.61,0.18,0.480897676,37.45,0.02,0.053433075,37.74,0.31,0.828212664,37.41,-0.02,-0.053433075
11/09/2019,37.43,0.19,0.510204082,37.27,0.03,0.080558539,37.6,0.36,0.96670247,37.27,0.03,0.080558539
10/09/2019,37.24,0.02,0.053734551,37.28,0.06,0.161203654,37.5,0.28,0.752283718,36.84,-0.38,-1.020956475
09/09/2019,37.22,0.09,0.242391597,37.35,0.22,0.592512793,37.5,0.37,0.996498788,36.76,-0.37,-0.996498788
06/09/2019,37.13,0.06,0.161855948,37.3,0.23,0.620447801,37.41,0.34,0.917183707,36.72,-0.35,-0.944159698
05/09/2019,37.07,0.82,2.262068966,36.17,-0.08,-0.220689655,37.4,1.15,3.172413793,36.17,-0.08,-0.220689655
04/09/2019,36.25,0.35,0.974930362,35.81,-0.09,-0.250696379,36.46,0.56,1.559888579,35.81,-0.09,-0.250696379
03/09/2019,35.9,0.09,0.251326445,35.84,0.03,0.083775482,36.14,0.33,0.921530299,35.03,-0.78,-2.178162524
02/09/2019,35.81,-1.06,-2.874966097,36.67,-0.2,-0.542446433,37.2,0.33,0.895036615,35.71,-1.16,-3.146189314
30/08/2019,36.87,0.43,1.180021954,36.34,-0.1,-0.27442371,37.25,0.81,2.222832053,36.01,-0.43,-1.180021954
29/08/2019,36.44,0.76,2.130044843,35.78,0.1,0.280269058,36.87,1.19,3.335201794,35.74,0.06,0.168161435
28/08/2019,35.68,0.14,0.393922341,35.72,0.18,0.506471581,35.9,0.36,1.012943163,35.29,-0.25,-0.703432752
27/08/2019,35.54,0.19,0.53748232,35.29,-0.06,-0.169731259,35.88,0.53,1.499292786,35.11,-0.24,-0.678925035
26/08/2019,35.35,0.15,0.426136364,35.3,0.1,0.284090909,35.7,0.5,1.420454545,35.09,-0.11,-0.3125
23/08/2019,35.2,-0.2,-0.564971751,35.48,0.08,0.225988701,35.78,0.38,1.073446328,34.98,-0.42,-1.186440678
22/08/2019,35.4,0.44,1.258581236,35.18,0.22,0.629290618,35.82,0.86,2.459954233,34.97,0.01,0.028604119
21/08/2019,34.96,0.25,0.720253529,34.98,0.27,0.777873812,35.39,0.68,1.9590896,34.37,-0.34,-0.9795448
20/08/2019,34.71,0.31,0.901162791,34.46,0.06,0.174418605,35.08,0.68,1.976744186,34.46,0.06,0.174418605
19/08/2019,34.4,0.06,0.174723355,34.41,0.07,0.203843914,34.92,0.58,1.688992429,33.84,-0.5,-1.456027956
16/08/2019,34.34,0.17,0.497512438,34.19,0.02,0.058530875,34.64,0.47,1.375475563,33.99,-0.18,-0.526777875
15/08/2019,34.17,0.05,0.146541618,34.15,0.03,0.087924971,34.58,0.46,1.348182884,33.9,-0.22,-0.644783118
14/08/2019,34.12,-0.28,-0.813953488,34.3,-0.1,-0.290697674,34.43,0.03,0.087209302,33.61,-0.79,-2.296511628
13/08/2019,34.4,-0.05,-0.145137881,34.6,0.15,0.435413643,34.6,0.15,0.435413643,34.07,-0.38,-1.103047896
12/08/2019,34.45,0.04,0.116245278,34.22,-0.19,-0.552165068,34.76,0.35,1.017146178,34.01,-0.4,-1.162452775
09/08/2019,34.41,0.17,0.496495327,34.44,0.2,0.58411215,34.54,0.3,0.876168224,34.01,-0.23,-0.671728972
08/08/2019,34.24,0.61,1.813856676,33.73,0.1,0.297353553,34.49,0.86,2.557240559,33.57,-0.06,-0.178412132
07/08/2019,33.63,1.22,3.764270287,32.16,-0.25,-0.771366862,33.76,1.35,4.165381055,32.01,-0.4,-1.234186979
06/08/2019,32.41,0,0,32.33,-0.08,-0.246837396,33.09,0.68,2.098117865,32.19,-0.22,-0.678802839
05/08/2019,32.41,-0.11,-0.338253383,32.44,-0.08,-0.24600246,32.79,0.27,0.830258303,32,-0.52,-1.59901599
02/08/2019,32.52,0.46,1.434809732,32.06,0,0,32.67,0.61,1.90268247,31.95,-0.11,-0.343106675
01/08/2019,32.06,0.1,0.312891114,32.02,0.06,0.187734668,32.4,0.44,1.376720901,31.9,-0.06,-0.187734668
31/07/2019,31.96,0,0,31.8,-0.16,-0.500625782,33.35,1.39,4.349186483,31.6,-0.36,-1.12640801
30/07/2019,31.96,-0.06,-0.187382886,31.92,-0.1,-0.312304809,32.2,0.18,0.562148657,31.71,-0.31,-0.968144909
29/07/2019,32.02,0.14,0.439146801,31.73,-0.15,-0.470514429,32.2,0.32,1.003764115,31.68,-0.2,-0.627352572
26/07/2019,31.88,0.02,0.062774639,31.96,0.1,0.313873195,32.1,0.24,0.753295669,31.61,-0.25,-0.784682988
25/07/2019,31.86,0.14,0.441361917,31.65,-0.07,-0.220680958,32.13,0.41,1.292559899,31.26,-0.46,-1.450189155
24/07/2019,31.72,0.21,0.666455094,31.61,0.1,0.317359568,32.45,0.94,2.983179943,31.49,-0.02,-0.063471914
23/07/2019,31.51,-0.93,-2.866831073,32.52,0.08,0.246609125,32.75,0.31,0.955610358,30.98,-1.46,-4.500616523
22/07/2019,32.44,-0.06,-0.184615385,32.7,0.2,0.615384615,32.7,0.2,0.615384615,32.01,-0.49,-1.507692308
19/07/2019,32.5,0.01,0.030778701,32.59,0.1,0.307787011,32.85,0.36,1.108033241,32.31,-0.18,-0.55401662
18/07/2019,32.49,-1.69,-4.944411937,34.08,-0.1,-0.292568754,34.29,0.11,0.321825629,32.31,-1.87,-5.471035693
17/07/2019,34.18,-0.14,-0.407925408,34.3,-0.02,-0.058275058,34.5,0.18,0.524475524,34.05,-0.27,-0.786713287
16/07/2019,34.32,-0.11,-0.319488818,34.5,0.07,0.203311066,34.56,0.13,0.377577694,34.13,-0.3,-0.87133314
15/07/2019,34.43,-0.24,-0.692241131,34.52,-0.15,-0.432650707,34.76,0.09,0.259590424,34.3,-0.37,-1.067205076
12/07/2019,34.67,-1.39,-3.854686633,35.95,-0.11,-0.305047144,35.95,-0.11,-0.305047144,34.44,-1.62,-4.492512479
11/07/2019,36.06,1.04,2.969731582,35.13,0.11,0.314106225,36.37,1.35,3.854940034,34.86,-0.16,-0.456881782
10/07/2019,35.02,-0.77,-2.151438949,35.71,-0.08,-0.223526125,35.97,0.18,0.50293378,34.76,-1.03,-2.877898854
09/07/2019,35.79,-0.47,-1.296194153,36.29,0.03,0.082735797,36.58,0.32,0.882515168,35.58,-0.68,-1.875344732
08/07/2019,36.26,0.65,1.825329963,36.3,0.69,1.937657961,36.89,1.28,3.594495928,35.86,0.25,0.702049986
05/07/2019,35.61,-0.2,-0.558503211,35.91,0.1,0.279251606,36.09,0.28,0.781904496,35.5,-0.31,-0.865679978
04/07/2019,35.81,0.27,0.759707372,35.76,0.22,0.619020822,35.89,0.35,0.984805853,35.6,0.06,0.16882386
03/07/2019,35.54,-0.87,-2.389453447,36.51,0.1,0.274649821,36.96,0.55,1.510574018,35.31,-1.1,-3.021148036
02/07/2019,36.41,0.26,0.71922545,36.37,0.22,0.60857538,37,0.85,2.35131397,36.25,0.1,0.276625173
01/07/2019,36.15,-0.18,-0.495458299,36.33,0,0,36.9,0.57,1.56895128,35.84,-0.49,-1.348747592
28/06/2019,36.33,0.68,1.90743338,35.75,0.1,0.280504909,36.48,0.83,2.328190743,35.75,0.1,0.280504909
27/06/2019,35.65,0.07,0.196739741,35.65,0.07,0.196739741,36.24,0.66,1.854974705,35.16,-0.42,-1.180438449
26/06/2019,35.58,-0.27,-0.753138075,36.06,0.21,0.585774059,36.39,0.54,1.506276151,35.51,-0.34,-0.948396095
25/06/2019,35.85,-0.14,-0.388996944,35.99,0,0,36.39,0.4,1.111419839,35.8,-0.19,-0.527924423
24/06/2019,35.99,0.11,0.30657748,35.78,-0.1,-0.2787068,36.34,0.46,1.282051282,35.11,-0.77,-2.146042363
21/06/2019,35.88,0.9,2.572898799,34.93,-0.05,-0.142938822,36.45,1.47,4.202401372,34.8,-0.18,-0.51457976
20/06/2019,34.98,0.93,2.731277533,34.15,0.1,0.293685756,35.07,1.02,2.995594714,34.15,0.1,0.293685756
19/06/2019,34.05,0.31,0.918790753,33.93,0.19,0.563129816,34.44,0.7,2.074688797,33.86,0.12,0.355660937
18/06/2019,33.74,-0.38,-1.113716295,34.04,-0.08,-0.234466589,34.6,0.48,1.406799531,33.6,-0.52,-1.524032825
17/06/2019,34.12,0.52,1.547619048,33.8,0.2,0.595238095,34.29,0.69,2.053571429,33.8,0.2,0.595238095
14/06/2019,33.6,0.04,0.119189511,33.57,0.01,0.029797378,33.85,0.29,0.864123957,33.49,-0.07,-0.208581645
13/06/2019,33.56,-0.33,-0.973738566,34.06,0.17,0.501622898,34.2,0.31,0.914724107,33.5,-0.39,-1.150781942
12/06/2019,33.89,-1.12,-3.199085975,35.04,0.03,0.085689803,35.04,0.03,0.085689803,33.8,-1.21,-3.456155384
11/06/2019,35.01,-0.6,-1.684919966,35.71,0.1,0.280819994,35.9,0.29,0.814377984,34.83,-0.78,-2.190395956
10/06/2019,35.61,0.37,1.049943246,35.23,-0.01,-0.028376844,35.84,0.6,1.70261067,35.2,-0.04,-0.113507378
07/06/2019,35.24,-0.05,-0.141683196,35.41,0.12,0.340039671,35.99,0.7,1.983564749,35.19,-0.1,-0.283366393
06/06/2019,35.29,0.16,0.455451181,35.2,0.07,0.199259892,35.8,0.67,1.907201822,35.2,0.07,0.199259892
05/06/2019,35.13,-0.72,-2.008368201,35.77,-0.08,-0.223152022,35.85,0,0,35.04,-0.81,-2.259414226
04/06/2019,35.85,0.06,0.167644593,35.98,0.19,0.530874546,36.62,0.83,2.319083543,35.73,-0.06,-0.167644593
03/06/2019,35.79,0.05,0.139899273,35.67,-0.07,-0.195858982,36.28,0.54,1.510912143,35.65,-0.09,-0.251818691
31/05/2019,35.74,-1.31,-3.535762483,36.73,-0.32,-0.863697706,36.97,-0.08,-0.215924426,35.17,-1.88,-5.074224022
30/05/2019,37.05,0.57,1.5625,36.6,0.12,0.328947368,37.29,0.81,2.220394737,36.5,0.02,0.054824561
29/05/2019,36.48,0.87,2.443133951,35.42,-0.19,-0.533557989,36.62,1.01,2.836281943,35.03,-0.58,-1.628755967
28/05/2019,35.61,0.53,1.510832383,34.95,-0.13,-0.370581528,36.18,1.1,3.135689852,34.95,-0.13,-0.370581528
27/05/2019,35.08,-0.17,-0.482269504,35.15,-0.1,-0.283687943,35.35,0.1,0.283687943,34.65,-0.6,-1.70212766
24/05/2019,35.25,-0.39,-1.094276094,35.57,-0.07,-0.19640853,35.68,0.04,0.112233446,35.01,-0.63,-1.767676768
23/05/2019,35.64,0.19,0.53596615,35.37,-0.08,-0.225669958,35.89,0.44,1.241184767,35.17,-0.28,-0.789844852
22/05/2019,35.45,-0.01,-0.02820079,35.5,0.04,0.112803158,35.75,0.29,0.817822899,35.16,-0.3,-0.846023689
21/05/2019,35.46,-0.16,-0.449185851,36,0.38,1.066816395,36.2,0.58,1.628298709,35.33,-0.29,-0.814149354
20/05/2019,35.62,0.36,1.020986954,35.36,0.1,0.283607487,36.7,1.44,4.083947816,35.28,0.02,0.056721497
17/05/2019,35.26,-0.76,-2.109938923,36.02,0,0,36.19,0.17,0.471960022,35.1,-0.92,-2.554136591
16/05/2019,36.02,-0.3,-0.825991189,36.26,-0.06,-0.165198238,36.7,0.38,1.046255507,35.82,-0.5,-1.376651982
15/05/2019,36.32,-0.59,-1.598482796,36.81,-0.1,-0.270929287,36.83,-0.08,-0.21674343,35.74,-1.17,-3.169872663
14/05/2019,36.91,0.44,1.206471072,36.5,0.03,0.082259391,37.08,0.61,1.672607623,36.07,-0.4,-1.096791884
13/05/2019,36.47,-0.51,-1.379123851,36.6,-0.38,-1.027582477,37,0.02,0.054083288,35.65,-1.33,-3.59653867
10/05/2019,36.98,0.43,1.176470588,36.5,-0.05,-0.136798906,37.17,0.62,1.69630643,35.5,-1.05,-2.872777018
09/05/2019,36.55,-2.04,-5.286343612,37.01,-1.58,-4.094324955,37.5,-1.09,-2.82456595,36.1,-2.49,-6.452448821
08/05/2019,38.59,-0.1,-0.25846472,38.75,0.06,0.155078832,39.09,0.4,1.033858878,38.31,-0.38,-0.982165934
07/05/2019,38.69,-0.26,-0.667522465,38.98,0.03,0.077021823,39.1,0.15,0.385109114,38.34,-0.61,-1.566110398
06/05/2019,38.95,-0.52,-1.317456296,39.53,0.06,0.152014188,39.53,0.06,0.152014188,38.5,-0.97,-2.457562706
03/05/2019,39.47,-0.02,-0.050645733,39.59,0.1,0.253228665,39.79,0.3,0.759685996,39.21,-0.28,-0.709040263
02/05/2019,39.49,0.4,1.023279611,38.99,-0.1,-0.255819903,40.25,1.16,2.967510872,38.99,-0.1,-0.255819903
30/04/2019,39.09,0.49,1.269430052,38.72,0.12,0.310880829,39.26,0.66,1.70984456,38.61,0.01,0.025906736
29/04/2019,38.6,-1.18,-2.966314731,40.06,0.28,0.703871292,40.06,0.28,0.703871292,38.25,-1.53,-3.846153846
26/04/2019,39.78,-0.01,-0.025131943,39.7,-0.09,-0.226187484,40.43,0.64,1.608444333,39.33,-0.46,-1.156069364
25/04/2019,39.79,-0.8,-1.9709288,40.49,-0.1,-0.2463661,40.49,-0.1,-0.2463661,39.66,-0.93,-2.29120473
24/04/2019,40.59,-0.05,-0.123031496,40.87,0.23,0.565944882,40.87,0.23,0.565944882,40.1,-0.54,-1.328740157
23/04/2019,40.64,-0.58,-1.40708394,41.12,-0.1,-0.242600679,41.15,-0.07,-0.169820475,40.34,-0.88,-2.134885978
22/04/2019,41.22,0.5,1.227897839,40.73,0.01,0.024557957,41.6,0.88,2.161100196,40.72,0,0
17/04/2019,40.72,0.65,1.622161218,40.07,0,0,40.9,0.83,2.071375094,40.04,-0.03,-0.074868979
16/04/2019,40.07,0.02,0.049937578,39.88,-0.17,-0.424469413,40.7,0.65,1.622971286,39.6,-0.45,-1.123595506
15/04/2019,40.05,-0.07,-0.17447657,40.13,0.01,0.024925224,40.4,0.28,0.697906281,39.54,-0.58,-1.445663011
12/04/2019,40.12,-0.45,-1.109193986,40.37,-0.2,-0.492975105,41.01,0.44,1.08454523,40.03,-0.54,-1.331032783
11/04/2019,40.57,0.28,0.694961529,40.14,-0.15,-0.372300819,41.03,0.74,1.836684041,40.14,-0.15,-0.372300819
10/04/2019,40.29,-0.53,-1.298383146,40.85,0.03,0.073493386,40.86,0.04,0.097991181,40.04,-0.78,-1.910828025
09/04/2019,40.82,-0.89,-2.133780868,41.58,-0.13,-0.311675857,41.58,-0.13,-0.311675857,40.27,-1.44,-3.452409494
08/04/2019,41.71,1.16,2.860665845,40.82,0.27,0.665844636,42.11,1.56,3.847102343,40.82,0.27,0.665844636
05/04/2019,40.55,0.56,1.400350088,40.27,0.28,0.700175044,41.23,1.24,3.100775194,40.18,0.19,0.47511878
04/04/2019,39.99,0.23,0.578470825,39.99,0.23,0.578470825,40.26,0.5,1.257545272,39.87,0.11,0.27665996
03/04/2019,39.76,-0.18,-0.450676014,39.96,0.02,0.050075113,40.3,0.36,0.901352028,39.7,-0.24,-0.600901352
02/04/2019,39.94,-0.27,-0.671474758,40.1,-0.11,-0.27356379,40.45,0.24,0.596866451,39.6,-0.61,-1.517035563
01/04/2019,40.21,0.05,0.124501992,40.29,0.13,0.323705179,40.49,0.33,0.821713147,39.92,-0.24,-0.597609562
29/03/2019,40.16,-0.38,-0.937345831,40.47,-0.07,-0.172668969,40.79,0.25,0.616674889,39.98,-0.56,-1.381351751
28/03/2019,40.54,0.6,1.50225338,40.08,0.14,0.350525789,40.63,0.69,1.727591387,39.51,-0.43,-1.076614922
27/03/2019,39.94,-1.54,-3.712632594,41.46,-0.02,-0.048216008,41.46,-0.02,-0.048216008,39.78,-1.7,-4.098360656
26/03/2019,41.48,1.31,3.261140154,40.12,-0.05,-0.124470998,41.63,1.46,3.634553149,40.11,-0.06,-0.149365198
25/03/2019,40.17,-0.41,-1.010349926,40.58,0,0,40.99,0.41,1.010349926,39.6,-0.98,-2.41498275
22/03/2019,40.58,-0.09,-0.221293337,40.46,-0.21,-0.516351119,41.14,0.47,1.15564298,40.31,-0.36,-0.885173346
21/03/2019,40.67,0.16,0.394964206,40.53,0.02,0.049370526,41.37,0.86,2.122932609,40.49,-0.02,-0.049370526
20/03/2019,40.51,0.56,1.40175219,39.91,-0.04,-0.100125156,41,1.05,2.628285357,39.83,-0.12,-0.300375469
19/03/2019,39.95,0,0,40.25,0.3,0.750938673,40.25,0.3,0.750938673,39.5,-0.45,-1.12640801
15/03/2019,39.95,0.35,0.883838384,39.66,0.06,0.151515152,40.85,1.25,3.156565657,39.24,-0.36,-0.909090909
14/03/2019,39.6,-0.37,-0.925694271,39.98,0.01,0.025018764,39.99,0.02,0.050037528,39.2,-0.77,-1.926444834
13/03/2019,39.97,-0.19,-0.47310757,40.26,0.1,0.249003984,40.68,0.52,1.294820717,39.76,-0.4,-0.996015936
12/03/2019,40.16,0.26,0.651629073,40.09,0.19,0.476190476,40.34,0.44,1.102756892,39.97,0.07,0.175438596
11/03/2019,39.9,0.6,1.526717557,39.39,0.09,0.229007634,40.11,0.81,2.061068702,39.22,-0.08,-0.203562341
08/03/2019,39.3,-0.5,-1.256281407,39.7,-0.1,-0.251256281,40.25,0.45,1.130653266,39,-0.8,-2.010050251
07/03/2019,39.8,-0.28,-0.698602794,40.02,-0.06,-0.149700599,40.25,0.17,0.424151697,39.55,-0.53,-1.322355289
06/03/2019,40.08,0.08,0.2,40.04,0.04,0.1,40.25,0.25,0.625,39.27,-0.73,-1.825
05/03/2019,40,-0.22,-0.546991546,40.23,0.01,0.024863252,40.3,0.08,0.198906017,39.44,-0.78,-1.939333665
04/03/2019,40.22,0.07,0.174346202,40.2,0.05,0.124533001,40.35,0.2,0.498132005,39.38,-0.77,-1.917808219
01/03/2019,40.15,-0.05,-0.124378109,40.34,0.14,0.348258706,40.35,0.15,0.373134328,39.74,-0.46,-1.144278607
28/02/2019,40.2,0.7,1.772151899,39.58,0.08,0.202531646,40.35,0.85,2.151898734,39.01,-0.49,-1.240506329
27/02/2019,39.5,0.77,1.988122902,38.84,0.11,0.284017557,40,1.27,3.2791118,38.4,-0.33,-0.852052672
26/02/2019,38.73,0.39,1.017214397,38.44,0.1,0.260824204,38.89,0.55,1.434533125,38.18,-0.16,-0.417318727
25/02/2019,38.34,-0.27,-0.699300699,38.51,-0.1,-0.259000259,38.9,0.29,0.751100751,38.13,-0.48,-1.243201243
22/02/2019,38.61,0.49,1.285414481,38.05,-0.07,-0.18363064,39.09,0.97,2.544596013,38.05,-0.07,-0.18363064
21/02/2019,38.12,0.22,0.580474934,38,0.1,0.263852243,38.35,0.45,1.187335092,37.33,-0.57,-1.503957784
20/02/2019,37.9,0.41,1.093624967,37.59,0.1,0.266737797,38.48,0.99,2.640704188,36.96,-0.53,-1.413710323
19/02/2019,37.49,0.52,1.406545848,37.04,0.07,0.18934271,37.57,0.6,1.622937517,36.95,-0.02,-0.054097917
18/02/2019,36.97,-0.31,-0.831545064,37.37,0.09,0.241416309,37.37,0.09,0.241416309,36.35,-0.93,-2.494635193
15/02/2019,37.28,0.37,1.002438364,37.01,0.1,0.270929287,37.69,0.78,2.113248442,36.81,-0.1,-0.270929287
14/02/2019,36.91,-0.04,-0.108254398,37.04,0.09,0.243572395,37.2,0.25,0.676589986,36.51,-0.44,-1.190798376
13/02/2019,36.95,-0.45,-1.203208556,37.31,-0.09,-0.240641711,37.58,0.18,0.481283422,36.9,-0.5,-1.336898396
12/02/2019,37.4,0.27,0.727174791,37.04,-0.09,-0.242391597,37.5,0.37,0.996498788,35.33,-1.8,-4.847831942
11/02/2019,37.13,-0.09,-0.241805481,37.32,0.1,0.268672757,37.49,0.27,0.725416443,36.95,-0.27,-0.725416443
08/02/2019,37.22,-0.51,-1.351709515,37.54,-0.19,-0.503578055,37.58,-0.15,-0.397561622,37.02,-0.71,-1.881791678
07/02/2019,37.73,-0.26,-0.684390629,37.89,-0.1,-0.263227165,37.99,0,0,37.44,-0.55,-1.447749408
06/02/2019,37.99,0,0,38,0.01,0.026322717,38.15,0.16,0.421163464,37.52,-0.47,-1.237167676
05/02/2019,37.99,0.16,0.422944753,37.92,0.09,0.237906423,38.05,0.22,0.581549035,37.85,0.02,0.052868094
01/02/2019,37.83,-0.39,-1.020408163,38.13,-0.09,-0.235478807,38.14,-0.08,-0.209314495,37.5,-0.72,-1.883830455
31/01/2019,38.22,0.61,1.621909067,38.08,0.47,1.249667642,38.32,0.71,1.887795799,37.5,-0.11,-0.292475405
30/01/2019,37.61,-0.02,-0.053149083,37.58,-0.05,-0.132872708,37.76,0.13,0.345469041,36.24,-1.39,-3.693861281
29/01/2019,37.63,-0.5,-1.311303436,38.03,-0.1,-0.262260687,38.51,0.38,0.996590611,36.9,-1.23,-3.225806452
28/01/2019,38.13,0.13,0.342105263,37.84,-0.16,-0.421052632,38.31,0.31,0.815789474,37.26,-0.74,-1.947368421
25/01/2019,38,0.88,2.370689655,37.22,0.1,0.269396552,38.81,1.69,4.552801724,37.2,0.08,0.215517241
24/01/2019,37.12,0.23,0.623475197,36.93,0.04,0.108430469,37.4,0.51,1.382488479,36.83,-0.06,-0.162645703
23/01/2019,36.89,0.15,0.40827436,36.65,-0.09,-0.244964616,36.96,0.22,0.598802395,36.31,-0.43,-1.1703865
22/01/2019,36.74,-0.22,-0.595238095,37.05,0.09,0.243506494,37.08,0.12,0.324675325,36,-0.96,-2.597402597
21/01/2019,36.96,0.01,0.027063599,36.97,0.02,0.054127199,37.11,0.16,0.433017591,36.54,-0.41,-1.109607578
18/01/2019,36.95,-0.1,-0.269905533,37.3,0.25,0.674763833,37.3,0.25,0.674763833,36.52,-0.53,-1.430499325
17/01/2019,37.05,-0.14,-0.376445281,37.1,-0.09,-0.242000538,37.69,0.5,1.344447432,36.99,-0.2,-0.537778973
16/01/2019,37.19,0.05,0.13462574,37.2,0.06,0.161550889,37.69,0.55,1.480883145,36.9,-0.24,-0.646203554
15/01/2019,37.14,0.21,0.568643379,36.99,0.06,0.162469537,37.7,0.77,2.085025724,36.85,-0.08,-0.216626049
14/01/2019,36.93,-0.08,-0.216157795,37.1,0.09,0.24317752,37.29,0.28,0.756552283,36.6,-0.41,-1.1078087
11/01/2019,37.01,0.26,0.707482993,36.84,0.09,0.244897959,37.47,0.72,1.959183673,36.51,-0.24,-0.653061224
10/01/2019,36.75,-0.45,-1.209677419,37.29,0.09,0.241935484,37.49,0.29,0.779569892,36.26,-0.94,-2.52688172
09/01/2019,37.2,0.35,0.949796472,36.94,0.09,0.244233379,37.56,0.71,1.926729986,36.7,-0.15,-0.407055631
08/01/2019,36.85,0.81,2.247502775,36.2,0.16,0.443951165,37.91,1.87,5.188679245,36.01,-0.03,-0.083240844
07/01/2019,36.04,0.37,1.037286235,35.77,0.1,0.280347631,36.38,0.71,1.990468181,35.21,-0.46,-1.289599103
04/01/2019,35.67,0.83,2.382319173,34.76,-0.08,-0.229621125,35.95,1.11,3.185993111,34,-0.84,-2.411021814
03/01/2019,34.84,0.47,1.367471632,34.41,0.04,0.116380564,35.19,0.82,2.385801571,33.75,-0.62,-1.803898749
02/01/2019,34.37,0.88,2.627650045,33.47,-0.02,-0.059719319,34.83,1.34,4.001194386,33.21,-0.28,-0.836070469
31/12/2018,33.49,-0.29,-0.858496152,33.8,0.02,0.059206631,33.8,0.02,0.059206631,33.4,-0.38,-1.124925992
28/12/2018,33.78,0.13,0.386329866,33.6,-0.05,-0.14858841,34.15,0.5,1.485884101,33.11,-0.54,-1.604754829
