Security,CEMEXCPO MF Equity                                              ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,7.3,0.12,1.671309192,7.17,-0.01,-0.139275766,7.32,0.14,1.949860724,7.11,-0.07,-0.974930362
03/10/2019,7.18,-0.08,-1.101928375,7.24,-0.02,-0.275482094,7.3,0.04,0.550964187,7.15,-0.11,-1.515151515
02/10/2019,7.26,-0.24,-3.2,7.45,-0.05,-0.666666667,7.49,-0.01,-0.133333333,7.12,-0.38,-5.066666667
01/10/2019,7.5,-0.19,-2.470741222,7.71,0.02,0.260078023,7.76,0.07,0.910273082,7.47,-0.22,-2.860858257
30/09/2019,7.69,-0.09,-1.156812339,7.79,0.01,0.128534704,7.88,0.1,1.285347044,7.66,-0.12,-1.542416452
27/09/2019,7.78,0.01,0.128700129,7.82,0.05,0.643500644,7.92,0.15,1.930501931,7.75,-0.02,-0.257400257
26/09/2019,7.77,-0.01,-0.128534704,7.8,0.02,0.257069409,7.8,0.02,0.257069409,7.7,-0.08,-1.028277635
25/09/2019,7.78,-0.01,-0.128369705,7.8,0.01,0.128369705,7.85,0.06,0.770218228,7.52,-0.27,-3.465982028
24/09/2019,7.79,-0.05,-0.637755102,7.85,0.01,0.12755102,7.86,0.02,0.255102041,7.76,-0.08,-1.020408163
23/09/2019,7.84,-0.14,-1.754385965,7.97,-0.01,-0.125313283,7.98,0,0,7.77,-0.21,-2.631578947
20/09/2019,7.98,0.22,2.835051546,7.79,0.03,0.386597938,8.02,0.26,3.350515464,7.74,-0.02,-0.257731959
19/09/2019,7.76,0.02,0.258397933,7.76,0.02,0.258397933,7.89,0.15,1.937984496,7.65,-0.09,-1.162790698
18/09/2019,7.74,-0.1,-1.275510204,7.83,-0.01,-0.12755102,7.84,0,0,7.58,-0.26,-3.316326531
17/09/2019,7.84,0.22,2.887139108,7.6,-0.02,-0.262467192,7.85,0.23,3.018372703,7.51,-0.11,-1.443569554
13/09/2019,7.62,0.14,1.871657754,7.52,0.04,0.534759358,7.66,0.18,2.406417112,7.48,0,0
12/09/2019,7.48,-0.09,-1.188903567,7.52,-0.05,-0.660501982,7.7,0.13,1.717305152,7.45,-0.12,-1.585204756
