Security,ELEKTRA* MF Equity                                              ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,1399.86,5.12,0.367093508,1401,6.26,0.448829172,1414.73,19.99,1.433242038,1392,-2.74,-0.196452385
03/10/2019,1394.74,-9.19,-0.654591041,1406.27,2.34,0.166674977,1406.28,2.35,0.167387263,1389.01,-14.92,-1.062731048
02/10/2019,1403.93,10.46,0.750644076,1389.58,-3.89,-0.279159221,1429.98,36.51,2.620077935,1381.05,-12.42,-0.891300136
01/10/2019,1393.47,-6.27,-0.447940332,1391.05,-8.69,-0.620829583,1404.96,5.22,0.372926401,1388,-11.74,-0.838727192
30/09/2019,1399.74,1.4,0.100118712,1397.48,-0.86,-0.061501495,1408.05,9.71,0.694394782,1386.05,-12.29,-0.878899266
27/09/2019,1398.34,3,0.215001362,1404,8.66,0.620637264,1404,8.66,0.620637264,1386.01,-9.33,-0.668654235
26/09/2019,1395.34,9.65,0.696403958,1398.94,13.25,0.956202325,1410,24.31,1.754360643,1376.14,-9.55,-0.689187336
25/09/2019,1385.69,-31.13,-2.197173953,1410.01,-6.81,-0.480653859,1410.56,-6.26,-0.441834531,1375.88,-40.94,-2.8895696
24/09/2019,1416.82,-12.81,-0.896036037,1430.14,0.51,0.035673566,1454,24.37,1.704636864,1410.17,-19.46,-1.361191357
23/09/2019,1429.63,-33.97,-2.320989341,1456.89,-6.71,-0.458458595,1456.89,-6.71,-0.458458595,1420,-43.6,-2.978955999
20/09/2019,1463.6,64.1,4.580207217,1395.11,-4.39,-0.313683458,1595.38,195.88,13.9964273,1395.06,-4.44,-0.317256163
19/09/2019,1399.5,4.85,0.347757502,1388.01,-6.64,-0.476105116,1409,14.35,1.02893199,1388.01,-6.64,-0.476105116
18/09/2019,1394.65,8.37,0.603774129,1382,-4.28,-0.308739937,1406.23,19.95,1.439103211,1381.01,-5.27,-0.380154081
17/09/2019,1386.28,-7,-0.502411576,1391.01,-2.27,-0.162924897,1404.9,11.62,0.834003215,1378,-15.28,-1.096692696
13/09/2019,1393.28,-11.92,-0.848277825,1404.8,-0.4,-0.028465699,1426,20.8,1.480216339,1387,-18.2,-1.295189297
12/09/2019,1405.2,9.22,0.660467915,1395.98,0,0,1418.49,22.51,1.612487285,1388.03,-7.95,-0.5694924
11/09/2019,1395.98,15.21,1.101559275,1389,8.23,0.596044236,1409,28.23,2.044511396,1373.17,-7.6,-0.550417521
10/09/2019,1380.77,-4.64,-0.334918905,1384.41,-1,-0.072180798,1398.61,13.2,0.95278654,1371.05,-14.36,-1.036516266
09/09/2019,1385.41,-10.21,-0.731574497,1395.62,0,0,1404.79,9.17,0.657055646,1370.05,-25.57,-1.832160617
06/09/2019,1395.62,-4.36,-0.31143302,1402.18,2.2,0.157145102,1414,14.02,1.001442878,1387,-12.98,-0.927156102
05/09/2019,1399.98,5.88,0.421777491,1400.1,6,0.430385195,1419,24.9,1.786098558,1386,-8.1,-0.581020013
04/09/2019,1394.1,-6.08,-0.434229885,1397.05,-3.13,-0.223542687,1411.4,11.22,0.801325544,1383.51,-16.67,-1.190561214
03/09/2019,1400.18,0.43,0.030719771,1395.01,-4.74,-0.338631899,1414.4,14.65,1.046615467,1392,-7.75,-0.553670298
02/09/2019,1399.75,12,0.864709061,1394,6.25,0.450369303,1422.01,34.26,2.46874437,1380.06,-7.69,-0.55413439
30/08/2019,1387.75,-6.69,-0.479762485,1398.43,3.99,0.28613637,1410.97,16.53,1.185422105,1371.64,-22.8,-1.635064972
29/08/2019,1394.44,-5.17,-0.369388615,1400.42,0.81,0.057873265,1419.88,20.27,1.448260587,1386,-13.61,-0.972413744
28/08/2019,1399.61,0.4,0.02858756,1400.56,1.35,0.096483015,1427.77,28.56,2.041151793,1389.01,-10.2,-0.728982783
27/08/2019,1399.21,9.08,0.653176322,1401.95,11.82,0.85028019,1419.99,29.86,2.148000547,1388.5,-1.63,-0.117255221
26/08/2019,1390.13,-10.61,-0.757456773,1397.24,-3.5,-0.249867927,1410,9.26,0.661079144,1385.55,-15.19,-1.084426803
23/08/2019,1400.74,-1.72,-0.122641644,1397.77,-4.69,-0.33441239,1425.01,22.55,1.607888995,1383.56,-18.9,-1.347632018
22/08/2019,1402.46,34.75,2.540743286,1360.05,-7.66,-0.560060247,1419.8,52.09,3.808555907,1345,-22.71,-1.660439713
21/08/2019,1367.71,-9.06,-0.658061986,1385,8.23,0.597775954,1388.99,12.22,0.887584709,1361.2,-15.57,-1.13090785
20/08/2019,1376.77,-1.03,-0.074756859,1365.39,-12.41,-0.900711279,1389.22,11.42,0.828857599,1365.39,-12.41,-0.900711279
19/08/2019,1377.8,26.9,1.991265083,1361.95,11.05,0.817973203,1387,36.1,2.672292546,1332.1,-18.8,-1.391664816
16/08/2019,1350.9,-4.98,-0.367289141,1352.01,-3.87,-0.285423489,1362.92,7.04,0.51921999,1330.06,-25.82,-1.904298315
15/08/2019,1355.88,-14.34,-1.04654727,1383,12.78,0.932696939,1383,12.78,0.932696939,1330,-40.22,-2.935295062
14/08/2019,1370.22,-11.62,-0.840907775,1372.09,-9.75,-0.705580965,1391.67,9.83,0.711370347,1350.15,-31.69,-2.293319053
13/08/2019,1381.84,-9.09,-0.653519588,1402.95,12.02,0.864170016,1427.77,36.84,2.648587636,1363,-27.93,-2.00800903
12/08/2019,1390.93,2.99,0.21542718,1375.88,-12.06,-0.868913642,1408,20.06,1.445307434,1375.88,-12.06,-0.868913642
09/08/2019,1387.94,-2.28,-0.16400282,1396.35,6.13,0.440937406,1398.9,8.68,0.624361612,1370.6,-19.62,-1.411287422
08/08/2019,1390.22,0.66,0.047497049,1393,3.44,0.247560379,1407.99,18.43,1.326319123,1364.35,-25.21,-1.814243358
07/08/2019,1389.56,16.11,1.172958608,1377,3.55,0.258473188,1414.8,41.35,3.01066657,1365.7,-7.75,-0.564272453
06/08/2019,1373.45,0.62,0.045162183,1376,3.17,0.230909872,1418.99,46.16,3.362397384,1350.03,-22.8,-1.660802867
05/08/2019,1372.83,43.76,3.292527858,1329.06,-0.01,-0.000752406,1395,65.93,4.960611555,1314.05,-15.02,-1.130113538
02/08/2019,1329.07,16.38,1.247819363,1312.69,0,0,1333.71,21.02,1.601292003,1290,-22.69,-1.728511682
01/08/2019,1312.69,18.16,1.402825736,1301.5,6.97,0.538419349,1326.4,31.87,2.461897368,1282.02,-12.51,-0.966373896
31/07/2019,1294.53,3.69,0.28586037,1299.99,9.15,0.708840755,1314.99,24.15,1.870874779,1280.5,-10.34,-0.801028787
