Security,FEMSAUBD MF Equity                                              ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,182.5,5.84,3.305785124,178.59,1.93,1.092494056,183.29,6.63,3.75297181,177.33,0.67,0.379259595
03/10/2019,176.66,0.45,0.255377107,175.69,-0.52,-0.295102435,177.57,1.36,0.771806367,175.67,-0.54,-0.306452528
02/10/2019,176.21,-2.09,-1.172181716,177.05,-1.25,-0.70106562,178.7,0.4,0.224340998,175.21,-3.09,-1.733034212
01/10/2019,178.3,-2.75,-1.518917426,181.25,0.2,0.110466722,181.55,0.5,0.276166805,177.93,-3.12,-1.723280862
30/09/2019,181.05,1.26,0.700817621,180.24,0.45,0.250292007,181.49,1.7,0.945547583,178.75,-1.04,-0.578452639
27/09/2019,179.79,-5.68,-3.062489891,185.82,0.35,0.188709764,185.94,0.47,0.253410255,178.54,-6.93,-3.736453335
26/09/2019,185.47,-2.88,-1.529068224,188.8,0.45,0.23891691,188.8,0.45,0.23891691,185.02,-3.33,-1.767985134
25/09/2019,188.35,1.09,0.582078394,187,-0.26,-0.138844387,188.66,1.4,0.747623625,186.29,-0.97,-0.517996369
24/09/2019,187.26,2.28,1.232565683,184.54,-0.44,-0.237863553,187.5,2.52,1.362309439,184.54,-0.44,-0.237863553
23/09/2019,184.98,0.32,0.173291455,184.99,0.33,0.178706813,185.3,0.64,0.346582909,182.02,-2.64,-1.4296545
20/09/2019,184.66,0.37,0.200770525,184.9,0.61,0.331000054,185,0.71,0.385262358,183.68,-0.61,-0.331000054
19/09/2019,184.29,-0.27,-0.146293888,184.49,-0.07,-0.037928045,184.77,0.21,0.113784135,182.8,-1.76,-0.953619419
18/09/2019,184.56,-0.69,-0.372469636,185.43,0.18,0.097165992,185.43,0.18,0.097165992,183.48,-1.77,-0.955465587
17/09/2019,185.25,3.38,1.858470336,182.32,0.45,0.247429483,185.8,3.93,2.160884148,181,-0.87,-0.478363666
13/09/2019,181.87,1.65,0.915547664,179.42,-0.8,-0.443901898,183,2.78,1.542559094,179.41,-0.81,-0.449450671
12/09/2019,180.22,-1.1,-0.606662255,180.98,-0.34,-0.187513788,183.5,2.18,1.202294286,179.46,-1.86,-1.025810721
11/09/2019,181.32,0.05,0.027583163,181.27,0,0,182.63,1.36,0.75026204,180,-1.27,-0.700612346
10/09/2019,181.27,-1.61,-0.880358705,181.02,-1.86,-1.017060367,182.94,0.06,0.032808399,180.33,-2.55,-1.394356955
09/09/2019,182.88,0.11,0.060184932,182.94,0.17,0.093013077,183.18,0.41,0.224325655,180.92,-1.85,-1.012201127
06/09/2019,182.77,0.74,0.406526397,183.3,1.27,0.697687194,183.51,1.48,0.813052793,181.7,-0.33,-0.181288799
05/09/2019,182.03,-0.13,-0.071365832,181.08,-1.08,-0.592885375,183.69,1.53,0.839920949,181.01,-1.15,-0.631313131
04/09/2019,182.16,1.99,1.104512405,180.2,0.03,0.016650941,182.7,2.53,1.404229339,179.09,-1.08,-0.599433868
03/09/2019,180.17,-0.13,-0.072102052,179.5,-0.8,-0.443704936,182.2,1.9,1.053799224,179.5,-0.8,-0.443704936
02/09/2019,180.3,-2.73,-1.491558761,183.29,0.26,0.142053215,183.29,0.26,0.142053215,179.82,-3.21,-1.753810851
30/08/2019,183.03,3.14,1.745511146,179.8,-0.09,-0.050030574,183.66,3.77,2.095725165,178.47,-1.42,-0.789371282
29/08/2019,179.89,1.01,0.564624329,179.99,1.11,0.620527728,180.61,1.73,0.967128801,177.96,-0.92,-0.51431127
28/08/2019,178.88,1.2,0.675371454,176.4,-1.28,-0.720396218,179.3,1.62,0.911751463,176.35,-1.33,-0.748536695
27/08/2019,177.68,1.14,0.645746007,176.28,-0.26,-0.147275405,180,3.46,1.959895774,176.28,-0.26,-0.147275405
26/08/2019,176.54,0.78,0.443786982,176.2,0.44,0.250341375,178,2.24,1.27446518,175.52,-0.24,-0.136549841
23/08/2019,175.76,-0.39,-0.221402214,176.48,0.33,0.187340335,176.6,0.45,0.255464093,174.14,-2.01,-1.141072949
22/08/2019,176.15,1.17,0.668647845,175.49,0.51,0.291461881,176.68,1.7,0.971539605,175.49,0.51,0.291461881
21/08/2019,174.98,0.68,0.390131956,173.87,-0.43,-0.24670109,175.84,1.54,0.883534137,173.87,-0.43,-0.24670109
20/08/2019,174.3,-0.13,-0.074528464,174.16,-0.27,-0.154789887,175.69,1.26,0.722352806,174,-0.43,-0.246517228
19/08/2019,174.43,-0.4,-0.228793685,175,0.17,0.097237316,176.98,2.15,1.229766058,173.53,-1.3,-0.743579477
16/08/2019,174.83,5.3,3.126290332,170.19,0.66,0.389311626,175,5.47,3.226567569,169.99,0.46,0.271338406
