Security,GAPB MF Equity                                                  ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,195.63,1.9,0.9807464,195,1.27,0.655551541,196.16,2.43,1.254323027,192.64,-1.09,-0.562638724
03/10/2019,193.73,1.68,0.874772195,191.36,-0.69,-0.359281437,194.09,2.04,1.062223379,190.57,-1.48,-0.770632648
02/10/2019,192.05,-2.94,-1.507769629,192.6,-2.39,-1.225703882,192.94,-2.05,-1.051335966,190.11,-4.88,-2.502692446
01/10/2019,194.99,5.09,2.680358083,190.72,0.82,0.431806214,195.28,5.38,2.833070037,190.52,0.62,0.326487625
30/09/2019,189.9,3.68,1.976157233,183.3,-2.92,-1.568037805,190.53,4.31,2.31446676,183.3,-2.92,-1.568037805
27/09/2019,186.22,0.92,0.496492175,184.34,-0.96,-0.518078791,187,1.7,0.917431193,184.22,-1.08,-0.58283864
26/09/2019,185.3,1.19,0.646352724,184.55,0.44,0.238987562,185.81,1.7,0.923361034,183.73,-0.38,-0.206398349
25/09/2019,184.11,-4.32,-2.292628562,186.77,-1.66,-0.880963753,187.71,-0.72,-0.38210476,183.08,-5.35,-2.83925065
24/09/2019,188.43,-0.41,-0.217115018,189.11,0.27,0.142978183,190.01,1.17,0.619572125,188.02,-0.82,-0.434230036
23/09/2019,188.84,-1.8,-0.944187998,190,-0.64,-0.335711288,190.64,0,0,187.95,-2.69,-1.411036509
20/09/2019,190.64,5.24,2.826321467,185.44,0.04,0.021574973,191.26,5.86,3.160733549,185.44,0.04,0.021574973
19/09/2019,185.4,-3.42,-1.811248808,189.9,1.08,0.571973308,189.9,1.08,0.571973308,184.69,-4.13,-2.187268298
18/09/2019,188.82,1.34,0.714742906,187.2,-0.28,-0.149349264,189.74,2.26,1.205461916,185.92,-1.56,-0.832088756
17/09/2019,187.48,-0.12,-0.063965885,187.6,0,0,188.88,1.28,0.682302772,185.5,-2.1,-1.119402985
13/09/2019,187.6,1.52,0.816852966,186.23,0.15,0.08061049,187.81,1.73,0.929707653,185.1,-0.98,-0.526655202
12/09/2019,186.08,-0.01,-0.005373744,186.04,-0.05,-0.026868719,189.05,2.96,1.590628191,183.37,-2.72,-1.461658337
11/09/2019,186.09,-2.44,-1.294223731,188.59,0.06,0.031825174,189.2,0.67,0.355381106,185.92,-2.61,-1.384395056
10/09/2019,188.53,2.57,1.382017638,185.98,0.02,0.010755001,190.36,4.4,2.366100237,185.15,-0.81,-0.435577544
09/09/2019,185.96,-1.72,-0.916453538,188.75,1.07,0.570119352,190,2.32,1.236146633,184.24,-3.44,-1.832907076
06/09/2019,187.68,1.72,0.924930092,186.25,0.29,0.155947516,189.81,3.85,2.070337707,186.05,0.09,0.048397505
05/09/2019,185.96,2.95,1.611933774,183.87,0.86,0.469919677,186.75,3.74,2.043604175,183.87,0.86,0.469919677
04/09/2019,183.01,-0.4,-0.218090617,184.31,0.9,0.490703887,185.9,2.49,1.357614089,182.18,-1.23,-0.670628646
03/09/2019,183.41,-2.15,-1.158654883,186.65,1.09,0.58741108,188.96,3.4,1.832291442,182.82,-2.74,-1.476611339
02/09/2019,185.56,-5.64,-2.949790795,190.52,-0.68,-0.355648536,190.57,-0.63,-0.329497908,182.94,-8.26,-4.320083682
