Security,GCARSOA1 MF Equity                                              ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,57.57,0.01,0.017373176,57.56,0,0,59.52,1.96,3.40514246,57.11,-0.45,-0.781792912
03/10/2019,57.56,-0.38,-0.65585088,57.8,-0.14,-0.241629272,57.94,0,0,57.05,-0.89,-1.536071798
02/10/2019,57.94,-0.41,-0.702656384,57.64,-0.71,-1.216795201,58.34,-0.01,-0.017137961,57.07,-1.28,-2.193658955
01/10/2019,58.35,0.42,0.725012947,57.85,-0.08,-0.138097704,59.05,1.12,1.933367858,57.42,-0.51,-0.880372864
30/09/2019,57.93,0.7,1.22313472,57.68,0.45,0.786300891,59.86,2.63,4.595491875,57.22,-0.01,-0.017473353
27/09/2019,57.23,-0.44,-0.762961679,57.64,-0.03,-0.052020114,57.88,0.21,0.364140801,57.11,-0.56,-0.971042136
26/09/2019,57.67,-0.86,-1.469331967,58.46,-0.07,-0.119596788,59.31,0.78,1.332649923,57.5,-1.03,-1.759781309
25/09/2019,58.53,-1.44,-2.4012006,59.75,-0.22,-0.366850092,60.03,0.06,0.100050025,58.14,-1.83,-3.051525763
24/09/2019,59.97,-0.37,-0.613191912,60.47,0.13,0.215445807,60.5,0.16,0.26516407,59.38,-0.96,-1.590984422
23/09/2019,60.34,-0.14,-0.231481481,60.42,-0.06,-0.099206349,60.48,0,0,59.2,-1.28,-2.116402116
20/09/2019,60.48,2.54,4.383845357,57.66,-0.28,-0.483258543,61.34,3.4,5.868139455,57.66,-0.28,-0.483258543
19/09/2019,57.94,-0.22,-0.37826685,57.98,-0.18,-0.309491059,58.2,0.04,0.068775791,57.3,-0.86,-1.478679505
18/09/2019,58.16,-0.21,-0.359773856,58.03,-0.34,-0.582491006,58.75,0.38,0.651019359,57.15,-1.22,-2.090114785
17/09/2019,58.37,0.1,0.171614896,58.27,0,0,58.99,0.72,1.235627252,57.5,-0.77,-1.321434701
13/09/2019,58.27,0.75,1.303894298,57.8,0.28,0.486787204,58.97,1.45,2.520862309,57.45,-0.07,-0.121696801
12/09/2019,57.52,-0.52,-0.895933839,58.19,0.15,0.258442453,58.34,0.3,0.516884907,57.37,-0.67,-1.154376292
11/09/2019,58.04,1.45,2.562290157,56.98,0.39,0.689167697,58.12,1.53,2.70365789,56.52,-0.07,-0.123696766
10/09/2019,56.59,-0.82,-1.428322592,57.1,-0.31,-0.539975614,58.12,0.71,1.236718342,56.05,-1.36,-2.368925274
09/09/2019,57.41,-0.53,-0.914739386,58.38,0.44,0.759406282,59,1.06,1.829478771,57,-0.94,-1.622367967
06/09/2019,57.94,1.45,2.566825987,57,0.51,0.902814657,58.1,1.61,2.850061958,55.9,-0.59,-1.044432643
05/09/2019,56.49,1,1.802126509,55.81,0.32,0.576680483,57.21,1.72,3.099657596,55.41,-0.08,-0.144170121
04/09/2019,55.49,-1.05,-1.857092324,57.82,1.28,2.263883976,57.99,1.45,2.564556067,55.2,-1.34,-2.370003537
03/09/2019,56.54,-2.29,-3.892571817,58.37,-0.46,-0.781913989,59.11,0.28,0.475947646,56.09,-2.74,-4.657487676
02/09/2019,58.83,1.18,2.046834345,57.65,0,0,59.51,1.86,3.226366002,57,-0.65,-1.127493495
30/08/2019,57.65,2.09,3.761699064,55.93,0.37,0.665946724,58,2.44,4.391648668,55.5,-0.06,-0.107991361
29/08/2019,55.56,0.78,1.423877327,55.05,0.27,0.492880613,56.27,1.49,2.719970792,54.5,-0.28,-0.511135451
28/08/2019,54.78,0.98,1.821561338,54.03,0.23,0.427509294,54.98,1.18,2.19330855,53.6,-0.2,-0.371747212
27/08/2019,53.8,1.11,2.106661606,52.88,0.19,0.360599734,54.23,1.54,2.922755741,52.86,0.17,0.322641868
26/08/2019,52.69,1.11,2.151996898,51.95,0.37,0.717332299,52.88,1.3,2.520356727,51.5,-0.08,-0.155098876
23/08/2019,51.58,-1.31,-2.476838722,52.69,-0.2,-0.378143316,53.26,0.37,0.699565135,51.26,-1.63,-3.081868028
22/08/2019,52.89,-0.56,-1.047708138,53.6,0.15,0.280636109,54.5,1.05,1.96445276,52.6,-0.85,-1.590271282
21/08/2019,53.45,-0.56,-1.036845029,54.1,0.09,0.166635808,54.49,0.48,0.88872431,53.11,-0.9,-1.666358082
20/08/2019,54.01,0.67,1.256092988,53.47,0.13,0.243719535,54.8,1.46,2.737157855,52.82,-0.52,-0.97487814
19/08/2019,53.34,-0.89,-1.641158031,54.76,0.53,0.977318827,55.89,1.66,3.061036327,53.07,-1.16,-2.139037433
16/08/2019,54.23,1.17,2.205050886,53.4,0.34,0.640784018,56.19,3.13,5.898982284,52.76,-0.3,-0.565397663
15/08/2019,53.06,-0.96,-1.777119585,54.02,0,0,56.36,2.34,4.331728989,52.2,-1.82,-3.369122547
14/08/2019,54.02,-2.44,-4.321643642,56.02,-0.44,-0.779312788,56.4,-0.06,-0.106269926,53.33,-3.13,-5.543747786
13/08/2019,56.46,-3.13,-5.252559154,59.45,-0.14,-0.234938748,60.39,0.8,1.342507132,55.87,-3.72,-6.242658164
12/08/2019,59.59,-1,-1.650437366,60.71,0.12,0.198052484,60.72,0.13,0.214556858,59.41,-1.18,-1.947516092
09/08/2019,60.59,-1.43,-2.305707836,61.23,-0.79,-1.273782651,61.53,-0.49,-0.79006772,60.2,-1.82,-2.934537246
08/08/2019,62.02,0.88,1.439319594,60.87,-0.27,-0.441609421,62.36,1.22,1.995420347,60.62,-0.52,-0.850507033
07/08/2019,61.14,0.62,1.024454726,60.05,-0.47,-0.776602776,61.95,1.43,2.362855254,59.7,-0.82,-1.354923992
06/08/2019,60.52,-0.44,-0.721784777,61.16,0.2,0.32808399,61.95,0.99,1.624015748,59.7,-1.26,-2.066929134
05/08/2019,60.96,-1.23,-1.977809937,61.65,-0.54,-0.868306802,62.28,0.09,0.1447178,59.89,-2.3,-3.698343785
02/08/2019,62.19,1.14,1.867321867,60.38,-0.67,-1.097461097,63.9,2.85,4.668304668,59.4,-1.65,-2.702702703
01/08/2019,61.05,-0.76,-1.229574503,61.06,-0.75,-1.213395891,62,0.19,0.307393626,60.2,-1.61,-2.604756512
31/07/2019,61.81,-2.16,-3.376582773,63.31,-0.66,-1.031733625,63.98,0.01,0.015632328,60.58,-3.39,-5.299359075
30/07/2019,63.97,0.21,0.3293601,63.7,-0.06,-0.094102886,64.41,0.65,1.01944793,61.76,-2,-3.136762861
29/07/2019,63.76,3.13,5.162460828,61.2,0.57,0.940128649,64.24,3.61,5.954148111,60.69,0.06,0.09896091
26/07/2019,60.63,-1.08,-1.750121536,61.3,-0.41,-0.664397991,61.45,-0.26,-0.421325555,59.99,-1.72,-2.787230595
25/07/2019,61.71,0.18,0.292540224,61,-0.53,-0.861368438,62.54,1.01,1.641475703,60.35,-1.18,-1.917763693
24/07/2019,61.53,-1.32,-2.100238663,63.49,0.64,1.018297534,64.2,1.35,2.14797136,60.41,-2.44,-3.882259348
23/07/2019,62.85,-1.6,-2.482544608,64.3,-0.15,-0.232738557,64.3,-0.15,-0.232738557,62.13,-2.32,-3.599689682
22/07/2019,64.45,-2.02,-3.038964947,66.49,0.02,0.030088762,66.5,0.03,0.045133143,63.01,-3.46,-5.2053558
19/07/2019,66.47,-2.05,-2.991827204,68.16,-0.36,-0.525394046,68.4,-0.12,-0.175131349,66.28,-2.24,-3.269118506
18/07/2019,68.52,1.04,1.541197392,67.57,0.09,0.133372851,68.98,1.5,2.222880854,66.02,-1.46,-2.163604031
17/07/2019,67.48,-1.91,-2.752558005,68.78,-0.61,-0.879089206,69.79,0.4,0.576451938,66.84,-2.55,-3.674881107
16/07/2019,69.39,0.94,1.373265157,68.6,0.15,0.219138057,70.32,1.87,2.73192111,67.06,-1.39,-2.030679328
15/07/2019,68.45,-0.09,-0.131310184,68.99,0.45,0.656550919,69.43,0.89,1.298511818,67.88,-0.66,-0.962941348
12/07/2019,68.54,-1.85,-2.628214235,70,-0.39,-0.554055974,70,-0.39,-0.554055974,68.18,-2.21,-3.139650519
11/07/2019,70.39,0.27,0.385054193,70.12,0,0,71.95,1.83,2.609811751,69,-1.12,-1.597261837
10/07/2019,70.12,-1.11,-1.558332163,71.96,0.73,1.02484908,71.96,0.73,1.02484908,69.73,-1.5,-2.105854275
09/07/2019,71.23,-0.9,-1.247747123,71.92,-0.21,-0.291140995,75,2.87,3.978926937,68.18,-3.95,-5.476223485
08/07/2019,72.13,0.41,0.571667596,72.33,0.61,0.850529838,73,1.28,1.784718349,71.72,0,0
05/07/2019,71.72,-1.34,-1.834108952,72.15,-0.91,-1.245551601,73.2,0.14,0.191623323,71.26,-1.8,-2.463728442
04/07/2019,73.06,0.14,0.191991223,72.02,-0.9,-1.234229292,73.2,0.28,0.383982447,72.02,-0.9,-1.234229292
03/07/2019,72.92,0.09,0.12357545,72.4,-0.43,-0.590416037,73,0.17,0.233420294,72.01,-0.82,-1.125909653
