Security,GCC* MF Equity                                                  ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,102.94,-0.58,-0.560278207,102.5,-1.02,-0.985316847,103.48,-0.04,-0.038639876,102.02,-1.5,-1.448995363
03/10/2019,103.52,-0.58,-0.55715658,103.51,-0.59,-0.566762728,103.98,-0.12,-0.115273775,101.32,-2.78,-2.670509126
02/10/2019,104.1,-3.03,-2.828339401,106.01,-1.12,-1.045458788,106.01,-1.12,-1.045458788,103.52,-3.61,-3.369737702
01/10/2019,107.13,1.73,1.641366224,104.51,-0.89,-0.844402277,107.48,2.08,1.973434535,104.51,-0.89,-0.844402277
30/09/2019,105.4,0.99,0.94818504,104.69,0.28,0.268173547,105.98,1.57,1.503687386,101.99,-2.42,-2.317785653
27/09/2019,104.41,-0.62,-0.590307531,104.25,-0.78,-0.742644959,104.99,-0.04,-0.038084357,103.03,-2,-1.904217843
26/09/2019,105.03,-1.14,-1.073749647,106.2,0.03,0.02825657,106.2,0.03,0.02825657,103.61,-2.56,-2.411227277
25/09/2019,106.17,-0.81,-0.757150869,106.16,-0.82,-0.766498411,106.54,-0.44,-0.41129183,104.22,-2.76,-2.579921481
24/09/2019,106.98,-0.48,-0.446677834,107.67,0.21,0.195421552,107.7,0.24,0.223338917,106.53,-0.93,-0.865438303
23/09/2019,107.46,-0.31,-0.287649624,108.71,0.94,0.872227893,109.19,1.42,1.317620859,106,-1.77,-1.642386564
20/09/2019,107.77,1.23,1.154495964,105.56,-0.98,-0.919842313,108.75,2.21,2.074338277,105.56,-0.98,-0.919842313
19/09/2019,106.54,-1.09,-1.012728793,107.31,-0.32,-0.297314875,108.01,0.38,0.353061414,106.05,-1.58,-1.467992195
18/09/2019,107.63,-0.11,-0.102097642,107.14,-0.6,-0.556896232,109.37,1.63,1.512901429,106.51,-1.23,-1.141637275
17/09/2019,107.74,-0.19,-0.176040026,109.49,1.56,1.445381266,109.9,1.97,1.825257111,105.48,-2.45,-2.269989808
13/09/2019,107.93,0.04,0.037074798,109.02,1.13,1.047363055,109.53,1.64,1.520066735,107.5,-0.39,-0.361479284
12/09/2019,107.89,-0.03,-0.027798369,107,-0.92,-0.852483321,108.99,1.07,0.991475167,107,-0.92,-0.852483321
11/09/2019,107.92,0.51,0.474816125,107.29,-0.12,-0.111721441,108.4,0.99,0.92170189,106.41,-1,-0.93101201
10/09/2019,107.41,1.99,1.887687346,106.27,0.85,0.806298615,108,2.58,2.447353443,104.28,-1.14,-1.081388731
09/09/2019,105.42,-2.16,-2.007808143,107.76,0.18,0.167317345,109.9,2.32,2.156534672,105,-2.58,-2.398215282
06/09/2019,107.58,1.62,1.528878822,108.75,2.79,2.633069083,110,4.04,3.812759532,106.12,0.16,0.151000378
05/09/2019,105.96,1.97,1.894412924,104.01,0.02,0.019232619,106.25,2.26,2.173285893,104.01,0.02,0.019232619
04/09/2019,103.99,-0.18,-0.172794471,105.33,1.16,1.113564366,105.5,1.33,1.276759144,102.99,-1.18,-1.132763752
03/09/2019,104.17,-1.32,-1.251303441,104.87,-0.62,-0.587733434,105.99,0.5,0.473978576,103,-2.49,-2.360413309
02/09/2019,105.49,0.5,0.476235832,105,0.01,0.009524717,105.5,0.51,0.485760549,104.16,-0.83,-0.790551481
30/08/2019,104.99,3.69,3.642645607,101.6,0.3,0.296150049,109.99,8.69,8.578479763,100.88,-0.42,-0.414610069
29/08/2019,101.3,4.5,4.648760331,97.62,0.82,0.847107438,101.85,5.05,5.216942149,96.51,-0.29,-0.299586777
28/08/2019,96.8,-0.28,-0.28842192,97.42,0.34,0.350226617,97.49,0.41,0.422332097,96.44,-0.64,-0.659250103
