Security,GMEXICOB MF Equity                                              ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,45.27,2.26,5.254591955,43.03,0.02,0.046500814,45.45,2.44,5.673099279,43.02,0.01,0.023250407
03/10/2019,43.01,-0.11,-0.255102041,42.88,-0.24,-0.556586271,43.65,0.53,1.229128015,42.84,-0.28,-0.649350649
02/10/2019,43.12,-2.75,-5.995203837,45.84,-0.03,-0.065402224,45.85,-0.02,-0.043601482,43,-2.87,-6.256812732
01/10/2019,45.87,-0.27,-0.585175553,46.22,0.08,0.173385349,46.61,0.47,1.018638925,45.46,-0.68,-1.473775466
30/09/2019,46.14,-0.35,-0.752850075,46.21,-0.28,-0.60228006,47.11,0.62,1.333620133,46,-0.49,-1.053990105
27/09/2019,46.49,0.24,0.518918919,46.57,0.32,0.691891892,46.95,0.7,1.513513514,46.27,0.02,0.043243243
26/09/2019,46.25,-0.97,-2.054214316,47.32,0.1,0.211774672,47.48,0.26,0.550614147,46.01,-1.21,-2.562473528
25/09/2019,47.22,1.02,2.207792208,46.11,-0.09,-0.194805195,47.38,1.18,2.554112554,45.9,-0.3,-0.649350649
24/09/2019,46.2,-0.96,-2.03562341,46.85,-0.31,-0.657336726,47.33,0.17,0.360474979,45.8,-1.36,-2.88379983
23/09/2019,47.16,1.15,2.49945664,45.71,-0.3,-0.652032167,47.42,1.41,3.064551185,45.71,-0.3,-0.652032167
20/09/2019,46.01,0.24,0.524360935,45.9,0.13,0.28402884,47.22,1.45,3.168013983,45.43,-0.34,-0.742844658
19/09/2019,45.77,-0.78,-1.675617615,46.6,0.05,0.107411386,47.02,0.47,1.009667025,45.64,-0.91,-1.954887218
18/09/2019,46.55,-0.76,-1.606425703,47.26,-0.05,-0.105685902,47.65,0.34,0.71866413,46.22,-1.09,-2.303952653
17/09/2019,47.31,1.66,3.636363636,45.45,-0.2,-0.438116101,47.74,2.09,4.578313253,45.35,-0.3,-0.657174151
13/09/2019,45.65,-0.82,-1.764579298,47,0.53,1.140520766,47.2,0.73,1.570905961,45.5,-0.97,-2.087368195
12/09/2019,46.47,0.86,1.885551414,45.89,0.28,0.61390046,47,1.39,3.047577286,44.75,-0.86,-1.885551414
11/09/2019,45.61,0.62,1.378084019,45,0.01,0.022227162,45.7,0.71,1.578128473,44.54,-0.45,-1.000222272
10/09/2019,44.99,0.69,1.557562077,44.18,-0.12,-0.270880361,45.19,0.89,2.009029345,44.05,-0.25,-0.564334086
09/09/2019,44.3,-0.69,-1.53367415,45.28,0.29,0.644587686,46.65,1.66,3.689708824,44.07,-0.92,-2.044898866
06/09/2019,44.99,-0.67,-1.467367499,45.9,0.24,0.525624179,45.98,0.32,0.700832238,44.82,-0.84,-1.839684625
05/09/2019,45.66,0.23,0.506273388,45.8,0.37,0.814439797,47.09,1.66,3.653973145,45.32,-0.11,-0.242130751
04/09/2019,45.43,0.13,0.286975717,45.54,0.24,0.529801325,46.81,1.51,3.333333333,45.16,-0.14,-0.309050773
03/09/2019,45.3,-0.14,-0.308098592,45.15,-0.29,-0.638204225,45.43,-0.01,-0.022007042,44.35,-1.09,-2.398767606
02/09/2019,45.44,-0.72,-1.559792028,45.75,-0.41,-0.888214905,46.38,0.22,0.47660312,45.11,-1.05,-2.274696707
30/08/2019,46.16,0.3,0.65416485,46.5,0.64,1.395551679,46.79,0.93,2.027911034,45.18,-0.68,-1.482773659
29/08/2019,45.86,0.25,0.548125411,45.95,0.34,0.745450559,46.62,1.01,2.214426661,45.32,-0.29,-0.635825477
28/08/2019,45.61,1.54,3.494440663,44.12,0.05,0.113455866,45.81,1.74,3.948264125,44,-0.07,-0.158838212
27/08/2019,44.07,1.13,2.631578947,43.3,0.36,0.838379134,44.35,1.41,3.283651607,43.26,0.32,0.745225897
26/08/2019,42.94,0.11,0.256829325,42.52,-0.31,-0.723791735,43.12,0.29,0.677095494,41.99,-0.84,-1.96124212
23/08/2019,42.83,-0.16,-0.372179577,42.61,-0.38,-0.883926495,43.09,0.1,0.232612235,42.3,-0.69,-1.605024424
22/08/2019,42.99,-0.44,-1.013124568,43.47,0.04,0.092102233,43.75,0.32,0.736817868,42.51,-0.92,-2.11835137
21/08/2019,43.43,1.54,3.676295058,42.32,0.43,1.026497971,43.65,1.76,4.201480067,41.51,-0.38,-0.907137742
20/08/2019,41.89,1.35,3.330044401,40.71,0.17,0.419338925,42.15,1.61,3.971386285,40.3,-0.24,-0.592007893
19/08/2019,40.54,0.38,0.946215139,40.25,0.09,0.224103586,41.62,1.46,3.635458167,40.25,0.09,0.224103586
16/08/2019,40.16,-0.4,-0.986193294,40.56,0,0,41.45,0.89,2.194280079,39.53,-1.03,-2.539447732
15/08/2019,40.56,0.41,1.02117061,40.05,-0.1,-0.249066002,40.81,0.66,1.643835616,39.92,-0.23,-0.572851806
14/08/2019,40.15,-1.29,-3.112934363,41.27,-0.17,-0.41023166,41.27,-0.17,-0.41023166,39.8,-1.64,-3.957528958
13/08/2019,41.44,-0.34,-0.813786501,41.77,-0.01,-0.023934897,42.95,1.17,2.800382958,41.31,-0.47,-1.124940163
12/08/2019,41.78,-1.91,-4.371709773,43.52,-0.17,-0.389105058,43.52,-0.17,-0.389105058,41.57,-2.12,-4.852368963
09/08/2019,43.69,0.06,0.137520055,44.19,0.56,1.283520513,44.26,0.63,1.443960578,42.69,-0.94,-2.154480862
08/08/2019,43.63,0.31,0.715604801,43.94,0.62,1.431209603,44.56,1.24,2.862419206,43.2,-0.12,-0.27700831
07/08/2019,43.32,1.7,4.084574724,41.25,-0.37,-0.888995675,44.23,2.61,6.271023546,41.25,-0.37,-0.888995675
06/08/2019,41.62,-1.17,-2.734283711,43.25,0.46,1.075017527,44,1.21,2.827763496,39.96,-2.83,-6.613694789
05/08/2019,42.79,-1.24,-2.81626164,43.89,-0.14,-0.317965024,43.89,-0.14,-0.317965024,42.56,-1.47,-3.33863275
02/08/2019,44.03,-1.28,-2.824983447,45.08,-0.23,-0.507614213,45.08,-0.23,-0.507614213,43.13,-2.18,-4.811299934
01/08/2019,45.31,-1.58,-3.369588398,46.75,-0.14,-0.298571124,47.1,0.21,0.447856686,44.86,-2.03,-4.329281297
