Security,GRUMAB MF Equity                                                ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,201.46,0.42,0.208913649,200.03,-1.01,-0.502387585,203.15,2.11,1.04954238,200.03,-1.01,-0.502387585
03/10/2019,201.04,0.26,0.12949497,201.28,0.5,0.249028788,202.5,1.72,0.85665903,200.25,-0.53,-0.263970515
02/10/2019,200.78,-0.74,-0.36720921,200.21,-1.31,-0.650059547,202.84,1.32,0.655021834,199.99,-1.53,-0.759229853
01/10/2019,201.52,-0.42,-0.207982569,202.66,0.72,0.356541547,202.91,0.97,0.480340695,200.13,-1.81,-0.896305833
30/09/2019,201.94,-1.63,-0.800707373,204.18,0.61,0.299651226,205,1.43,0.70246107,201.06,-2.51,-1.232991109
27/09/2019,203.57,-0.57,-0.279220143,204.41,0.27,0.132262173,205.49,1.35,0.661310865,202.12,-2.02,-0.989516998
26/09/2019,204.14,-0.03,-0.014693638,205,0.83,0.406523975,207,2.83,1.386099819,202.01,-2.16,-1.057941911
25/09/2019,204.17,-0.5,-0.244295696,202.82,-1.85,-0.903894073,206.94,2.27,1.109102458,201.58,-3.09,-1.509747398
24/09/2019,204.67,-2.74,-1.321054915,206.48,-0.93,-0.448387252,207.41,0,0,204.07,-3.34,-1.610337014
23/09/2019,207.41,-3.34,-1.584816133,206.11,-4.64,-2.201660735,209.9,-0.85,-0.403321471,206.11,-4.64,-2.201660735
20/09/2019,210.75,2.81,1.351351351,208.48,0.54,0.259690295,211.31,3.37,1.620659806,206.27,-1.67,-0.803116284
19/09/2019,207.94,2.24,1.088964511,206.5,0.8,0.388915897,208.69,2.99,1.453573165,203.23,-2.47,-1.200777832
18/09/2019,205.7,-2.17,-1.043921682,207.97,0.1,0.04810699,207.97,0.1,0.04810699,201.65,-6.22,-2.992254775
17/09/2019,207.87,3.36,1.642951445,204.19,-0.32,-0.156471566,208.59,4.08,1.995012469,199.38,-5.13,-2.508434795
