Security,IENOVA* MF Equity                                               ,,,,,,,,,,,
Start Date,21/03/2013 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,79.25,0.72,0.916847065,78.38,-0.15,-0.191009805,79.69,1.16,1.477142493,78.37,-0.16,-0.203743792
03/10/2019,78.53,-0.66,-0.833438565,79.4,0.21,0.265184998,79.4,0.21,0.265184998,78.3,-0.89,-1.123879278
02/10/2019,79.19,-0.22,-0.277043194,78.93,-0.48,-0.604457877,79.59,0.18,0.226671704,78.09,-1.32,-1.662259161
01/10/2019,79.41,0.97,1.236613972,78.78,0.34,0.43345232,79.68,1.24,1.580826109,78.37,-0.07,-0.089240184
30/09/2019,78.44,-0.85,-1.072014125,79.43,0.14,0.176567032,79.54,0.25,0.315298272,78.03,-1.26,-1.589103292
27/09/2019,79.29,0.57,0.724085366,79.09,0.37,0.470020325,79.7,0.98,1.244918699,78.26,-0.46,-0.584349593
26/09/2019,78.72,0.07,0.089001907,78.72,0.07,0.089001907,79.13,0.48,0.610298792,77.49,-1.16,-1.474888748
25/09/2019,78.65,-0.06,-0.076229196,78.43,-0.28,-0.355736247,81.09,2.38,3.023758099,78.43,-0.28,-0.355736247
24/09/2019,78.71,-0.34,-0.430107527,79.21,0.16,0.202403542,80.39,1.34,1.695129665,78.46,-0.59,-0.746363061
23/09/2019,79.05,-1.12,-1.397031308,80.22,0.05,0.062367469,81.78,1.61,2.008232506,78.92,-1.25,-1.559186728
20/09/2019,80.17,-1,-1.231982259,81.6,0.43,0.529752372,81.97,0.8,0.985585808,80.01,-1.16,-1.429099421
19/09/2019,81.17,0.81,1.007964161,80.64,0.28,0.348432056,81.97,1.61,2.003484321,80.28,-0.08,-0.099552016
18/09/2019,80.36,-1.85,-2.250334509,82.14,-0.07,-0.085147792,82.5,0.29,0.352755139,80.16,-2.05,-2.493613916
17/09/2019,82.21,-0.02,-0.024322024,82.72,0.49,0.595889578,84.05,1.82,2.213304147,82.08,-0.15,-0.182415177
13/09/2019,82.23,-0.67,-0.808202654,83.01,0.11,0.132689988,83.01,0.11,0.132689988,81.9,-1,-1.206272618
12/09/2019,82.9,0.26,0.314617619,82.75,0.11,0.133107454,83.97,1.33,1.609390126,82.01,-0.63,-0.762342691
11/09/2019,82.64,-0.28,-0.337674867,82.12,-0.8,-0.964785335,84.11,1.19,1.435118186,82.12,-0.8,-0.964785335
10/09/2019,82.92,-0.99,-1.179835538,83.82,-0.09,-0.107257776,84,0.09,0.107257776,81.96,-1.95,-2.323918484
09/09/2019,83.91,1.05,1.267197683,83.58,0.72,0.868935554,84.5,1.64,1.979242095,82.69,-0.17,-0.205165339
06/09/2019,82.86,-1.08,-1.28663331,83.93,-0.01,-0.011913271,84.27,0.33,0.393137956,82.44,-1.5,-1.786990708
05/09/2019,83.94,-0.1,-0.118990957,83.82,-0.22,-0.261780105,84.5,0.46,0.547358401,82.7,-1.34,-1.59447882
04/09/2019,84.04,0.07,0.083363106,84.31,0.34,0.404906514,85.01,1.04,1.238537573,83.82,-0.15,-0.178635227
03/09/2019,83.97,-0.51,-0.603693182,84.91,0.43,0.508996212,84.92,0.44,0.520833333,81.37,-3.11,-3.681344697
02/09/2019,84.48,0.16,0.189753321,84.48,0.16,0.189753321,85.5,1.18,1.39943074,81.27,-3.05,-3.617172676
30/08/2019,84.32,0.3,0.357057843,84.4,0.38,0.452273268,85.88,1.86,2.213758629,83.2,-0.82,-0.975958105
29/08/2019,84.02,3.22,3.985148515,81.25,0.45,0.556930693,85,4.2,5.198019802,81.25,0.45,0.556930693
28/08/2019,80.8,4.05,5.276872964,76.97,0.22,0.286644951,82.2,5.45,7.100977199,76.97,0.22,0.286644951
27/08/2019,76.75,1.25,1.655629139,76.03,0.53,0.701986755,80.69,5.19,6.874172185,76.03,0.53,0.701986755
26/08/2019,75.5,2.73,3.751545967,73.63,0.86,1.181805689,75.63,2.86,3.930191013,73.53,0.76,1.044386423
23/08/2019,72.77,-2.94,-3.883238674,75.24,-0.47,-0.620789856,75.48,-0.23,-0.303790781,72.23,-3.48,-4.596486594
22/08/2019,75.71,-0.31,-0.407787424,76.36,0.34,0.447250723,76.88,0.86,1.131281242,73.52,-2.5,-3.288608261
21/08/2019,76.02,-0.65,-0.847789227,76.57,-0.1,-0.130429112,78.07,1.4,1.826007565,73.33,-3.34,-4.356332333
20/08/2019,76.67,2.79,3.776394153,74.01,0.13,0.175961018,77.77,3.89,5.265295073,73.98,0.1,0.135354629
19/08/2019,73.88,1.21,1.665061236,73.23,0.56,0.770606853,73.98,1.31,1.802669602,72.36,-0.31,-0.426585936
16/08/2019,72.67,2.6,3.710575139,70.8,0.73,1.041815328,73.55,3.48,4.966462109,70.8,0.73,1.041815328
15/08/2019,70.07,-0.42,-0.595829196,70.32,-0.17,-0.24116896,72.34,1.85,2.624485743,68.22,-2.27,-3.220314938
14/08/2019,70.49,-2.57,-3.517656721,71.27,-1.79,-2.450041062,72.91,-0.15,-0.205310704,68.2,-4.86,-6.652066794
13/08/2019,73.06,-0.01,-0.013685507,72.89,-0.18,-0.246339127,73.91,0.84,1.149582592,71.34,-1.73,-2.367592719
12/08/2019,73.07,0.39,0.536598789,72.12,-0.56,-0.770500826,73.32,0.64,0.880572372,70.56,-2.12,-2.916895982
09/08/2019,72.68,-0.06,-0.082485565,72.3,-0.44,-0.604894144,73.11,0.37,0.508660984,71.83,-0.91,-1.25103107
08/08/2019,72.74,0.34,0.46961326,72.71,0.31,0.428176796,73.01,0.61,0.842541436,71.03,-1.37,-1.892265193
07/08/2019,72.4,1.84,2.607709751,69.78,-0.78,-1.105442177,72.64,2.08,2.947845805,69.4,-1.16,-1.64399093
06/08/2019,70.56,1,1.437607821,69.39,-0.17,-0.244393329,70.93,1.37,1.969522714,69.39,-0.17,-0.244393329
05/08/2019,69.56,-0.81,-1.15105869,69.79,-0.58,-0.824214864,70.51,0.14,0.198948416,67.64,-2.73,-3.879494103
02/08/2019,70.37,-0.29,-0.410416077,70.49,-0.17,-0.240588735,70.99,0.33,0.467025191,69.3,-1.36,-1.924709878
01/08/2019,70.66,-3.35,-4.526415349,74.32,0.31,0.418862316,74.32,0.31,0.418862316,70.05,-3.96,-5.350628293
31/07/2019,74.01,0.7,0.95484927,72.27,-1.04,-1.418633201,75.06,1.75,2.387123176,72.25,-1.06,-1.445914609
30/07/2019,73.31,0.71,0.977961433,72.15,-0.45,-0.619834711,73.58,0.98,1.349862259,72,-0.6,-0.826446281
29/07/2019,72.6,2.36,3.359908884,70.24,0,0,73.19,2.95,4.199886105,69.36,-0.88,-1.25284738
26/07/2019,70.24,0.81,1.166642662,69.5,0.07,0.100820971,71,1.57,2.261270344,69.5,0.07,0.100820971
25/07/2019,69.43,-0.83,-1.181326502,70.26,0,0,71.06,0.8,1.138627953,68.52,-1.74,-2.476515798
24/07/2019,70.26,0.1,0.142531357,69,-1.16,-1.65336374,70.94,0.78,1.111744584,69,-1.16,-1.65336374
23/07/2019,70.16,0.19,0.271544948,70,0.03,0.042875518,70.88,0.91,1.300557382,68.04,-1.93,-2.758324996
22/07/2019,69.97,-2.75,-3.781628163,72.91,0.19,0.261276128,73.2,0.48,0.660066007,69.58,-3.14,-4.317931793
19/07/2019,72.72,-0.06,-0.082440231,73.57,0.79,1.085463039,74.74,1.96,2.693047541,70.99,-1.79,-2.459466887
18/07/2019,72.78,-2.43,-3.230953331,75.3,0.09,0.119664938,76.68,1.47,1.954527323,71.99,-3.22,-4.281345566
17/07/2019,75.21,-1.75,-2.273908524,76.03,-0.93,-1.208419958,77.67,0.71,0.922557173,74.5,-2.46,-3.196465696
16/07/2019,76.96,-0.33,-0.426963385,76.7,-0.59,-0.763358779,77.09,-0.2,-0.258765688,75.81,-1.48,-1.914866089
15/07/2019,77.29,0.23,0.298468726,77.01,-0.05,-0.064884506,77.75,0.69,0.895406177,75.73,-1.33,-1.725927848
12/07/2019,77.06,1.04,1.368061037,75.75,-0.27,-0.355169692,77.39,1.37,1.802157327,75.15,-0.87,-1.144435675
11/07/2019,76.02,1.45,1.944481695,74.95,0.38,0.509588306,76.48,1.91,2.56135175,74.95,0.38,0.509588306
10/07/2019,74.57,-2,-2.61198903,76.25,-0.32,-0.417918245,76.25,-0.32,-0.417918245,74.24,-2.33,-3.04296722
09/07/2019,76.57,-0.43,-0.558441558,76.72,-0.28,-0.363636364,77.8,0.8,1.038961039,75.6,-1.4,-1.818181818
08/07/2019,77,0.77,1.01010101,75.65,-0.58,-0.760855306,78.15,1.92,2.518693428,75.4,-0.83,-1.08881018
05/07/2019,76.23,0.06,0.07877117,75.34,-0.83,-1.089667848,76.86,0.69,0.905868452,75.07,-1.1,-1.444138112
04/07/2019,76.17,0.35,0.461619625,76.47,0.65,0.85729359,76.88,1.06,1.398048008,75.25,-0.57,-0.751780533
03/07/2019,75.82,-0.56,-0.733176224,76.01,-0.37,-0.484420005,76.4,0.02,0.026184865,75.21,-1.17,-1.531814611
02/07/2019,76.38,-0.47,-0.611581002,76.82,-0.03,-0.039037085,77.97,1.12,1.457384515,76.06,-0.79,-1.027976578
01/07/2019,76.85,1.46,1.936596366,75.79,0.4,0.530574347,77,1.61,2.135561746,75.79,0.4,0.530574347
28/06/2019,75.39,2.22,3.03403034,73.29,0.12,0.16400164,76,2.83,3.867705344,71.95,-1.22,-1.667350007
27/06/2019,73.17,-3.61,-4.701745246,76.46,-0.32,-0.416775202,76.46,-0.32,-0.416775202,70.57,-6.21,-8.088043761
26/06/2019,76.78,-3.66,-4.549975137,79.87,-0.57,-0.708602685,79.87,-0.57,-0.708602685,76.49,-3.95,-4.910492292
25/06/2019,80.44,0.11,0.136935143,79.7,-0.63,-0.784264907,80.7,0.37,0.460600025,79.45,-0.88,-1.09548114
24/06/2019,80.33,0.18,0.224578915,80.55,0.4,0.499064255,81.77,1.62,2.021210231,79.65,-0.5,-0.623830318
21/06/2019,80.15,-2.97,-3.573147257,82.6,-0.52,-0.62560154,83.5,0.38,0.457170356,79.78,-3.34,-4.018286814
20/06/2019,83.12,0.36,0.43499275,83.72,0.96,1.159980667,83.99,1.23,1.48622523,82.51,-0.25,-0.302078299
19/06/2019,82.76,-0.51,-0.612465474,82.9,-0.37,-0.444337697,83.58,0.31,0.372282935,81.6,-1.67,-2.005524198
18/06/2019,83.27,2.39,2.954995054,81.29,0.41,0.506923838,83.98,3.1,3.832838773,81.18,0.3,0.370919881
17/06/2019,80.88,-1.56,-1.892285298,82.35,-0.09,-0.109170306,82.5,0.06,0.072780204,80.47,-1.97,-2.389616691
14/06/2019,82.44,-0.89,-1.068042722,81.71,-1.62,-1.944077763,82.58,-0.75,-0.900036001,81.51,-1.82,-2.184087363
13/06/2019,83.33,0.74,0.895992251,82.96,0.37,0.447996125,83.72,1.13,1.368204383,82.49,-0.1,-0.121080034
12/06/2019,82.59,-0.38,-0.457996866,82.01,-0.96,-1.157044715,83.8,0.83,1.000361576,81.96,-1.01,-1.217307461
11/06/2019,82.97,-0.74,-0.884004301,83.91,0.2,0.238920081,84.82,1.11,1.326006451,81.01,-2.7,-3.225421097
10/06/2019,83.71,1.07,1.294772507,83,0.36,0.435624395,84.85,2.21,2.674249758,82.99,0.35,0.423523717
07/06/2019,82.64,-1.19,-1.419539544,83.83,0,0,83.83,0,0,81.57,-2.26,-2.695932244
06/06/2019,83.83,0.81,0.975668514,83.22,0.2,0.240905806,84.19,1.17,1.409298964,80.97,-2.05,-2.46928451
05/06/2019,83.02,1.34,1.640548482,81.99,0.31,0.379529873,84,2.32,2.840352595,81.12,-0.56,-0.685602351
04/06/2019,81.68,1.35,1.680567658,80.5,0.17,0.211627038,82.18,1.85,2.303000124,79.78,-0.55,-0.684675713
03/06/2019,80.33,0.53,0.664160401,79.97,0.17,0.213032581,81.87,2.07,2.593984962,78.58,-1.22,-1.528822055
31/05/2019,79.8,-1.69,-2.073874095,80.86,-0.63,-0.773100994,80.86,-0.63,-0.773100994,79.08,-2.41,-2.957418088
30/05/2019,81.49,-2.04,-2.442236322,83.53,0,0,83.53,0,0,80.96,-2.57,-3.076738896
29/05/2019,83.53,2.84,3.519643078,80.08,-0.61,-0.755979675,84.1,3.41,4.226050316,79.23,-1.46,-1.809393977
28/05/2019,80.69,0.45,0.560817547,80.02,-0.22,-0.274177468,81.7,1.46,1.819541376,79.87,-0.37,-0.46111665
27/05/2019,80.24,-1.22,-1.497667567,81.35,-0.11,-0.1350356,82.09,0.63,0.773385711,79.64,-1.82,-2.234225387
24/05/2019,81.46,0.13,0.159842617,81.53,0.2,0.245911718,83.44,2.11,2.594368622,78.19,-3.14,-3.860813968
23/05/2019,81.33,-0.13,-0.159587528,80.73,-0.73,-0.896145347,82.06,0.6,0.73655782,80.04,-1.42,-1.74318684
22/05/2019,81.46,-0.31,-0.379112144,81.61,-0.16,-0.195670784,82.38,0.61,0.745994864,80.94,-0.83,-1.015042192
21/05/2019,81.77,0.02,0.024464832,82.42,0.67,0.819571865,82.98,1.23,1.504587156,80.97,-0.78,-0.95412844
20/05/2019,81.75,-0.96,-1.160681901,82.71,0,0,83.8,1.09,1.317857575,81.49,-1.22,-1.475033249
17/05/2019,82.71,0.16,0.193821926,81.99,-0.56,-0.678376741,83.42,0.87,1.053906723,81.91,-0.64,-0.775287704
16/05/2019,82.55,0.61,0.744447156,81.77,-0.17,-0.20746888,83.98,2.04,2.489626556,80.44,-1.5,-1.830607762
15/05/2019,81.94,0.8,0.98595021,81,-0.14,-0.172541287,82.25,1.11,1.368005916,80.34,-0.8,-0.98595021
14/05/2019,81.14,1.18,1.475737869,80.1,0.14,0.175087544,81.98,2.02,2.526263132,79.44,-0.52,-0.650325163
13/05/2019,79.96,-0.39,-0.485376478,80,-0.35,-0.435594275,80.77,0.42,0.52271313,77.55,-2.8,-3.4847542
10/05/2019,80.35,1.94,2.474174212,77.82,-0.59,-0.752455044,80.98,2.57,3.277643158,76.16,-2.25,-2.869531947
09/05/2019,78.41,-2.35,-2.909856365,80.36,-0.4,-0.4952947,80.5,-0.26,-0.321941555,77.28,-3.48,-4.309063893
08/05/2019,80.76,-0.27,-0.333209922,81,-0.03,-0.037023325,81.39,0.36,0.444279896,80.2,-0.83,-1.024311983
07/05/2019,81.03,-2.62,-3.132098027,83.18,-0.47,-0.561864913,83.18,-0.47,-0.561864913,80.6,-3.05,-3.64614465
06/05/2019,83.65,-0.34,-0.404810096,83.7,-0.29,-0.3452792,84.06,0.07,0.083343255,82.51,-1.48,-1.762114537
03/05/2019,83.99,0.97,1.168393158,82.5,-0.52,-0.626355095,84.81,1.79,2.156106962,82.5,-0.52,-0.626355095
02/05/2019,83.02,0.15,0.181006396,82.49,-0.38,-0.458549535,84,1.13,1.363581513,82.45,-0.42,-0.506817908
30/04/2019,82.87,2.58,3.2133516,80.46,0.17,0.21173247,84.3,4.01,4.994395317,80.46,0.17,0.21173247
29/04/2019,80.29,-1.7,-2.073423588,81.79,-0.2,-0.243932187,83.09,1.1,1.341627028,79.89,-2.1,-2.561287962
26/04/2019,81.99,-0.46,-0.557913887,82.25,-0.2,-0.242571255,83.7,1.25,1.516070346,80.91,-1.54,-1.867798666
25/04/2019,82.45,-0.29,-0.350495528,82.44,-0.3,-0.362581581,84,1.26,1.52284264,81.73,-1.01,-1.220691322
24/04/2019,82.74,-0.74,-0.886439866,83.31,-0.17,-0.203641591,84.92,1.44,1.724964063,82.31,-1.17,-1.401533301
23/04/2019,83.48,0.66,0.796908959,82.5,-0.32,-0.386380101,84.09,1.27,1.533446028,82.5,-0.32,-0.386380101
22/04/2019,82.82,-1.36,-1.61558565,84.18,0,0,84.18,0,0,82.2,-1.98,-2.352102637
17/04/2019,84.18,0.25,0.29786727,81.8,-2.13,-2.537829143,85.12,1.19,1.417848207,81.8,-2.13,-2.537829143
16/04/2019,83.93,1.59,1.931017731,82.5,0.16,0.19431625,84.15,1.81,2.198202575,80.85,-1.49,-1.809570075
15/04/2019,82.34,-0.16,-0.193939394,82.59,0.09,0.109090909,83.4,0.9,1.090909091,80.41,-2.09,-2.533333333
12/04/2019,82.5,0.01,0.012122682,82.21,-0.28,-0.339435083,82.79,0.3,0.363680446,81.51,-0.98,-1.188022791
11/04/2019,82.49,-1.13,-1.351351351,83.82,0.2,0.23917723,83.91,0.29,0.346806984,81.25,-2.37,-2.834250179
10/04/2019,83.62,0.41,0.492729239,84,0.79,0.94940512,84.71,1.5,1.802667949,82.08,-1.13,-1.358009855
09/04/2019,83.21,1.01,1.228710462,81.01,-1.19,-1.447688564,83.82,1.62,1.97080292,81.01,-1.19,-1.447688564
