Date,Open,High,Low,Close
1/2/14,42725.53125,42841.96094,42115.35938,42188.44922
1/3/14,42191.10938,42274.60938,41842.96094,42064.96875
1/6/14,42093.55859,42143.16016,41522.48828,41525.94922
1/7/14,41532.87891,41883.37109,41522.17188,41778.60156
1/8/14,41783.80078,41915.35938,41389.39844,41515.48828
1/9/14,41554.32813,41585.62109,41220.66016,41585.53906
1/10/14,41586.85156,42526.12891,41585.55078,42458.51172
1/13/14,42455.96875,42463.42188,42046.23828,42158.62109
1/14/14,42151.46875,42501,42055.87891,42439.78906
1/15/14,42434.87109,42731.76172,42359.64844,42511.25
1/16/14,42508.96875,42608.82031,42167.76953,42172.73047
1/17/14,42172.85938,42246.01953,41721.03906,41911.30859
1/20/14,41911.30859,42111.78125,41909.10938,41976.37109
1/21/14,41976.62891,42277.10156,41602.28125,41838.62891
1/22/14,41849.01953,42062.82031,41699.71875,42062.82031
1/23/14,42058.17188,42082.75,41402.37891,41531.80078
1/24/14,41532.78125,41556.17188,40814.51172,40979.80078
1/27/14,40980.33984,41010.55859,40316.66016,40863.41016
1/28/14,40873.53125,41217.62109,40660.48828,40660.92969
1/29/14,40656.28125,40978.44922,40228.28906,40689.89844
1/30/14,40692.92969,41096.78906,40572.23047,41008.30078
1/31/14,41008.62891,41008.62891,40579.10938,40879.75
2/4/14,40881.12109,40881.12109,40031.64844,40085.51953
2/5/14,40099.39063,40438.26953,39733.30078,39880.87109
2/6/14,39881.51953,40464.39063,39866.35938,40288.78125
2/7/14,40272.30859,40576.73828,40075.39063,40525.73828
2/10/14,40533.85938,40545.07813,40074.67188,40116.35938
2/11/14,40116.62891,40939.64063,40116.62891,40759.62109
2/12/14,40765.35938,40958.64844,40436.82031,40690.05859
2/13/14,40690.05859,40703.78906,40263.16016,40308.96094
2/14/14,40316.89063,40896.5,40199.60938,40710.89063
2/17/14,40710.89063,40803.75,40687.07813,40735.48047
2/18/14,40733.60156,40830.98828,40421.69141,40421.85938
2/19/14,40426.23828,40518.10938,39755.44141,40006.42188
2/20/14,39993.30859,40013.41016,39566.62109,39654.23047
2/21/14,39672.55859,39975.62891,39650,39724.57813
2/24/14,39726.41016,40163.32031,39707.62891,39792.71094
2/25/14,39793.96094,39858.42969,38883.46094,39023.64844
2/26/14,39034.05859,39286.07813,38497.62109,38605.62109
2/27/14,38617.80859,39121.87109,38469.60156,38912.92969
2/28/14,38927.71094,39109.48047,38645.42969,38782.89063
3/3/14,38780.42969,38784.33984,38302.85938,38534.82031
3/4/14,38539.46875,39137.03125,38536.16016,39084.35938
3/5/14,39088.39844,39219.62891,39003.42969,39021.07031
3/6/14,39023.26172,39591.78906,39023.26172,39176.30078
3/7/14,39176.5,39217.33984,38722.67188,38913.03906
3/10/14,38914.39844,38920.32031,38480.25,38671.01172
3/11/14,38671.01172,38982.32031,38566.05078,38689.57031
3/12/14,38689.51172,38777.37891,38535.87109,38634.82813
3/13/14,38634,38715.05078,37850.17969,38037.5
3/14/14,38037.5,38037.5,37751.64063,37950.96875
3/18/14,37950.96875,38863.03906,37950.17969,38814.69141
3/19/14,38804.75,39339.67969,38653.33984,38811.94141
3/20/14,38817.42188,39770.64844,38543.03125,39616.19141
3/21/14,39628.32813,40098.37109,39553.44141,40021.73047
3/24/14,40017.35156,40357,39790.23047,39821.71094
3/25/14,39829.10156,40134.12891,39614.73828,39793.01953
3/26/14,39792.87891,40081.14063,39674.67969,39761.30078
3/27/14,39759.51172,39973.78906,39703.01953,39911.01172
