Security,KIMBERA MF Equity                                               ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,40.88,1.47,3.730017762,39.46,0.05,0.126871352,41.32,1.91,4.846485664,39.2,-0.21,-0.53285968
03/10/2019,39.41,0.32,0.818623689,39.03,-0.06,-0.153491942,39.49,0.4,1.023279611,39,-0.09,-0.230237913
02/10/2019,39.09,0.25,0.643666323,38.64,-0.2,-0.514933059,39.37,0.53,1.364572606,38.64,-0.2,-0.514933059
01/10/2019,38.84,-0.403,-1.02693474,39.25,0.007,0.017837576,39.41,0.167,0.425553602,38.7,-0.543,-1.383686263
30/09/2019,39.243,-0.407,-1.026481715,39.69,0.04,0.100882724,39.99,0.34,0.857503153,39.16,-0.49,-1.235813367
27/09/2019,39.65,0.37,0.941955193,39.29,0.01,0.025458248,39.88,0.6,1.527494908,39.1,-0.18,-0.458248473
26/09/2019,39.28,0.25,0.640532923,39.13,0.1,0.256213169,39.52,0.49,1.25544453,38.8,-0.23,-0.58929029
25/09/2019,39.03,-0.83,-2.082288008,39.52,-0.34,-0.852985449,39.65,-0.21,-0.526843954,38.32,-1.54,-3.863522328
24/09/2019,39.86,-0.13,-0.32508127,39.9,-0.09,-0.225056264,40.29,0.3,0.750187547,39.44,-0.55,-1.375343836
23/09/2019,39.99,0.58,1.471707688,39.21,-0.2,-0.50748541,40.01,0.6,1.522456229,38.84,-0.57,-1.446333418
20/09/2019,39.41,1.04,2.710450873,38.35,-0.02,-0.052124055,39.46,1.09,2.840761011,38.2,-0.17,-0.44305447
19/09/2019,38.37,-0.28,-0.724450194,38.56,-0.09,-0.232858991,38.99,0.34,0.879689521,38.17,-0.48,-1.241914618
18/09/2019,38.65,-1.09,-2.742828384,39.86,0.12,0.301962758,39.9,0.16,0.402617011,38.39,-1.35,-3.397081027
17/09/2019,39.74,0.95,2.449084816,38.78,-0.01,-0.02577984,39.9,1.11,2.861562258,38.77,-0.02,-0.05155968
13/09/2019,38.79,-0.02,-0.05153311,38.57,-0.24,-0.61839732,39.1,0.29,0.747230095,38.5,-0.31,-0.798763205
12/09/2019,38.81,-0.38,-0.969635111,39.1,-0.09,-0.229650421,39.49,0.3,0.765501403,38.71,-0.48,-1.224802245
11/09/2019,39.19,0.04,0.102171137,39.06,-0.09,-0.229885057,39.76,0.61,1.558109834,38.92,-0.23,-0.587484036
10/09/2019,39.15,-0.76,-1.90428464,39.58,-0.33,-0.826860436,39.99,0.08,0.200451015,39,-0.91,-2.280130293
09/09/2019,39.91,-1.06,-2.58725897,41.27,0.3,0.732243105,41.89,0.92,2.245545521,39.65,-1.32,-3.221869661
06/09/2019,40.97,-0.99,-2.359389895,42,0.04,0.095328885,42.08,0.12,0.285986654,40.91,-1.05,-2.502383222
05/09/2019,41.96,1.2,2.944062807,41.18,0.42,1.030421982,43.13,2.37,5.814524043,40.92,0.16,0.392541708
04/09/2019,40.76,1,2.515090543,39.86,0.1,0.251509054,41,1.24,3.118712274,39.78,0.02,0.050301811
03/09/2019,39.76,0.17,0.429401364,39.61,0.02,0.050517808,39.89,0.3,0.757767113,39.11,-0.48,-1.212427381
02/09/2019,39.59,-1.39,-3.391898487,40.88,-0.1,-0.244021474,40.88,-0.1,-0.244021474,39.3,-1.68,-4.099560761
30/08/2019,40.98,0.54,1.335311573,40.34,-0.1,-0.247279921,41.57,1.13,2.794263106,40.24,-0.2,-0.494559842
29/08/2019,40.44,0.3,0.747384155,40.21,0.07,0.174389636,40.6,0.46,1.145989038,39.79,-0.35,-0.871948181
28/08/2019,40.14,0.13,0.32491877,40.25,0.24,0.599850037,40.35,0.34,0.849787553,39.94,-0.07,-0.174956261
27/08/2019,40.01,0.25,0.628772636,39.67,-0.09,-0.226358149,40.15,0.39,0.980885312,38.83,-0.93,-2.339034205
26/08/2019,39.76,0.87,2.237078941,38.63,-0.26,-0.668552327,40.15,1.26,3.239907431,38.59,-0.3,-0.771406531
23/08/2019,38.89,-0.78,-1.966221326,39.58,-0.09,-0.226871691,39.58,-0.09,-0.226871691,38.25,-1.42,-3.579531132
22/08/2019,39.67,-0.32,-0.80020005,40.02,0.03,0.075018755,40.77,0.78,1.950487622,39.57,-0.42,-1.050262566
21/08/2019,39.99,1.09,2.802056555,38.85,-0.05,-0.128534704,40.88,1.98,5.089974293,38.43,-0.47,-1.208226221
20/08/2019,38.9,0.44,1.144045762,38.5,0.04,0.10400416,38.97,0.51,1.326053042,38.44,-0.02,-0.05200208
