Security,KOFUBL MF Equity                                                ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,121.01,3.49,2.969707284,118.09,0.57,0.485023826,121.25,3.73,3.173927842,118.04,0.52,0.442477876
03/10/2019,117.52,-0.93,-0.78514141,117.73,-0.72,-0.607851414,118.99,0.54,0.455888561,117.14,-1.31,-1.105951878
02/10/2019,118.45,0.65,0.551782683,117.02,-0.78,-0.662139219,119.3,1.5,1.273344652,117.02,-0.78,-0.662139219
01/10/2019,117.8,-2.29,-1.906903156,120.25,0.16,0.133233408,120.79,0.7,0.582896161,117.58,-2.51,-2.090099092
30/09/2019,120.09,0.65,0.544206296,116.5,-2.94,-2.461486939,121.13,1.69,1.41493637,116.5,-2.94,-2.461486939
27/09/2019,119.44,-0.33,-0.275528096,119.96,0.19,0.158637388,120.5,0.73,0.609501545,119.22,-0.55,-0.459213493
26/09/2019,119.77,-1.96,-1.610120759,121.55,-0.18,-0.147868233,122.48,0.75,0.616117637,119.43,-2.3,-1.889427421
25/09/2019,121.73,0.73,0.603305785,120.02,-0.98,-0.809917355,121.92,0.92,0.760330579,119,-2,-1.652892562
24/09/2019,121,-0.28,-0.230870712,121.96,0.68,0.560686016,122.04,0.76,0.626649077,119.6,-1.68,-1.385224274
23/09/2019,121.28,-1.29,-1.052459819,122.47,-0.1,-0.081586032,122.5,-0.07,-0.057110223,120.69,-1.88,-1.53381741
20/09/2019,122.57,2.4,1.997170675,119.88,-0.29,-0.24132479,122.9,2.73,2.271781643,119.88,-0.29,-0.24132479
19/09/2019,120.17,0.38,0.317221805,119.8,0.01,0.008347942,120.39,0.6,0.500876534,118.36,-1.43,-1.193755739
18/09/2019,119.79,1.84,1.559983044,117.44,-0.51,-0.432386604,119.99,2.04,1.729546418,117.44,-0.51,-0.432386604
17/09/2019,117.95,-0.81,-0.682047828,119.05,0.29,0.244189963,119.05,0.29,0.244189963,116.1,-2.66,-2.239811384
13/09/2019,118.76,-0.71,-0.594291454,119.87,0.4,0.334812087,120.21,0.74,0.61940236,117.32,-2.15,-1.799614966
12/09/2019,119.47,-1.92,-1.581678886,121.21,-0.18,-0.148282396,121.87,0.48,0.395419722,119.02,-2.37,-1.952384875
11/09/2019,121.39,0.02,0.016478537,121.12,-0.25,-0.205981709,122.35,0.98,0.807448299,120.95,-0.42,-0.346049271
10/09/2019,121.37,1.26,1.049038381,119.95,-0.16,-0.133211223,122.37,2.26,1.881608526,119.74,-0.37,-0.308050953
09/09/2019,120.11,-0.04,-0.033291719,120.15,0,0,120.64,0.49,0.407823554,118.5,-1.65,-1.373283396
06/09/2019,120.15,1.21,1.017319657,119.3,0.36,0.302673617,120.8,1.86,1.563813688,118.6,-0.34,-0.285858416
05/09/2019,118.94,0.93,0.788068808,117.98,-0.03,-0.025421574,119.29,1.28,1.084653843,117.85,-0.16,-0.13558173
04/09/2019,118.01,0.03,0.025428039,118.3,0.32,0.271232412,118.3,0.32,0.271232412,117.58,-0.4,-0.339040515
03/09/2019,117.98,2.18,1.882556131,117,1.2,1.03626943,118.31,2.51,2.167530225,117,1.2,1.03626943
02/09/2019,115.8,-2.76,-2.327935223,118.57,0.01,0.008434548,118.69,0.13,0.109649123,114.46,-4.1,-3.458164642
30/08/2019,118.56,1.12,0.953678474,118.25,0.81,0.689713896,119.2,1.76,1.498637602,116.41,-1.03,-0.877043597
29/08/2019,117.44,0.64,0.547945205,117.5,0.7,0.599315068,118.56,1.76,1.506849315,115.86,-0.94,-0.804794521
28/08/2019,116.8,-0.82,-0.697160347,117.65,0.03,0.025505866,118.04,0.42,0.357082129,116.54,-1.08,-0.918211189
27/08/2019,117.62,1.57,1.352865144,116.99,0.94,0.809995692,118.58,2.53,2.180094787,116.99,0.94,0.809995692
26/08/2019,116.05,1.61,1.406850751,114.37,-0.07,-0.061167424,116.32,1.88,1.642782244,114.37,-0.07,-0.061167424
23/08/2019,114.44,-1.03,-0.892006582,115.75,0.28,0.242487226,116.27,0.8,0.692820646,114.04,-1.43,-1.238416905
22/08/2019,115.47,-1.23,-1.053984576,117.6,0.9,0.771208226,117.6,0.9,0.771208226,114.72,-1.98,-1.696658098
21/08/2019,116.7,2.69,2.359442154,114.05,0.04,0.035084642,117.17,3.16,2.771686694,112.98,-1.03,-0.903429524
20/08/2019,114.01,-1.49,-1.29004329,115.22,-0.28,-0.242424242,116.94,1.44,1.246753247,113.55,-1.95,-1.688311688
19/08/2019,115.5,-0.87,-0.747615365,116.99,0.62,0.532783363,117.97,1.6,1.374924809,115.08,-1.29,-1.108533127
16/08/2019,116.37,2.89,2.546704265,113.2,-0.28,-0.246739514,117.08,3.6,3.172365174,113.2,-0.28,-0.246739514
15/08/2019,113.48,0.55,0.487027362,112.37,-0.56,-0.495882405,114.21,1.28,1.133445497,111.87,-1.06,-0.938634552
14/08/2019,112.93,-1.18,-1.034089913,113.83,-0.28,-0.245377268,115.39,1.28,1.121724652,112.46,-1.65,-1.445973184
13/08/2019,114.11,-0.52,-0.453633429,114.35,-0.28,-0.244264154,115.31,0.68,0.593212946,113.36,-1.27,-1.107912414
12/08/2019,114.63,-2.52,-2.151088348,116.02,-1.13,-0.964575331,116.46,-0.69,-0.588988476,114.19,-2.96,-2.526675203
09/08/2019,117.15,-0.53,-0.450373895,117.12,-0.56,-0.475866757,118.02,0.34,0.288919103,115.78,-1.9,-1.614547927
08/08/2019,117.68,-0.37,-0.313426514,118.83,0.78,0.660736976,118.83,0.78,0.660736976,116.95,-1.1,-0.931808556
07/08/2019,118.05,0.47,0.399727845,117.26,-0.32,-0.272155128,118.74,1.16,0.986562341,115.25,-2.33,-1.981629529
06/08/2019,117.58,1.47,1.266040823,115.82,-0.29,-0.249763156,118.56,2.45,2.110068039,115.82,-0.29,-0.249763156
05/08/2019,116.11,-1.81,-1.534938942,117.03,-0.89,-0.754748982,117.44,-0.48,-0.407055631,113.88,-4.04,-3.42605156
02/08/2019,117.92,0.17,0.144373673,116.5,-1.25,-1.061571125,118.41,0.66,0.560509554,115.24,-2.51,-2.13163482
01/08/2019,117.75,-0.01,-0.008491848,117.47,-0.29,-0.246263587,119.59,1.83,1.554008152,116.44,-1.32,-1.120923913
31/07/2019,117.76,-0.11,-0.093323153,117.35,-0.52,-0.441163994,118.6,0.73,0.619326377,116.88,-0.99,-0.839908374
30/07/2019,117.87,0.64,0.545935341,116.93,-0.3,-0.255907191,118.61,1.38,1.177173079,116.17,-1.06,-0.904205408
29/07/2019,117.23,2.54,2.21466562,115.89,1.2,1.046298718,117.73,3.04,2.65062342,115.89,1.2,1.046298718
26/07/2019,114.69,-0.38,-0.330233771,114.05,-1.02,-0.886416964,116.16,1.09,0.9472495,113.25,-1.82,-1.581645955
25/07/2019,115.07,-0.82,-0.707567521,115.95,0.06,0.051773233,116.91,1.02,0.880144965,113.96,-1.93,-1.665372336
24/07/2019,115.89,-0.34,-0.292523445,115.91,-0.32,-0.275316183,116.94,0.71,0.610857782,113.91,-2.32,-1.99604233
23/07/2019,116.23,-0.91,-0.776848216,118.42,1.28,1.092709578,118.42,1.28,1.092709578,114.46,-2.68,-2.28786068
22/07/2019,117.14,0.02,0.017076503,117.53,0.41,0.350068306,117.8,0.68,0.580601093,115.66,-1.46,-1.246584699
19/07/2019,117.12,0.39,0.334104343,117.98,1.25,1.070847254,118.09,1.36,1.165081813,116.32,-0.41,-0.351237899
18/07/2019,116.73,-1.2,-1.017552786,117.05,-0.88,-0.746205376,117.81,-0.12,-0.101755279,114.89,-3.04,-2.57780039
17/07/2019,117.93,-2.01,-1.675837919,119.73,-0.21,-0.175087544,119.9,-0.04,-0.033350008,117.51,-2.43,-2.026013007
16/07/2019,119.94,0.63,0.528036208,119.15,-0.16,-0.134104434,120,0.69,0.578325371,118.21,-1.1,-0.921967983
15/07/2019,119.31,1.48,1.256046847,118.03,0.2,0.16973606,119.85,2.02,1.71433421,117.13,-0.7,-0.594076211
12/07/2019,117.83,-1.28,-1.07463689,118.8,-0.31,-0.260263622,119.42,0.31,0.260263622,117.1,-2.01,-1.687515742
11/07/2019,119.11,-0.53,-0.442995654,120,0.36,0.300902708,120,0.36,0.300902708,118.63,-1.01,-0.844199264
10/07/2019,119.64,1.27,1.072906987,120.31,1.94,1.638928783,120.31,1.94,1.638928783,118.24,-0.13,-0.109825125
09/07/2019,118.37,-1.06,-0.887549192,119.38,-0.05,-0.041865528,120.98,1.55,1.297831366,117.09,-2.34,-1.959306707
08/07/2019,119.43,-0.5,-0.416909864,119.11,-0.82,-0.683732177,119.74,-0.19,-0.158425748,118.82,-1.11,-0.925539898
05/07/2019,119.93,-1.05,-0.867912052,120.2,-0.78,-0.644734667,120.59,-0.39,-0.322367333,118.41,-2.57,-2.124318069
04/07/2019,120.98,-0.2,-0.165043737,120.99,-0.19,-0.15679155,121,-0.18,-0.148539363,120.33,-0.85,-0.701435881
03/07/2019,121.18,0.88,0.731504572,120.9,0.6,0.498753117,122.04,1.74,1.44638404,120,-0.3,-0.249376559
02/07/2019,120.3,0.84,0.703164239,119.98,0.52,0.435292148,120.58,1.12,0.937552319,119.79,0.33,0.276243094
01/07/2019,119.46,0.35,0.293846025,119.5,0.39,0.327428428,120.15,1.04,0.873142473,118.36,-0.75,-0.629670053
