Security,LABB MF Equity                                                  ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,18.98,-0.19,-0.991131977,19.25,0.08,0.417318727,19.25,0.08,0.417318727,18.8,-0.37,-1.930099113
03/10/2019,19.17,0.13,0.682773109,19.19,0.15,0.787815126,19.35,0.31,1.628151261,18.9,-0.14,-0.735294118
02/10/2019,19.04,0.07,0.36900369,19,0.03,0.158144439,19.3,0.33,1.739588824,18.8,-0.17,-0.896151819
01/10/2019,18.97,0.05,0.264270613,18.88,-0.04,-0.21141649,19.33,0.41,2.167019027,18.72,-0.2,-1.057082452
30/09/2019,18.92,0.52,2.826086957,18.43,0.03,0.163043478,19.28,0.88,4.782608696,18.38,-0.02,-0.108695652
27/09/2019,18.4,0.29,1.601325235,18.06,-0.05,-0.276090558,18.4,0.29,1.601325235,18.06,-0.05,-0.276090558
26/09/2019,18.11,-0.38,-2.055164954,18.52,0.03,0.162249865,18.52,0.03,0.162249865,18,-0.49,-2.650081125
25/09/2019,18.49,0.24,1.315068493,18.1,-0.15,-0.821917808,18.56,0.31,1.698630137,17.72,-0.53,-2.904109589
24/09/2019,18.25,-0.25,-1.351351351,18.5,0,0,18.5,0,0,17.81,-0.69,-3.72972973
23/09/2019,18.5,0.37,2.040816327,18.13,0,0,18.59,0.46,2.537231109,17.99,-0.14,-0.772200772
20/09/2019,18.13,0.14,0.778210117,17.82,-0.17,-0.944969427,18.31,0.32,1.778765981,17.82,-0.17,-0.944969427
19/09/2019,17.99,0.28,1.581027668,17.71,0,0,18,0.29,1.637492942,17.67,-0.04,-0.225861095
18/09/2019,17.71,-0.14,-0.784313725,17.84,-0.01,-0.056022409,18.11,0.26,1.456582633,17.58,-0.27,-1.512605042
17/09/2019,17.85,-0.33,-1.815181518,18.19,0.01,0.055005501,18.19,0.01,0.055005501,17.76,-0.42,-2.310231023
13/09/2019,18.18,0.45,2.538071066,17.82,0.09,0.507614213,18.2,0.47,2.650874224,17.82,0.09,0.507614213
12/09/2019,17.73,-0.01,-0.056369786,17.9,0.16,0.901916573,17.99,0.25,1.409244645,17.47,-0.27,-1.521984216
11/09/2019,17.74,0.21,1.197946378,17.72,0.19,1.083856246,17.8,0.27,1.540216771,17.55,0.02,0.114090131
10/09/2019,17.53,0.46,2.694786175,17.01,-0.06,-0.351493849,17.75,0.68,3.983596954,17.01,-0.06,-0.351493849
09/09/2019,17.07,-0.42,-2.401372213,17.5,0.01,0.057175529,17.9,0.41,2.344196684,17.01,-0.48,-2.744425386
06/09/2019,17.49,-0.39,-2.181208054,18,0.12,0.67114094,18.2,0.32,1.789709172,17.4,-0.48,-2.684563758
05/09/2019,17.88,0.06,0.336700337,17.99,0.17,0.953984287,18.06,0.24,1.346801347,17.71,-0.11,-0.617283951
04/09/2019,17.82,-0.19,-1.054969461,18.15,0.14,0.777345919,18.63,0.62,3.442531927,17.68,-0.33,-1.83231538
03/09/2019,18.01,0.75,4.345307068,17.17,-0.09,-0.521436848,18.32,1.06,6.141367323,17.03,-0.23,-1.332560834
02/09/2019,17.26,0.47,2.799285289,16.77,-0.02,-0.119118523,17.46,0.67,3.990470518,16.77,-0.02,-0.119118523
30/08/2019,16.79,-0.14,-0.826934436,17.11,0.18,1.063201418,17.11,0.18,1.063201418,16.73,-0.2,-1.181334908
29/08/2019,16.93,0.24,1.437986818,16.9,0.21,1.258238466,17.38,0.69,4.134212103,16.71,0.02,0.119832235
28/08/2019,16.69,0.06,0.360793746,16.65,0.02,0.120264582,16.95,0.32,1.924233313,16.61,-0.02,-0.120264582
27/08/2019,16.63,0.23,1.402439024,16.39,-0.01,-0.06097561,16.85,0.45,2.743902439,16.39,-0.01,-0.06097561
26/08/2019,16.4,0.16,0.985221675,16.24,0,0,16.52,0.28,1.724137931,16.11,-0.13,-0.800492611
23/08/2019,16.24,0.04,0.24691358,16.27,0.07,0.432098765,16.59,0.39,2.407407407,16.08,-0.12,-0.740740741
22/08/2019,16.2,0.06,0.371747212,16.18,0.04,0.247831475,16.33,0.19,1.177199504,16.07,-0.07,-0.433705081
21/08/2019,16.14,-0.03,-0.185528757,16.24,0.07,0.432900433,16.26,0.09,0.556586271,16.01,-0.16,-0.989486704
20/08/2019,16.17,-0.05,-0.308261406,16.26,0.04,0.246609125,16.34,0.12,0.739827374,16.01,-0.21,-1.294697904
19/08/2019,16.22,0.58,3.708439898,15.74,0.1,0.639386189,16.29,0.65,4.15601023,15.74,0.1,0.639386189
16/08/2019,15.64,0.63,4.197201865,15.24,0.23,1.532311792,15.69,0.68,4.530313125,15.05,0.04,0.266489007
15/08/2019,15.01,-0.05,-0.332005312,15.1,0.04,0.26560425,15.33,0.27,1.792828685,14.75,-0.31,-2.058432935
14/08/2019,15.06,-0.38,-2.461139896,15.59,0.15,0.971502591,15.59,0.15,0.971502591,14.73,-0.71,-4.598445596
13/08/2019,15.44,-0.04,-0.258397933,15.47,-0.01,-0.064599483,15.68,0.2,1.291989664,15.21,-0.27,-1.744186047
12/08/2019,15.48,-1.15,-6.91521347,16.5,-0.13,-0.781719784,16.5,-0.13,-0.781719784,15.44,-1.19,-7.155742634
09/08/2019,16.63,-0.38,-2.233980012,17.01,0,0,17.11,0.1,0.587889477,16.39,-0.62,-3.644914756
