Security,LIVEPOLC MF Equity                                              ,,,,,,,,,,,
Start Date,12/01/2010 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,108.04,-0.56,-0.515653775,107.69,-0.91,-0.837937385,109.3,0.7,0.644567219,107.17,-1.43,-1.316758748
03/10/2019,108.6,2.12,1.990984222,105.9,-0.58,-0.544703231,109.51,3.03,2.845604808,105.04,-1.44,-1.352366642
02/10/2019,106.48,-2.11,-1.943088682,107.9,-0.69,-0.635417626,109.64,1.05,0.966939866,99.97,-8.62,-7.938115849
01/10/2019,108.59,0.46,0.425413854,108.15,0.02,0.018496255,109.64,1.51,1.396467215,106.63,-1.5,-1.387219088
30/09/2019,108.13,0.19,0.176023717,106.01,-1.93,-1.788030387,109.59,1.65,1.528627015,106.01,-1.93,-1.788030387
27/09/2019,107.94,1.42,1.333082989,106.52,0,0,108.51,1.99,1.868193766,106.22,-0.3,-0.281637251
26/09/2019,106.52,-0.97,-0.902409526,106.7,-0.79,-0.734952089,108.06,0.57,0.530281887,105.02,-2.47,-2.297888176
25/09/2019,107.49,-1.64,-1.502794832,108.24,-0.89,-0.815541098,109.17,0.04,0.036653532,106.22,-2.91,-2.666544488
24/09/2019,109.13,-0.93,-0.84499364,110.22,0.16,0.14537525,111.56,1.5,1.362892967,108.67,-1.39,-1.262947483
23/09/2019,110.06,-1.45,-1.300331809,111.75,0.24,0.215227334,112,0.49,0.439422473,109.85,-1.66,-1.488655726
20/09/2019,111.51,1.84,1.677760554,109.99,0.32,0.291784444,111.9,2.23,2.033372846,108.83,-0.84,-0.765934166
19/09/2019,109.67,-0.29,-0.263732266,109.05,-0.91,-0.827573663,109.81,-0.15,-0.136413241,108.02,-1.94,-1.764277919
18/09/2019,109.96,0.1,0.091024941,108.98,-0.88,-0.801019479,110.2,0.34,0.309484799,107.8,-2.06,-1.875113781
17/09/2019,109.86,-0.38,-0.344702467,110,-0.24,-0.217706821,110.25,0.01,0.009071118,108.47,-1.77,-1.605587808
