Security,MEGACPO MF Equity                                               ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,83.27,2.56,3.171849833,81,0.29,0.359311114,83.83,3.12,3.865691984,81,0.29,0.359311114
03/10/2019,80.71,0.96,1.203761755,79.75,0,0,81.5,1.75,2.194357367,79.02,-0.73,-0.915360502
02/10/2019,79.75,0.15,0.188442211,79.15,-0.45,-0.565326633,79.85,0.25,0.314070352,79.15,-0.45,-0.565326633
01/10/2019,79.6,0.13,0.163583742,79.47,0,0,80.49,1.02,1.283503209,78.73,-0.74,-0.931168995
30/09/2019,79.47,-0.76,-0.94727658,80.43,0.2,0.24928331,80.43,0.2,0.24928331,78.05,-2.18,-2.717188084
27/09/2019,80.23,-0.35,-0.434350956,80.67,0.09,0.111690246,80.99,0.41,0.508811119,79.01,-1.57,-1.948374286
26/09/2019,80.58,0.11,0.136696906,79.88,-0.59,-0.733192494,80.88,0.41,0.509506648,79.83,-0.64,-0.795327451
25/09/2019,80.47,0.38,0.474466225,79.55,-0.54,-0.674241478,80.99,0.9,1.123735797,78.02,-2.07,-2.584592334
24/09/2019,80.09,-0.94,-1.160064174,81.19,0.16,0.197457732,81.19,0.16,0.197457732,79.81,-1.22,-1.505615204
23/09/2019,81.03,1.14,1.426962073,80.47,0.58,0.725998248,81.3,1.41,1.764926774,80.47,0.58,0.725998248
20/09/2019,79.89,-0.18,-0.224803297,80.26,0.19,0.237292369,80.65,0.58,0.72436618,79.55,-0.52,-0.649431747
19/09/2019,80.07,0.43,0.539929684,79.7,0.06,0.075339026,80.22,0.58,0.728277248,79.32,-0.32,-0.401808137
18/09/2019,79.64,0.43,0.54286075,79.02,-0.19,-0.239868703,79.81,0.6,0.757480116,79,-0.21,-0.265118041
17/09/2019,79.21,1.51,1.943371943,77.89,0.19,0.244530245,79.99,2.29,2.947232947,77.14,-0.56,-0.720720721
13/09/2019,77.7,0.89,1.158703294,76.93,0.12,0.156229658,78.03,1.22,1.588334852,76.93,0.12,0.156229658
12/09/2019,76.81,-0.18,-0.233796597,76.96,-0.03,-0.038966099,77.5,0.51,0.662423691,76.71,-0.28,-0.363683595
11/09/2019,76.99,0.54,0.706344016,76.5,0.05,0.065402224,77.25,0.8,1.046435579,76.5,0.05,0.065402224
10/09/2019,76.45,-0.19,-0.247912317,76.57,-0.07,-0.091336117,76.93,0.29,0.378392484,76.4,-0.24,-0.313152401
09/09/2019,76.64,0.92,1.215002641,76.29,0.57,0.752773376,77.24,1.52,2.007395668,75.83,0.11,0.145272055
06/09/2019,75.72,-2.03,-2.610932476,78.02,0.27,0.347266881,79.09,1.34,1.723472669,75.4,-2.35,-3.022508039
05/09/2019,77.75,-0.21,-0.269368907,78.2,0.24,0.30785018,78.79,0.83,1.064648538,77.51,-0.45,-0.577219087
04/09/2019,77.96,0,0,78.01,0.05,0.064135454,78.99,1.03,1.321190354,77.3,-0.66,-0.846587994
03/09/2019,77.96,-3.47,-4.261328749,81.23,-0.2,-0.245609726,81.23,-0.2,-0.245609726,77.65,-3.78,-4.642023824
02/09/2019,81.43,-0.39,-0.476656074,81.65,-0.17,-0.207773161,82.24,0.42,0.513321926,79.75,-2.07,-2.529943779
30/08/2019,81.82,4.68,6.066891366,77.64,0.5,0.648172155,82.51,5.37,6.96136894,77.03,-0.11,-0.142597874
29/08/2019,77.14,0.37,0.481959099,77,0.23,0.299596196,78.64,1.87,2.435847336,76.8,0.03,0.039077765
28/08/2019,76.77,-0.17,-0.220951391,76.98,0.04,0.051988563,77,0.06,0.077982844,75.92,-1.02,-1.325708344
27/08/2019,76.94,0.26,0.339071466,76.68,0,0,77,0.32,0.417318727,75.52,-1.16,-1.512780386
26/08/2019,76.68,-0.17,-0.22121015,76.99,0.14,0.182173064,77.02,0.17,0.22121015,75.5,-1.35,-1.756668835
23/08/2019,76.85,1.33,1.761122881,75,-0.52,-0.688559322,77.96,2.44,3.230932203,75,-0.52,-0.688559322
22/08/2019,75.52,-1.85,-2.391107664,77.55,0.18,0.232648313,78.98,1.61,2.080909913,74.85,-2.52,-3.257076386
21/08/2019,77.37,1.98,2.626343016,75.21,-0.18,-0.238758456,78.59,3.2,4.244594774,75,-0.39,-0.517309988
20/08/2019,75.39,-0.14,-0.185356812,75.35,-0.18,-0.238315901,75.94,0.41,0.542830663,74.15,-1.38,-1.827088574
19/08/2019,75.53,0.21,0.278810409,75.32,0,0,75.99,0.67,0.889537971,74.01,-1.31,-1.739245884
16/08/2019,75.32,1.8,2.448313384,73.9,0.38,0.516866159,75.99,2.47,3.359630033,72.32,-1.2,-1.632208923
15/08/2019,73.52,-1.92,-2.545068929,75.26,-0.18,-0.238600212,75.98,0.54,0.715800636,72.54,-2.9,-3.844114528
14/08/2019,75.44,-2.49,-3.195175157,77.74,-0.19,-0.243808546,79.3,1.37,1.757987938,74.63,-3.3,-4.234569485
13/08/2019,77.93,-2.79,-3.456392468,80.52,-0.2,-0.247770069,81.48,0.76,0.941526264,77.43,-3.29,-4.075817641
12/08/2019,80.72,-0.83,-1.017780503,81.55,0,0,81.99,0.44,0.539546291,79.66,-1.89,-2.317596567
09/08/2019,81.55,0.22,0.270502889,81.3,-0.03,-0.036886758,81.73,0.4,0.491823435,80.1,-1.23,-1.512357064
08/08/2019,81.33,-2.03,-2.435220729,83.5,0.14,0.167946257,83.5,0.14,0.167946257,81.09,-2.27,-2.723128599
