Security,OMAB MF Equity                                                  ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,119.5,0.68,0.572294227,118.23,-0.59,-0.496549402,120.19,1.37,1.153004545,117.47,-1.35,-1.136172362
03/10/2019,118.82,0.55,0.465037626,117.59,-0.68,-0.57495561,119.06,0.79,0.667963135,117.59,-0.68,-0.57495561
02/10/2019,118.27,-0.58,-0.488010097,117.98,-0.87,-0.732015145,118.65,-0.2,-0.168279344,117.01,-1.84,-1.548169962
01/10/2019,118.85,1.77,1.511786812,117.7,0.62,0.529552443,119.22,2.14,1.827810044,117.62,0.54,0.461223095
30/09/2019,117.08,2.18,1.897302002,114.72,-0.18,-0.156657963,117.92,3.02,2.628372498,114.7,-0.2,-0.174064404
27/09/2019,114.9,-0.1,-0.086956522,115.7,0.7,0.608695652,116.49,1.49,1.295652174,114.59,-0.41,-0.356521739
26/09/2019,115,0.03,0.026093764,115,0.03,0.026093764,115.42,0.45,0.391406454,114.51,-0.46,-0.400104375
25/09/2019,114.97,-1.51,-1.29635989,116.48,0,0,116.48,0,0,114.24,-2.24,-1.923076923
24/09/2019,116.48,-0.35,-0.299580587,117.53,0.7,0.599161174,118.4,1.57,1.34383292,116.16,-0.67,-0.573482838
23/09/2019,116.83,0.37,0.31770565,116.5,0.04,0.034346557,117.28,0.82,0.704104414,114.91,-1.55,-1.330929074
20/09/2019,116.46,0.48,0.413864459,116.12,0.14,0.120710467,117.88,1.9,1.638213485,115.52,-0.46,-0.396620107
19/09/2019,115.98,0.39,0.337399429,115.43,-0.16,-0.138420279,116.57,0.98,0.847824206,115.22,-0.37,-0.320096894
18/09/2019,115.59,0.43,0.373393539,115.12,-0.04,-0.034734283,116.05,0.89,0.772837791,115.06,-0.1,-0.086835707
17/09/2019,115.16,-0.43,-0.372004499,115.18,-0.41,-0.354701964,115.88,0.29,0.250886755,113.91,-1.68,-1.453412925
13/09/2019,115.59,0.33,0.286309214,115.35,0.09,0.078084331,115.95,0.69,0.598646538,115.15,-0.11,-0.095436405
12/09/2019,115.26,-0.98,-0.843083276,115.5,-0.74,-0.636613902,116.9,0.66,0.567790778,114.8,-1.44,-1.238816242
11/09/2019,116.24,-0.27,-0.231739765,116.35,-0.16,-0.137327268,116.55,0.04,0.034331817,115.71,-0.8,-0.68663634
10/09/2019,116.51,0.27,0.232278045,116.26,0.02,0.017205781,117.48,1.24,1.066758431,116,-0.24,-0.206469374
09/09/2019,116.24,-1.5,-1.273993545,117.74,0,0,118.12,0.38,0.322745031,115.24,-2.5,-2.123322575
06/09/2019,117.74,-0.47,-0.397597496,118.38,0.17,0.14381186,120,1.79,1.514254293,117.45,-0.76,-0.642923611
05/09/2019,118.21,2.22,1.9139581,116.76,0.77,0.663850332,118.4,2.41,2.077765325,116.3,0.31,0.267264419
04/09/2019,115.99,-1.29,-1.099931787,117.5,0.22,0.187585266,117.69,0.41,0.349590723,115.41,-1.87,-1.594474761
03/09/2019,117.28,0.48,0.410958904,116.59,-0.21,-0.179794521,117.86,1.06,0.907534247,114.97,-1.83,-1.566780822
02/09/2019,116.8,-0.95,-0.806794055,117.85,0.1,0.08492569,117.85,0.1,0.08492569,116,-1.75,-1.486199575
30/08/2019,117.75,3.05,2.659110724,115.19,0.49,0.427201395,117.95,3.25,2.83347864,115.09,0.39,0.340017437
29/08/2019,114.7,2.62,2.337615989,112.91,0.83,0.74054247,114.98,2.9,2.587437545,112.53,0.45,0.401498929
28/08/2019,112.08,-0.81,-0.717512623,113.21,0.32,0.283461777,113.22,0.33,0.292319957,111.52,-1.37,-1.213570733
27/08/2019,112.89,1.2,1.074402364,112.14,0.45,0.402900886,113.13,1.44,1.289282836,111.36,-0.33,-0.29546065
26/08/2019,111.69,2.21,2.01863354,109,-0.48,-0.438436244,112.23,2.75,2.511874315,109,-0.48,-0.438436244
23/08/2019,109.48,-1.67,-1.502474134,110.48,-0.67,-0.602789024,111.03,-0.12,-0.107962213,108.9,-2.25,-2.024291498
22/08/2019,111.15,0.51,0.460954447,110.91,0.27,0.244034707,112.04,1.4,1.265365148,109.5,-1.14,-1.030368764
21/08/2019,110.64,0.87,0.792566275,110.05,0.28,0.255078801,111.83,2.06,1.87665118,108.85,-0.92,-0.838116061
20/08/2019,109.77,0.59,0.540392013,109,-0.18,-0.16486536,110.31,1.13,1.034988093,108,-1.18,-1.080784026
19/08/2019,109.18,-0.01,-0.009158348,109.59,0.4,0.366333913,110.42,1.23,1.126476784,108.13,-1.06,-0.97078487
16/08/2019,109.19,2.21,2.065806693,106.96,-0.02,-0.018695083,109.54,2.56,2.392970649,106.96,-0.02,-0.018695083
15/08/2019,106.98,0.85,0.800904551,106.33,0.2,0.18844813,107.46,1.33,1.253180062,105.21,-0.92,-0.866861396
14/08/2019,106.13,-5,-4.49923513,110.58,-0.55,-0.494915864,110.58,-0.55,-0.494915864,105.53,-5.6,-5.039143346
13/08/2019,111.13,-1.36,-1.208996355,111.97,-0.52,-0.462263312,112.82,0.33,0.29335941,110.38,-2.11,-1.875722286
12/08/2019,112.49,-0.9,-0.793720787,113.11,-0.28,-0.246935356,113.49,0.1,0.088191199,111.16,-2.23,-1.966663727
09/08/2019,113.39,0.58,0.514138817,113,0.19,0.168424785,114.38,1.57,1.391720592,111.51,-1.3,-1.152380108
08/08/2019,112.81,-0.6,-0.529053875,114.54,1.13,0.996384799,114.54,1.13,0.996384799,112.26,-1.15,-1.014019928
07/08/2019,113.41,0.48,0.425042061,112.61,-0.32,-0.283361374,113.82,0.89,0.788098822,112.26,-0.67,-0.593287877
06/08/2019,112.93,-0.67,-0.589788732,113.6,0,0,115.21,1.61,1.417253521,112.4,-1.2,-1.056338028
05/08/2019,113.6,-0.44,-0.385829533,113.34,-0.7,-0.613819712,114.62,0.58,0.508593476,112.36,-1.68,-1.47316731
02/08/2019,114.04,-3.19,-2.721146464,116.65,-0.58,-0.494753903,117.23,0,0,112.5,-4.73,-4.034803378
01/08/2019,117.23,-0.78,-0.660960936,118.3,0.29,0.245741886,119.16,1.15,0.974493687,116.98,-1.03,-0.872807389
31/07/2019,118.01,-4.15,-3.397184021,121.86,-0.3,-0.245579568,121.86,-0.3,-0.245579568,116.63,-5.53,-4.526850033
30/07/2019,122.16,0.35,0.287332731,120.77,-1.04,-0.853788687,123.41,1.6,1.313521057,119.72,-2.09,-1.715786881
29/07/2019,121.81,2.35,1.967185669,118.84,-0.62,-0.519002176,122.11,2.65,2.218315754,118.25,-1.21,-1.012891344
26/07/2019,119.46,-0.94,-0.780730897,120.3,-0.1,-0.083056478,120.32,-0.08,-0.066445183,118.09,-2.31,-1.918604651
25/07/2019,120.4,-0.21,-0.174114916,120.31,-0.3,-0.248735594,122.57,1.96,1.625072548,119.9,-0.71,-0.588674239
24/07/2019,120.61,1.93,1.626221773,118.9,0.22,0.18537243,120.89,2.21,1.86215032,118.82,0.14,0.117964274
23/07/2019,118.68,-2.58,-2.127659574,121.56,0.3,0.247402276,122.22,0.96,0.791687284,118.16,-3.1,-2.556490186
22/07/2019,121.26,-1.06,-0.866579464,122.71,0.39,0.31883584,122.79,0.47,0.384238064,121.1,-1.22,-0.997383911
19/07/2019,122.32,-0.61,-0.496217359,123.1,0.17,0.138290084,124.28,1.35,1.098185959,122.22,-0.71,-0.577564468
18/07/2019,122.93,-0.47,-0.380875203,123.7,0.3,0.243111831,124.27,0.87,0.705024311,122.31,-1.09,-0.883306321
17/07/2019,123.4,0.34,0.27628799,122.81,-0.25,-0.203152934,123.99,0.93,0.755728913,122.4,-0.66,-0.536323745
16/07/2019,123.06,0.33,0.268882914,122.9,0.17,0.13851544,123.35,0.62,0.505173959,121.75,-0.98,-0.798500774
15/07/2019,122.73,2.61,2.172827173,120.54,0.42,0.34965035,122.87,2.75,2.289377289,119.76,-0.36,-0.2997003
12/07/2019,120.12,-1.99,-1.629678159,122.01,-0.1,-0.081893375,122.01,-0.1,-0.081893375,119.1,-3.01,-2.464990582
11/07/2019,122.11,0.81,0.66776587,122.13,0.83,0.684253916,122.82,1.52,1.253091509,119.85,-1.45,-1.195383347
10/07/2019,121.3,-0.18,-0.148172539,121.18,-0.3,-0.246954231,122.65,1.17,0.963121501,119.8,-1.68,-1.382943694
09/07/2019,121.48,1.17,0.97248774,120.17,-0.14,-0.116366054,122.57,2.26,1.878480592,119.48,-0.83,-0.689884465
08/07/2019,120.31,1.02,0.8550591,119.29,0,0,120.6,1.31,1.098164138,118.51,-0.78,-0.653868723
05/07/2019,119.29,2.04,1.739872068,117.55,0.3,0.255863539,119.43,2.18,1.859275053,117.55,0.3,0.255863539
04/07/2019,117.25,0,0,117.27,0.02,0.017057569,117.7,0.45,0.383795309,117,-0.25,-0.213219616
03/07/2019,117.25,-0.34,-0.289140233,117.88,0.29,0.246619611,119.67,2.08,1.768857896,116.76,-0.83,-0.705842334
02/07/2019,117.59,1.06,0.909637003,117.3,0.77,0.66077405,119,2.47,2.119625847,115.5,-1.03,-0.88389256
01/07/2019,116.53,-0.69,-0.588636751,118.01,0.79,0.673946426,119.07,1.85,1.578228971,115.48,-1.74,-1.48438833
28/06/2019,117.22,-4.78,-3.918032787,121.93,-0.07,-0.057377049,121.93,-0.07,-0.057377049,116.81,-5.19,-4.254098361
