Security,ORBIA* MF Equity                                                ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,38.73,0.22,0.571280187,38.54,0.03,0.077901844,39,0.49,1.27239678,38.41,-0.1,-0.259672812
03/10/2019,38.51,-0.08,-0.207307593,38.5,-0.09,-0.233221042,38.84,0.25,0.647836227,38.26,-0.33,-0.85514382
02/10/2019,38.59,-0.25,-0.643666323,38.48,-0.36,-0.926879506,38.87,0.03,0.077239959,38.28,-0.56,-1.441812564
01/10/2019,38.84,0.33,0.85692028,38.51,0,0,39.04,0.53,1.376265905,38.3,-0.21,-0.545312906
30/09/2019,38.51,0.27,0.706066946,38.43,0.19,0.496861925,38.69,0.45,1.176778243,38.2,-0.04,-0.10460251
27/09/2019,38.24,0.02,0.052328624,38.22,0,0,38.69,0.47,1.229722658,38.03,-0.19,-0.497121926
26/09/2019,38.22,0.08,0.20975354,38.33,0.19,0.498164657,38.33,0.19,0.498164657,37.92,-0.22,-0.576822234
25/09/2019,38.14,-0.04,-0.104766894,38.35,0.17,0.445259298,38.4,0.22,0.576217915,37.76,-0.42,-1.100052383
24/09/2019,38.18,-0.21,-0.547017452,38.68,0.29,0.755405053,38.68,0.29,0.755405053,37.95,-0.44,-1.146131805
23/09/2019,38.39,-0.86,-2.191082803,39.23,-0.02,-0.050955414,39.23,-0.02,-0.050955414,38.29,-0.96,-2.445859873
20/09/2019,39.25,0.84,2.186930487,38.55,0.14,0.364488414,39.56,1.15,2.994011976,38.18,-0.23,-0.598802395
19/09/2019,38.41,-0.95,-2.413617886,39.38,0.02,0.050813008,39.72,0.36,0.914634146,38.27,-1.09,-2.769308943
18/09/2019,39.36,-0.36,-0.906344411,39.6,-0.12,-0.302114804,39.72,0,0,39.06,-0.66,-1.66163142
17/09/2019,39.72,0.65,1.663680573,38.76,-0.31,-0.793447658,40.61,1.54,3.941643205,38.76,-0.31,-0.793447658
13/09/2019,39.07,0.05,0.128139416,39.19,0.17,0.435674013,39.38,0.36,0.922603793,38.99,-0.03,-0.076883649
12/09/2019,39.02,0.58,1.508844953,38.8,0.36,0.936524454,39.19,0.75,1.951092612,38.52,0.08,0.208116545
11/09/2019,38.44,-0.18,-0.466079751,38.99,0.37,0.958052822,38.99,0.37,0.958052822,37.94,-0.68,-1.760745728
10/09/2019,38.62,-0.3,-0.770811922,39,0.08,0.205549846,39.19,0.27,0.69373073,38.17,-0.75,-1.927029805
09/09/2019,38.92,0.83,2.179049619,38.43,0.34,0.892622736,39.39,1.3,3.412969283,38.25,0.16,0.420057758
06/09/2019,38.09,1.13,3.057359307,37.49,0.53,1.433982684,38.5,1.54,4.166666667,37.05,0.09,0.243506494
05/09/2019,36.96,0.66,1.818181818,36.68,0.38,1.046831956,37.05,0.75,2.066115702,36.22,-0.08,-0.220385675
04/09/2019,36.3,0.44,1.226993865,36.05,0.19,0.52983826,36.89,1.03,2.872281093,35.58,-0.28,-0.780814278
03/09/2019,35.86,-1.02,-2.765726681,36.97,0.09,0.244034707,37,0.12,0.32537961,35.81,-1.07,-2.901301518
02/09/2019,36.88,0.13,0.353741497,36.84,0.09,0.244897959,37,0.25,0.680272109,36.07,-0.68,-1.850340136
30/08/2019,36.75,1.07,2.998878924,35.85,0.17,0.476457399,37.04,1.36,3.811659193,35.56,-0.12,-0.33632287
29/08/2019,35.68,0.9,2.587694077,35,0.22,0.632547441,35.74,0.96,2.760207016,34.59,-0.19,-0.546290972
28/08/2019,34.78,0.97,2.868973676,33.98,0.17,0.50280982,34.93,1.12,3.3126294,33.98,0.17,0.50280982
27/08/2019,33.81,0.6,1.806684734,33.55,0.34,1.023788016,34.27,1.06,3.191809696,33.47,0.26,0.782896718
26/08/2019,33.21,-0.04,-0.120300752,33.25,0,0,33.65,0.4,1.203007519,32.59,-0.66,-1.984962406
23/08/2019,33.25,-1.17,-3.399186519,34.34,-0.08,-0.23242301,34.34,-0.08,-0.23242301,33.08,-1.34,-3.893085415
22/08/2019,34.42,-0.54,-1.544622426,35,0.04,0.114416476,35.68,0.72,2.059496568,34.25,-0.71,-2.030892449
21/08/2019,34.96,0.75,2.192341421,34.29,0.08,0.233849752,35.47,1.26,3.683133587,34,-0.21,-0.613855598
20/08/2019,34.21,1.26,3.823975721,32.87,-0.08,-0.242792109,34.34,1.39,4.218512898,32.81,-0.14,-0.424886191
19/08/2019,32.95,0.95,2.96875,32.24,0.24,0.75,33.38,1.38,4.3125,32.08,0.08,0.25
16/08/2019,32,0.37,1.16977553,31.71,0.08,0.252924439,32.43,0.8,2.529244388,31.24,-0.39,-1.233006639
15/08/2019,31.63,0.07,0.221799747,31.48,-0.08,-0.253485425,31.98,0.42,1.330798479,31.02,-0.54,-1.711026616
14/08/2019,31.56,-0.77,-2.381688834,32.01,-0.32,-0.989792762,32.23,-0.1,-0.309310238,31.33,-1,-3.093102382
13/08/2019,32.33,0.19,0.591163659,32,-0.14,-0.435594275,33.45,1.31,4.075917859,32,-0.14,-0.435594275
12/08/2019,32.14,-0.45,-1.380791654,32.59,0,0,32.59,0,0,31.83,-0.76,-2.332003682
09/08/2019,32.59,-0.92,-2.74544912,33.55,0.04,0.119367353,33.55,0.04,0.119367353,32.5,-1.01,-3.014025664
08/08/2019,33.51,0.2,0.600420294,33.54,0.23,0.690483338,33.95,0.64,1.921344941,33.03,-0.28,-0.840588412
07/08/2019,33.31,0.27,0.817191283,32.97,-0.07,-0.211864407,33.84,0.8,2.421307506,32.71,-0.33,-0.998789346
06/08/2019,33.04,0.17,0.517188926,32.9,0.03,0.091268634,33.47,0.6,1.82537268,32.57,-0.3,-0.91268634
05/08/2019,32.87,-1.27,-3.719976567,33.99,-0.15,-0.439367311,34.03,-0.11,-0.322202695,32.68,-1.46,-4.276508494
