Security,PE&OLES* MF Equity                                              ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,255.04,6.97,2.809690813,246.82,-1.25,-0.503890031,260,11.93,4.809126456,246.5,-1.57,-0.632885879
03/10/2019,248.07,5.11,2.103226869,242.4,-0.56,-0.230490616,249.27,6.31,2.597135331,242.05,-0.91,-0.374547251
02/10/2019,242.96,-13.62,-5.308285915,258.88,2.3,0.896406579,258.88,2.3,0.896406579,242.06,-14.52,-5.659053706
01/10/2019,256.58,-6.09,-2.318498496,261.94,-0.73,-0.277915255,262.67,0,0,256.18,-6.49,-2.470780828
30/09/2019,262.67,2.45,0.941511029,258,-2.22,-0.853124279,263.4,3.18,1.222042887,256.39,-3.83,-1.471831527
27/09/2019,260.22,-3.28,-1.244781784,260.33,-3.17,-1.203036053,262.25,-1.25,-0.474383302,256.11,-7.39,-2.80455408
26/09/2019,263.5,-0.25,-0.09478673,263.75,0,0,266.99,3.24,1.228436019,262.06,-1.69,-0.640758294
25/09/2019,263.75,-3.11,-1.165405081,264,-2.86,-1.071723001,267.99,1.13,0.423443004,262.89,-3.97,-1.487671438
24/09/2019,266.86,0.84,0.315765732,263.72,-2.3,-0.864596647,267.99,1.97,0.740545824,263.72,-2.3,-0.864596647
23/09/2019,266.02,2.03,0.768968522,263.89,-0.1,-0.037880223,267.05,3.06,1.159134816,263.89,-0.1,-0.037880223
20/09/2019,263.99,1.07,0.406967899,265.43,2.51,0.954663015,268.17,5.25,1.996805112,260.58,-2.34,-0.890004564
19/09/2019,262.92,-1.32,-0.499545867,265.42,1.18,0.44656373,268.77,4.53,1.71435059,260,-4.24,-1.604601877
18/09/2019,264.24,1.6,0.609198903,262.64,0,0,268.79,6.15,2.341608285,260,-2.64,-1.005178191
17/09/2019,262.64,13.17,5.279191887,253,3.53,1.4149998,264.41,14.94,5.988696036,253,3.53,1.4149998
13/09/2019,249.47,2.2,0.889715695,247.05,-0.22,-0.08897157,249.85,2.58,1.043393861,247.04,-0.23,-0.093015732
12/09/2019,247.27,1.88,0.766127389,246.2,0.81,0.330086801,249.99,4.6,1.874567016,246.2,0.81,0.330086801
11/09/2019,245.39,-0.52,-0.211459477,248.39,2.48,1.008499044,248.39,2.48,1.008499044,243.97,-1.94,-0.788906511
10/09/2019,245.91,0.76,0.310014277,245.5,0.35,0.142769733,247,1.85,0.754640016,240.17,-4.98,-2.031409341
09/09/2019,245.15,-1.75,-0.708788983,249.58,2.68,1.0854597,252.41,5.51,2.231672742,244.2,-2.7,-1.093560146
06/09/2019,246.9,-3.07,-1.228147378,250,0.03,0.01200144,254.55,4.58,1.832219866,244.54,-5.43,-2.172260671
05/09/2019,249.97,-2.75,-1.08816081,250.31,-2.41,-0.953624565,252.7,-0.02,-0.007913897,243.96,-8.76,-3.4662868
04/09/2019,252.72,1.66,0.661196527,253.39,2.33,0.928065004,255.67,4.61,1.836214451,249.15,-1.91,-0.760774317
03/09/2019,251.06,3.41,1.376943267,250,2.35,0.948919847,256.28,8.63,3.484756713,242.93,-4.72,-1.905915607
02/09/2019,247.65,7.03,2.921619151,240.11,-0.51,-0.211952456,248.98,8.36,3.474357909,237.72,-2.9,-1.205219849
30/08/2019,240.62,4.29,1.815258325,236.5,0.17,0.071933314,244.03,7.7,3.258155968,236.34,0.01,0.004231371
29/08/2019,236.33,10,4.418327221,228.52,2.19,0.967613661,241.5,15.17,6.702602395,228.52,2.19,0.967613661
28/08/2019,226.33,8.7,3.997610624,217.63,0,0,229.84,12.21,5.610439737,217.63,0,0
27/08/2019,217.63,6.4,3.029872651,215.49,4.26,2.016758983,221.15,9.92,4.696302609,212.03,0.8,0.378734081
26/08/2019,211.23,0.01,0.0047344,210.7,-0.52,-0.246188808,215.26,4.04,1.912697661,210,-1.22,-0.577596818
23/08/2019,211.22,5.58,2.713479868,206,0.36,0.175063217,213.99,8.35,4.060494067,201.49,-4.15,-2.018089866
22/08/2019,205.64,5.46,2.727545209,201,0.82,0.409631332,208.47,8.29,4.141272854,199,-1.18,-0.589469477
21/08/2019,200.18,1.53,0.770198842,197.65,-1,-0.503397936,200.94,2.29,1.152781274,196.01,-2.64,-1.328970551
20/08/2019,198.65,4.51,2.323065829,193.01,-1.13,-0.582054188,200,5.86,3.018440301,193.01,-1.13,-0.582054188
19/08/2019,194.14,4.11,2.162816397,187.62,-2.41,-1.268220807,195.6,5.57,2.93111614,186.02,-4.01,-2.110193127
16/08/2019,190.03,2.04,1.085164104,185.63,-2.36,-1.255385925,191.29,3.3,1.755412522,185.63,-2.36,-1.255385925
15/08/2019,187.99,3.14,1.698674601,184,-0.85,-0.459832296,189.65,4.8,2.596700027,180.52,-4.33,-2.342439816
14/08/2019,184.85,-5.09,-2.679793619,186.98,-2.96,-1.558386859,189.48,-0.46,-0.242181742,184.01,-5.93,-3.122038538
13/08/2019,189.94,-9.79,-4.901617183,202.31,2.58,1.291743854,203.44,3.71,1.857507635,189.3,-10.43,-5.222049767
12/08/2019,199.73,-0.49,-0.244730796,200,-0.22,-0.109879133,203,2.78,1.38847268,198.48,-1.74,-0.869044052
09/08/2019,200.22,6.83,3.53172346,197.98,4.59,2.373442267,202.04,8.65,4.47282693,196.02,2.63,1.359946223
08/08/2019,193.39,-1.06,-0.545127282,199.75,5.3,2.72563641,201.49,7.04,3.620467987,189.2,-5.25,-2.699922859
07/08/2019,194.45,14.02,7.770326442,182,1.57,0.870143546,195.7,15.27,8.46311589,180.83,0.4,0.221692623
06/08/2019,180.43,3.98,2.255596486,176.67,0.22,0.124681213,182.75,6.3,3.570416549,176.67,0.22,0.124681213
05/08/2019,176.45,3.79,2.195065447,172,-0.66,-0.382254141,181.81,9.15,5.299432411,170,-2.66,-1.540600023
02/08/2019,172.66,-2.34,-1.337142857,174.5,-0.5,-0.285714286,176.77,1.77,1.011428571,170.5,-4.5,-2.571428571
01/08/2019,175,-2.39,-1.347313828,177.49,0.1,0.056372964,178,0.61,0.343875078,172.08,-5.31,-2.993404363
31/07/2019,177.39,-6.14,-3.345502098,182.49,-1.04,-0.56666485,182.49,-1.04,-0.56666485,176.3,-7.23,-3.939410451
30/07/2019,183.53,-23.75,-11.4579313,204.5,-2.78,-1.341181011,204.5,-2.78,-1.341181011,177,-30.28,-14.60825936
29/07/2019,207.28,1.35,0.65556257,205.7,-0.23,-0.111688438,208.7,2.77,1.345117273,201.15,-4.78,-2.321177099
26/07/2019,205.93,-7.23,-3.391818352,213.86,0.7,0.328391818,215.99,2.83,1.327641208,204.47,-8.69,-4.076749859
25/07/2019,213.16,-1.96,-0.911119375,216.57,1.45,0.674042395,217.89,2.77,1.287653403,211,-4.12,-1.915210115
24/07/2019,215.12,-0.31,-0.14389825,214.45,-0.98,-0.454904145,217.99,2.56,1.188321032,213.68,-1.75,-0.812328831
23/07/2019,215.43,-2.14,-0.983591488,217,-0.57,-0.261984649,219.86,2.29,1.052534816,211.53,-6.04,-2.776118031
22/07/2019,217.57,0.41,0.188800884,218,0.84,0.386811568,219.89,2.73,1.257137594,210.01,-7.15,-3.292503223
19/07/2019,217.16,-0.31,-0.142548397,218,0.53,0.243711776,223.98,6.51,2.993516347,216,-1.47,-0.675955304
18/07/2019,217.47,-10.06,-4.421394981,227.89,0.36,0.158220894,227.89,0.36,0.158220894,214.81,-12.72,-5.590471586
17/07/2019,227.53,-4.32,-1.863273668,232.4,0.55,0.237222342,232.4,0.55,0.237222342,225.1,-6.75,-2.911365107
16/07/2019,231.85,5.35,2.362030905,227.01,0.51,0.225165563,233.4,6.9,3.046357616,227.01,0.51,0.225165563
15/07/2019,226.5,-1.47,-0.644821687,230.57,2.6,1.140500943,231.46,3.49,1.530903189,225,-2.97,-1.302803
12/07/2019,227.97,-5.14,-2.204967612,229.99,-3.12,-1.33842392,234.86,1.75,0.750718545,227.23,-5.88,-2.522414311
11/07/2019,233.11,2.62,1.136708751,232.99,2.5,1.084645755,236.77,6.28,2.724630136,227.89,-2.6,-1.128031585
10/07/2019,230.49,-2.59,-1.111206453,233.15,0.07,0.030032607,237.9,4.82,2.067959499,227.62,-5.46,-2.342543333
