Security,PINFRA* MF Equity                                               ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,178.96,4.46,2.555873926,175,0.5,0.286532951,179.57,5.07,2.905444126,174.51,0.01,0.005730659
03/10/2019,174.5,-0.15,-0.085886058,174.5,-0.15,-0.085886058,175.78,1.13,0.647008302,173.55,-1.1,-0.629831091
02/10/2019,174.65,-1.37,-0.778320645,174.83,-1.19,-0.676059539,176.96,0.94,0.534030224,174.01,-2.01,-1.141915691
01/10/2019,176.02,-0.92,-0.519950266,176.8,-0.14,-0.079122867,176.98,0.04,0.022606533,175.52,-1.42,-0.802531932
30/09/2019,176.94,0.18,0.101832994,175.73,-1.03,-0.582711021,178.27,1.51,0.854265671,173.1,-3.66,-2.070604209
27/09/2019,176.76,-0.68,-0.383228133,176.76,-0.68,-0.383228133,178,0.56,0.315599639,174.55,-2.89,-1.628719567
26/09/2019,177.44,0.93,0.52688233,176.04,-0.47,-0.266273866,178.12,1.61,0.912129624,175.59,-0.92,-0.521216928
25/09/2019,176.51,-1.79,-1.003925967,177.7,-0.6,-0.336511497,178.33,0.03,0.016825575,175.96,-2.34,-1.31239484
24/09/2019,178.3,-1.29,-0.718302801,179.15,-0.44,-0.245002506,180.31,0.72,0.400913191,177.15,-2.44,-1.358650259
23/09/2019,179.59,1.62,0.910265775,177.67,-0.3,-0.168567736,180.67,2.7,1.517109625,176.03,-1.94,-1.09007136
20/09/2019,177.97,2.84,1.621652487,175.48,0.35,0.199851539,179.59,4.46,2.546679609,172.52,-2.61,-1.490321475
19/09/2019,175.13,0.91,0.522328091,173.62,-0.6,-0.344392148,175.83,1.61,0.92411893,173.62,-0.6,-0.344392148
18/09/2019,174.22,-2.01,-1.140554957,175.04,-1.19,-0.67525393,177.39,1.16,0.658230721,173.16,-3.07,-1.74204165
17/09/2019,176.23,-0.55,-0.311121168,176.77,-0.01,-0.005656749,177.23,0.45,0.254553683,174.74,-2.04,-1.153976694
13/09/2019,176.78,0.05,0.028291744,177.08,0.35,0.198042211,178.9,2.17,1.22786171,175.53,-1.2,-0.679001867
12/09/2019,176.73,0.08,0.045287291,176.65,0,0,178.97,2.32,1.313331446,175.54,-1.11,-0.628361166
11/09/2019,176.65,-1.05,-0.590883512,178,0.3,0.16882386,179.22,1.52,0.855374226,175.77,-1.93,-1.086100169
10/09/2019,177.7,3.97,2.285155126,173.72,-0.01,-0.005756058,179.99,6.26,3.603292465,173.72,-0.01,-0.005756058
09/09/2019,173.73,-3.82,-2.151506618,178.2,0.65,0.366094058,179.38,1.83,1.030695579,173,-4.55,-2.562658406
06/09/2019,177.55,2.49,1.422369473,176.49,1.43,0.81686279,179.55,4.49,2.564834914,175.8,0.74,0.422712213
05/09/2019,175.06,2.43,1.407634826,174.41,1.78,1.031106992,176.77,4.14,2.398192666,173.2,0.57,0.330185947
04/09/2019,172.63,6.64,4.000240978,166.58,0.59,0.355443099,174.25,8.26,4.976203386,166.58,0.59,0.355443099
03/09/2019,165.99,-1.03,-0.616692612,166.95,-0.07,-0.041911148,168.19,1.17,0.700514908,165.31,-1.71,-1.023829481
02/09/2019,167.02,-0.76,-0.452974133,167.68,-0.1,-0.05960186,169.81,2.03,1.209917749,160.28,-7.5,-4.470139468
30/08/2019,167.78,-0.68,-0.403656654,168.49,0.03,0.017808382,171.39,2.93,1.73928529,166.86,-1.6,-0.949780363
29/08/2019,168.46,6.67,4.122628098,162.93,1.14,0.704617096,170,8.21,5.074479263,162.77,0.98,0.605723469
28/08/2019,161.79,-0.12,-0.074115249,161.2,-0.71,-0.438515225,163.9,1.99,1.229077883,159.69,-2.22,-1.37113211
27/08/2019,161.91,3.14,1.977703596,160.19,1.42,0.894375512,164.49,5.72,3.602695723,158.51,-0.26,-0.163758897
26/08/2019,158.77,-0.6,-0.376482399,159.01,-0.36,-0.22588944,160.08,0.71,0.445504173,158.51,-0.86,-0.539624773
23/08/2019,159.37,-0.32,-0.200388252,158.11,-1.58,-0.989416995,161.55,1.86,1.164756716,157.81,-1.88,-1.177280982
22/08/2019,159.69,-0.51,-0.31835206,161.28,1.08,0.674157303,161.28,1.08,0.674157303,157.14,-3.06,-1.91011236
21/08/2019,160.2,1.74,1.098068913,158.16,-0.3,-0.189322226,161.99,3.53,2.227691531,158.16,-0.3,-0.189322226
20/08/2019,158.46,-2.58,-1.602086438,160.99,-0.05,-0.031048187,161.5,0.46,0.285643318,157.71,-3.33,-2.06780924
19/08/2019,161.04,3.98,2.534063415,158.07,1.01,0.643066344,161.27,4.21,2.680504266,157.19,0.13,0.082770916
16/08/2019,157.06,-3.54,-2.204234122,160.27,-0.33,-0.205479452,161.55,0.95,0.591531756,156,-4.6,-2.864259029
15/08/2019,160.6,3.2,2.033036849,157.4,0,0,165.99,8.59,5.457433291,155.15,-2.25,-1.429479034
14/08/2019,157.4,-3.51,-2.181343608,158.85,-2.06,-1.280218756,161.59,0.68,0.422596483,156.43,-4.48,-2.784165061
13/08/2019,160.91,-0.96,-0.593068512,160.88,-0.99,-0.611601903,162.29,0.42,0.259467474,159.63,-2.24,-1.383826527
12/08/2019,161.87,-3.48,-2.10462655,164.99,-0.36,-0.217719988,164.99,-0.36,-0.217719988,160,-5.35,-3.235560931
09/08/2019,165.35,1.54,0.940113546,164.62,0.81,0.494475307,165.8,1.99,1.21482205,161.53,-2.28,-1.391856419
08/08/2019,163.81,5.81,3.67721519,158,0,0,164.15,6.15,3.892405063,157.07,-0.93,-0.588607595
07/08/2019,158,0.31,0.196588243,156.53,-1.16,-0.735620521,159.62,1.93,1.22392035,156.01,-1.68,-1.065381445
06/08/2019,157.69,-3.12,-1.94017785,160.36,-0.45,-0.279833344,163.86,3.05,1.896648218,156.48,-4.33,-2.692618618
05/08/2019,160.81,-2.94,-1.795419847,163.76,0.01,0.00610687,163.77,0.02,0.01221374,159.44,-4.31,-2.632061069
02/08/2019,163.75,-4.34,-2.581950146,167.67,-0.42,-0.249866143,167.67,-0.42,-0.249866143,163,-5.09,-3.028139687
