Security,TLEVICPO MM Equity                                              ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,38.62,0.86,2.277542373,37.67,-0.09,-0.238347458,38.86,1.1,2.913135593,37.67,-0.09,-0.238347458
03/10/2019,37.76,0.2,0.532481363,37.46,-0.1,-0.266240682,38.29,0.73,1.943556976,37.27,-0.29,-0.772097977
02/10/2019,37.56,-1.62,-4.134762634,38.97,-0.21,-0.535987749,38.97,-0.21,-0.535987749,37.48,-1.7,-4.338948443
01/10/2019,39.18,0.55,1.423763914,38.45,-0.18,-0.465959099,39.42,0.79,2.045042713,38.45,-0.18,-0.465959099
30/09/2019,38.63,1.3,3.482453791,37.44,0.11,0.294669167,39.22,1.89,5.062952049,37.17,-0.16,-0.428609697
27/09/2019,37.33,-0.81,-2.123754588,38.12,-0.02,-0.052438385,38.39,0.25,0.655479811,37.11,-1.03,-2.700576822
26/09/2019,38.14,-2.65,-6.496690365,40.79,0,0,40.79,0,0,37.74,-3.05,-7.477322873
25/09/2019,40.79,-0.2,-0.487923884,40.91,-0.08,-0.195169554,41.26,0.27,0.658697243,40.38,-0.61,-1.488167846
24/09/2019,40.99,-0.44,-1.062032344,41.24,-0.19,-0.458604876,41.57,0.14,0.337919382,40.89,-0.54,-1.303403331
23/09/2019,41.43,-0.04,-0.096455269,41.23,-0.24,-0.578731613,41.65,0.18,0.43404871,40.54,-0.93,-2.242585001
20/09/2019,41.47,1.43,3.571428571,40.19,0.15,0.374625375,41.77,1.73,4.320679321,39.73,-0.31,-0.774225774
19/09/2019,40.04,-0.75,-1.838685952,40.43,-0.36,-0.882569257,40.78,-0.01,-0.024515813,39.95,-0.84,-2.059328267
18/09/2019,40.79,1,2.51319427,39.89,0.1,0.251319427,41.05,1.26,3.16662478,39.8,0.01,0.025131943
17/09/2019,39.79,2.03,5.376059322,38.06,0.3,0.794491525,39.99,2.23,5.905720339,38.06,0.3,0.794491525
13/09/2019,37.76,1.39,3.82183118,36.4,0.03,0.082485565,37.99,1.62,4.454220511,36.39,0.02,0.054990377
12/09/2019,36.37,-0.3,-0.818107445,36.66,-0.01,-0.027270248,37.23,0.56,1.527133897,36.25,-0.42,-1.145350423
11/09/2019,36.67,0.22,0.603566529,36.45,0,0,36.91,0.46,1.262002743,36.11,-0.34,-0.932784636
10/09/2019,36.45,0.6,1.673640167,35.99,0.14,0.390516039,36.56,0.71,1.980474198,35.82,-0.03,-0.083682008
09/09/2019,35.85,-0.02,-0.0557569,36.06,0.19,0.529690549,36.64,0.77,2.146640647,35.44,-0.43,-1.198773348
06/09/2019,35.87,1.03,2.956371986,34.84,0,0,36.03,1.19,3.415614237,34.76,-0.08,-0.229621125
05/09/2019,34.84,-0.2,-0.570776256,35.33,0.29,0.827625571,35.79,0.75,2.140410959,34.48,-0.56,-1.598173516
04/09/2019,35.04,1.07,3.149838092,34.26,0.29,0.853694436,35.18,1.21,3.561966441,34.05,0.08,0.235501913
