Security,WALMEX* MF Equity                                               ,,,,,,,,,,,
Start Date,31/12/2009 00:00,,,,,,,,,,,
End Date,04/10/2019 00:00,,,,,,,,,,,
Period,D,,,,,,,,,,,
Currency,MXN,,,,,,,,,,,
,,,,,,,,,,,,
Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
04/10/2019,58.92,0.73,1.254511084,58.08,-0.11,-0.189035917,59.05,0.86,1.477917168,57.96,-0.23,-0.395256917
03/10/2019,58.19,0.79,1.37630662,57.4,0,0,58.31,0.91,1.585365854,57.11,-0.29,-0.505226481
02/10/2019,57.4,-1.08,-1.846785226,58.18,-0.3,-0.512995896,58.19,-0.29,-0.495896033,57.1,-1.38,-2.359781122
01/10/2019,58.48,0,0,58.49,0.01,0.017099863,59.14,0.66,1.128590971,58.25,-0.23,-0.393296854
30/09/2019,58.48,0.13,0.222793488,58.41,0.06,0.102827763,58.99,0.64,1.096829477,58.34,-0.01,-0.017137961
27/09/2019,58.35,1.41,2.476290832,57.04,0.1,0.175623463,58.61,1.67,2.932911837,56.7,-0.24,-0.421496312
26/09/2019,56.94,1.24,2.226211849,55.81,0.11,0.197486535,57.07,1.37,2.459605027,55.56,-0.14,-0.251346499
25/09/2019,55.7,0.51,0.924080449,55.02,-0.17,-0.308026816,55.89,0.7,1.268345715,54.21,-0.98,-1.775684001
24/09/2019,55.19,0.03,0.054387237,55.23,0.07,0.126903553,55.73,0.57,1.033357505,55.1,-0.06,-0.108774474
23/09/2019,55.16,0.15,0.272677695,55.09,0.08,0.145428104,55.48,0.47,0.854390111,54.92,-0.09,-0.163606617
20/09/2019,55.01,-0.18,-0.326146041,55.32,0.13,0.235549918,55.62,0.43,0.779126653,54.74,-0.45,-0.815365102
19/09/2019,55.19,-0.31,-0.558558559,55.64,0.14,0.252252252,55.84,0.34,0.612612613,55.12,-0.38,-0.684684685
18/09/2019,55.5,-1.23,-2.168164992,56.8,0.07,0.123391504,56.89,0.16,0.282037723,55.42,-1.31,-2.309183853
17/09/2019,56.73,-0.94,-1.629963586,57.66,-0.01,-0.017340038,57.85,0.18,0.312120687,56.46,-1.21,-2.098144616
13/09/2019,57.67,-0.67,-1.148440178,58.2,-0.14,-0.239972575,58.5,0.16,0.274254371,57.45,-0.89,-1.525539938
12/09/2019,58.34,1.53,2.693187819,57.09,0.28,0.492870973,58.47,1.66,2.922020771,56.98,0.17,0.299243091
11/09/2019,56.81,0.26,0.459770115,56.8,0.25,0.442086649,56.99,0.44,0.778072502,56.5,-0.05,-0.08841733
